Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SIM CHON SIANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TEE CHOON SER @ MISTY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJJAH AZIZAH BINTI MOHD ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,083/14/06,SK (P) METHODIST KUANTAN,3.0,381,307,53,19,379,2,0,BANDAR KUANTAN ,UNDI BIASA
8,083/14/06,SK (P) METHODIST KUANTAN,4.0,358,280,39,38,357,1,0,BANDAR KUANTAN ,UNDI BIASA
9,083/14/07,PEJABAT PENDIDIKAN DAERAH KUANTAN,1.0,236,174,48,8,230,6,0,SERI TERUNTUM ,UNDI BIASA
9,083/14/07,PEJABAT PENDIDIKAN DAERAH KUANTAN,2.0,375,229,83,58,370,5,0,SERI TERUNTUM ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,1.0,238,162,55,16,233,5,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,2.0,474,340,97,33,470,4,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,3.0,497,358,84,46,488,9,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,4.0,482,335,86,58,479,3,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,5.0,464,323,88,53,464,0,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,6.0,461,347,71,42,460,1,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,7.0,451,328,56,67,451,0,0,KAMPUNG JAWA ,UNDI BIASA
11,083/14/09,SK TERUNTUM,1.0,251,179,67,1,247,4,0,SERI BERLIAN ,UNDI BIASA
11,083/14/09,SK TERUNTUM,2.0,292,225,48,18,291,1,0,SERI BERLIAN ,UNDI BIASA
11,083/14/09,SK TERUNTUM,3.0,305,237,44,23,304,1,0,SERI BERLIAN ,UNDI BIASA
11,083/14/09,SK TERUNTUM,4.0,283,212,41,30,283,0,0,SERI BERLIAN ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,1.0,232,143,65,18,226,6,0,LAPANG BESAR ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,2.0,401,269,83,48,400,1,0,LAPANG BESAR ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,3.0,392,243,96,52,391,1,0,LAPANG BESAR ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,4.0,384,240,63,80,383,1,0,LAPANG BESAR ,UNDI BIASA
