Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MANOGARAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU WAN MAHADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SIVARRAAJH CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SURESH KUMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
22,078/02/02,SK KUALA MEDANG,1.0,306,37,90,165,4,0,296,9,1,KUALA MEDANG ,UNDI BIASA
22,078/02/02,SK KUALA MEDANG,2.0,505,77,178,243,4,0,502,3,0,KUALA MEDANG ,UNDI BIASA
23,078/02/03,SK TANJUNG GAHAI,1.0,310,18,106,170,1,2,297,13,0,TANJUNG GAHAI ,UNDI BIASA
23,078/02/03,SK TANJUNG GAHAI,2.0,363,43,58,243,0,2,346,17,0,TANJUNG GAHAI ,UNDI BIASA
24,078/02/04,SK BATU YON,1.0,301,25,117,147,1,0,290,11,0,BUKIT KOTA ,UNDI BIASA
24,078/02/04,SK BATU YON,2.0,482,22,269,184,3,1,479,3,0,BUKIT KOTA ,UNDI BIASA
25,078/02/05,SK KAMPUNG KELEDEK,1.0,308,8,170,127,1,0,306,2,0,KAMPUNG KELEDEK ,UNDI BIASA
25,078/02/05,SK KAMPUNG KELEDEK,2.0,319,14,195,103,2,0,314,5,0,KAMPUNG KELEDEK ,UNDI BIASA
25,078/02/05,SK KAMPUNG KELEDEK,3.0,302,18,191,85,3,0,297,5,0,KAMPUNG KELEDEK ,UNDI BIASA
26,078/02/06,SK LUBOK KULIT,1.0,312,4,105,187,0,0,296,16,0,LUBUK KULIT ,UNDI BIASA
26,078/02/06,SK LUBOK KULIT,2.0,497,22,176,287,1,1,487,10,0,LUBUK KULIT ,UNDI BIASA
27,078/02/07,SK LKTP SUNGAI KOYAN,1.0,303,21,122,150,1,0,294,9,0,FELDA SUNGAI KOYAN SATU ,UNDI BIASA
27,078/02/07,SK LKTP SUNGAI KOYAN,2.0,491,44,237,205,0,1,487,4,0,FELDA SUNGAI KOYAN SATU ,UNDI BIASA
27,078/02/07,SK LKTP SUNGAI KOYAN,3.0,449,41,219,185,1,0,446,3,0,FELDA SUNGAI KOYAN SATU ,UNDI BIASA
28,078/02/08,SMK  SUNGAI KOYAN,1.0,269,21,65,178,0,1,265,4,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
28,078/02/08,SMK  SUNGAI KOYAN,2.0,371,43,118,206,2,0,369,2,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
28,078/02/08,SMK  SUNGAI KOYAN,3.0,356,40,183,130,1,0,354,2,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
28,078/02/08,SMK  SUNGAI KOYAN,4.0,332,52,159,119,1,0,331,1,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
28,078/02/08,SMK  SUNGAI KOYAN,5.0,317,67,130,117,1,0,315,2,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
29,078/02/09,SK BETAU,1.0,281,31,14,185,2,2,234,47,0,POS BETAU ,UNDI BIASA
29,078/02/09,SK BETAU,2.0,426,37,4,328,3,12,384,42,0,POS BETAU ,UNDI BIASA
29,078/02/09,SK BETAU,3.0,422,32,6,357,2,4,401,21,0,POS BETAU ,UNDI BIASA
30,078/02/10,SK SENDERUT,1.0,307,70,14,186,0,6,276,31,0,POS SINDERUT ,UNDI BIASA
30,078/02/10,SK SENDERUT,2.0,430,108,13,281,3,0,405,25,0,POS SINDERUT ,UNDI BIASA
30,078/02/10,SK SENDERUT,3.0,358,90,8,242,0,3,343,15,0,POS SINDERUT ,UNDI BIASA
31,078/02/11,SK LENJANG,1.0,236,21,19,121,6,26,193,43,0,POS LENJANG ,UNDI BIASA
31,078/02/11,SK LENJANG,2.0,239,26,7,146,5,22,206,33,0,POS LENJANG ,UNDI BIASA
32,078/02/12,SK TITOM,1.0,212,8,17,135,2,28,190,22,0,POS TITUM ,UNDI BIASA
