Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABIRERAH AWANG CHIK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHUAH BOON SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG TAT CHEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WOO CHEE WAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
13,088/30/11,SK TANJONG LALANG,1.0,269,121,4,87,50,262,7,0,SRI KEMUNING ,UNDI BIASA
13,088/30/11,SK TANJONG LALANG,2.0,569,270,4,169,119,562,6,1,SRI KEMUNING ,UNDI BIASA
13,088/30/11,SK TANJONG LALANG,3.0,529,259,2,154,108,523,6,0,SRI KEMUNING ,UNDI BIASA
13,088/30/11,SK TANJONG LALANG,4.0,534,291,3,138,99,531,3,0,SRI KEMUNING ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,1.0,320,130,2,111,73,316,4,0,TEMERLOH JAYA ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,2.0,517,275,6,135,98,514,3,0,TEMERLOH JAYA ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,3.0,479,241,7,110,119,477,2,0,TEMERLOH JAYA ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,4.0,449,190,1,106,151,448,1,0,TEMERLOH JAYA ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,5.0,441,217,5,79,138,439,2,0,TEMERLOH JAYA ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,6.0,460,251,6,72,128,457,3,0,TEMERLOH JAYA ,UNDI BIASA
14,088/30/12,SK TEMERLOH JAYA,7.0,493,269,1,91,130,491,2,0,TEMERLOH JAYA ,UNDI BIASA
