Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD ZAHID MD ARIP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD KADIR BIN SAINUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAPT (B) AHIATUDIN BIN DAUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
15,085/20/10,SK SERI MAKMUR,3.0,339,31,220,1,84,336,3,0,SERI MAKMUR ,UNDI BIASA
16,085/20/11,SK BELIMBING,1.0,172,6,147,0,19,172,0,0,BELIMBING ,UNDI BIASA
17,085/21/01,PUSAT PERPINDAHAN BANJIR KAMPUNG LAMIR,1.0,317,21,220,0,64,305,11,1,KAMPUNG LAMIR ,UNDI BIASA
17,085/21/01,PUSAT PERPINDAHAN BANJIR KAMPUNG LAMIR,2.0,465,42,281,0,140,463,2,0,KAMPUNG LAMIR ,UNDI BIASA
18,085/21/02,SMK DATO' MAHMUD MAT,1.0,299,25,181,0,87,293,6,0,TANAH PUTIH ,UNDI BIASA
18,085/21/02,SMK DATO' MAHMUD MAT,2.0,319,40,181,0,98,319,0,0,TANAH PUTIH ,UNDI BIASA
18,085/21/02,SMK DATO' MAHMUD MAT,3.0,319,47,157,0,114,318,1,0,TANAH PUTIH ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,1.0,308,25,226,2,47,300,8,0,PERAMU JAYA ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,2.0,586,66,375,0,135,576,10,0,PERAMU JAYA ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,3.0,529,56,303,1,168,528,1,0,PERAMU JAYA ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,4.0,459,53,269,0,136,458,1,0,PERAMU JAYA ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,5.0,480,72,254,0,152,478,2,0,PERAMU JAYA ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,6.0,479,63,244,1,167,475,4,0,PERAMU JAYA ,UNDI BIASA
19,085/21/03,SK PERAMU JAYA,7.0,507,96,254,1,154,505,2,0,PERAMU JAYA ,UNDI BIASA
