Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAKARIA ABDUL HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSANIFF BIN AB. RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ISMAIL SABRI YAAKOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,090/37/04,SK LKTP PURUN,6.0,439,63,196,179,438,1,0,FELDA PURUN ,UNDI BIASA
9,090/37/05,SK LKTP MAYAM,1.0,287,18,85,179,282,5,0,FELDA MAYAM ,UNDI BIASA
9,090/37/05,SK LKTP MAYAM,2.0,543,58,194,281,533,9,1,FELDA MAYAM ,UNDI BIASA
9,090/37/05,SK LKTP MAYAM,3.0,476,50,211,214,475,1,0,FELDA MAYAM ,UNDI BIASA
9,090/37/05,SK LKTP MAYAM,4.0,487,86,195,204,485,2,0,FELDA MAYAM ,UNDI BIASA
10,090/37/06,SK LKTP KUMAI,1.0,307,13,105,181,299,7,1,FELDA KUMAI ,UNDI BIASA
10,090/37/06,SK LKTP KUMAI,2.0,524,31,158,316,505,19,0,FELDA KUMAI ,UNDI BIASA
10,090/37/06,SK LKTP KUMAI,3.0,436,70,155,211,436,0,0,FELDA KUMAI ,UNDI BIASA
10,090/37/06,SK LKTP KUMAI,4.0,433,62,163,204,429,4,0,FELDA KUMAI ,UNDI BIASA
10,090/37/06,SK LKTP KUMAI,5.0,440,56,171,208,435,5,0,FELDA KUMAI ,UNDI BIASA
11,090/37/07,SK LKTP BUKIT KEPAYANG,1.0,350,19,76,198,293,10,47,FELDA BUKIT KEPAYANG ,UNDI BIASA
11,090/37/07,SK LKTP BUKIT KEPAYANG,2.0,425,39,131,251,421,4,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
11,090/37/07,SK LKTP BUKIT KEPAYANG,3.0,386,55,146,184,385,1,0,FELDA BUKIT KEPAYANG ,UNDI BIASA
