Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU HASENAN HARON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD FARID BIN AHMAD NORDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
32,086/26/09,SMK TENGKU AMPUAN AFZAN,3.0,477,242,171,63,476,1,0,BANDAR CHENOR ,UNDI BIASA
33,086/26/10,SK TANJUNG PERANG,1.0,273,90,146,25,261,12,0,BUKIT SEGUMPAL ,UNDI BIASA
33,086/26/10,SK TANJUNG PERANG,2.0,463,195,204,57,456,7,0,BUKIT SEGUMPAL ,UNDI BIASA
33,086/26/10,SK TANJUNG PERANG,3.0,430,189,175,66,430,0,0,BUKIT SEGUMPAL ,UNDI BIASA
33,086/26/10,SK TANJUNG PERANG,4.0,420,191,160,69,420,0,0,BUKIT SEGUMPAL ,UNDI BIASA
34,086/26/11,SK RKTP KAMPUNG AWAH,1.0,283,69,175,30,274,9,0,FELDA KAMPUNG AWAH ,UNDI BIASA
34,086/26/11,SK RKTP KAMPUNG AWAH,2.0,439,182,211,42,435,4,0,FELDA KAMPUNG AWAH ,UNDI BIASA
34,086/26/11,SK RKTP KAMPUNG AWAH,3.0,388,170,149,69,388,0,0,FELDA KAMPUNG AWAH ,UNDI BIASA
35,086/26/12,SK LKTP SUNGAI NEREK,1.0,298,76,203,12,291,7,0,FELDA SUNGAI NEREK ,UNDI BIASA
35,086/26/12,SK LKTP SUNGAI NEREK,2.0,476,201,241,32,474,2,0,FELDA SUNGAI NEREK ,UNDI BIASA
35,086/26/12,SK LKTP SUNGAI NEREK,3.0,434,218,164,52,434,0,0,FELDA SUNGAI NEREK ,UNDI BIASA
36,086/26/13,SK BUKIT LADA,1.0,537,320,177,35,532,5,0,BUKIT LADA ,UNDI BIASA
37,086/26/14,SK JENGKA BATU 13,1.0,261,107,149,5,261,0,0,KAMPUNG JENGKA ,UNDI BIASA
37,086/26/14,SK JENGKA BATU 13,2.0,312,157,135,20,312,0,0,KAMPUNG JENGKA ,UNDI BIASA
