Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO HJ SALIM BIN HJ ABD MAJID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI SH MOHMED PUZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ ABU KASSIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
13,085/21/11,SM SAINS SULTAN HAJI AHMAD SHAH PEKAN,5.0,376,50,216,110,376,0,0,MENGKASAR ,UNDI BIASA
14,085/21/12,SK SRI MAULANA,1.0,309,19,214,64,297,12,0,PULAU JAWA ,UNDI BIASA
14,085/21/12,SK SRI MAULANA,2.0,376,25,234,115,374,2,0,PULAU JAWA ,UNDI BIASA
14,085/21/12,SK SRI MAULANA,3.0,326,26,206,94,326,0,0,PULAU JAWA ,UNDI BIASA
15,085/21/13,SMK PERAMU JAYA,1.0,302,22,183,86,291,11,0,KELAT RENDANG ,UNDI BIASA
15,085/21/13,SMK PERAMU JAYA,2.0,580,48,304,225,577,3,0,KELAT RENDANG ,UNDI BIASA
15,085/21/13,SMK PERAMU JAYA,3.0,515,63,233,217,513,2,0,KELAT RENDANG ,UNDI BIASA
15,085/21/13,SMK PERAMU JAYA,4.0,533,58,223,251,532,1,0,KELAT RENDANG ,UNDI BIASA
16,085/21/14,SK LANGGAR,1.0,293,24,189,72,285,8,0,KAMPUNG LANGGAR ,UNDI BIASA
16,085/21/14,SK LANGGAR,2.0,370,36,177,156,369,1,0,KAMPUNG LANGGAR ,UNDI BIASA
17,085/21/15,SK PAHANG TUA,1.0,481,40,293,142,475,6,0,PAHANG TUA ,UNDI BIASA
18,085/21/16,SK PEKAN JAYA,1.0,311,21,185,104,310,1,0,SHAHBANDAR ,UNDI BIASA
18,085/21/16,SK PEKAN JAYA,2.0,390,48,182,160,390,0,0,SHAHBANDAR ,UNDI BIASA
18,085/21/16,SK PEKAN JAYA,3.0,355,55,156,144,355,0,0,SHAHBANDAR ,UNDI BIASA
18,085/21/16,SK PEKAN JAYA,4.0,383,53,180,149,382,1,0,SHAHBANDAR ,UNDI BIASA
