Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU SULAIMAN MD DERUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FUZIAH SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG KEAN HWEE DATO' WONG KEAN HWEE Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,083/14/08,SK SULTAN ABDULLAH,2.0,474,22,347,104,473,1,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,3.0,497,33,362,96,491,6,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,4.0,482,39,351,89,479,3,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,5.0,468,43,326,93,462,6,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,6.0,461,44,345,72,461,0,0,KAMPUNG JAWA ,UNDI BIASA
10,083/14/08,SK SULTAN ABDULLAH,7.0,451,46,339,63,448,3,0,KAMPUNG JAWA ,UNDI BIASA
11,083/14/09,SK TERUNTUM,1.0,251,4,171,72,247,4,0,SERI BERLIAN ,UNDI BIASA
11,083/14/09,SK TERUNTUM,2.0,292,17,220,53,290,2,0,SERI BERLIAN ,UNDI BIASA
11,083/14/09,SK TERUNTUM,3.0,305,17,242,42,301,4,0,SERI BERLIAN ,UNDI BIASA
11,083/14/09,SK TERUNTUM,4.0,283,32,215,36,283,0,0,SERI BERLIAN ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,1.0,232,16,139,70,225,7,0,LAPANG BESAR ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,2.0,401,24,287,89,400,1,0,LAPANG BESAR ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,3.0,392,40,258,93,391,1,0,LAPANG BESAR ,UNDI BIASA
12,083/14/10,SMK (P) METHODIST KUANTAN,4.0,384,54,266,64,384,0,0,LAPANG BESAR ,UNDI BIASA
13,083/15/01,SJK(C) CHUNG CHING,1.0,238,18,145,66,229,9,0,MEDAN WARISAN ,UNDI BIASA
13,083/15/01,SJK(C) CHUNG CHING,2.0,505,34,345,121,500,5,0,MEDAN WARISAN ,UNDI BIASA
13,083/15/01,SJK(C) CHUNG CHING,3.0,509,50,351,100,501,8,0,MEDAN WARISAN ,UNDI BIASA
13,083/15/01,SJK(C) CHUNG CHING,4.0,488,77,344,67,488,0,0,MEDAN WARISAN ,UNDI BIASA
13,083/15/01,SJK(C) CHUNG CHING,5.0,481,93,332,52,477,4,0,MEDAN WARISAN ,UNDI BIASA
14,083/15/02,SMK TANAH PUTIH,1.0,251,6,184,58,248,3,0,MEDAN MAKMUR ,UNDI BIASA
14,083/15/02,SMK TANAH PUTIH,2.0,403,24,301,75,400,3,0,MEDAN MAKMUR ,UNDI BIASA
14,083/15/02,SMK TANAH PUTIH,3.0,423,19,338,63,420,3,0,MEDAN MAKMUR ,UNDI BIASA
14,083/15/02,SMK TANAH PUTIH,4.0,392,24,320,46,390,2,0,MEDAN MAKMUR ,UNDI BIASA
15,083/15/03,DEWAN JABATAN PENGAIRAN DAN SALIRAN DAERAH KUANTAN,1.0,281,44,134,99,277,4,0,SERI KEMUNTING ,UNDI BIASA
15,083/15/03,DEWAN JABATAN PENGAIRAN DAN SALIRAN DAERAH KUANTAN,2.0,531,128,266,133,527,4,0,SERI KEMUNTING ,UNDI BIASA
16,083/15/04,SK TANJUNG LUMPUR,1.0,264,80,31,142,253,11,0,TANJUNG LUMPUR ,UNDI BIASA
16,083/15/04,SK TANJUNG LUMPUR,2.0,416,161,70,175,406,10,0,TANJUNG LUMPUR ,UNDI BIASA
16,083/15/04,SK TANJUNG LUMPUR,3.0,391,195,80,112,387,3,1,TANJUNG LUMPUR ,UNDI BIASA
17,083/15/05,SK KEMPADANG,1.0,311,94,73,124,291,20,0,KEMPADANG ,UNDI BIASA
17,083/15/05,SK KEMPADANG,2.0,619,268,133,208,609,10,0,KEMPADANG ,UNDI BIASA
17,083/15/05,SK KEMPADANG,3.0,561,275,136,149,560,1,0,KEMPADANG ,UNDI BIASA
17,083/15/05,SK KEMPADANG,4.0,558,293,122,141,556,2,0,KEMPADANG ,UNDI BIASA
17,083/15/05,SK KEMPADANG,5.0,500,247,132,116,495,5,0,KEMPADANG ,UNDI BIASA
17,083/15/05,SK KEMPADANG,6.0,522,258,148,116,522,0,0,KEMPADANG ,UNDI BIASA
