Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE CHEAN CHUNG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD YUSOF HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) QUEK TAI SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,082/13/08,SK BUKIT SETONGKOL,6.0,539,382,83,72,537,2,0,BUKIT SETONGKOL ,UNDI BIASA
10,082/13/08,SK BUKIT SETONGKOL,7.0,524,357,92,72,521,3,0,BUKIT SETONGKOL ,UNDI BIASA
10,082/13/08,SK BUKIT SETONGKOL,8.0,520,308,137,69,514,6,0,BUKIT SETONGKOL ,UNDI BIASA
11,082/13/09,SAR KAFA BAITUL HUDA CENDERAWASIH,1.0,313,93,140,75,308,5,0,TAMAN LKNP ,UNDI BIASA
11,082/13/09,SAR KAFA BAITUL HUDA CENDERAWASIH,2.0,540,260,181,89,530,9,1,TAMAN LKNP ,UNDI BIASA
11,082/13/09,SAR KAFA BAITUL HUDA CENDERAWASIH,3.0,528,227,234,64,525,3,0,TAMAN LKNP ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,1.0,315,94,83,131,308,7,0,CHENDERAWASIH ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,2.0,617,200,256,153,609,8,0,CHENDERAWASIH ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,3.0,600,249,223,124,596,4,0,CHENDERAWASIH ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,4.0,555,226,182,143,551,4,0,CHENDERAWASIH ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,5.0,539,224,219,91,534,3,2,CHENDERAWASIH ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,6.0,524,207,232,84,523,1,0,CHENDERAWASIH ,UNDI BIASA
12,082/13/10,SK CENDERAWASIH,7.0,574,211,285,78,574,0,0,CHENDERAWASIH ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,1.0,297,89,73,132,294,3,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,2.0,566,162,213,188,563,3,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,3.0,539,193,210,135,538,1,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,4.0,523,216,180,125,521,2,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,5.0,486,186,183,117,486,0,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,6.0,464,153,213,96,462,2,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,7.0,495,157,246,90,493,2,0,INDERA MAHKOTA 2 ,UNDI BIASA
13,082/13/11,SMK TENGKU PANGLIMA PERANG TENGKU MUHAMAD,8.0,532,183,238,107,528,4,0,INDERA MAHKOTA 2 ,UNDI BIASA
