ID,BALLOT_NAME,JOB,PID,JANTINA,DUN_ID,TYPE (PAR/DUN),IND_SYMBOL_ID,STATUS (WIN/LOSE/DEPOSIT),LAST_UPDATED,BALLOT_ID,TOTAL_VOTES,MAJORITY,WINNER_BALLOT_ID
496,IR MUSTAFAR KADIR,,37,L,12600,parlimen,,KLH,2018-04-28T11:29:56.690Z,1,17017,2045,586
495,JALALUDDIN BIN ALIAS,,1,L,12600,parlimen,,MNG,2018-04-28T11:29:56.690Z,2,19062,2045,586
1352,NORMAN IPIN,BERNIAGA,2,L,12600,parlimen,,HD,2018-04-28T11:29:56.690Z,3,2878,2045,586
413,KAMARULZAMAN KAMDIAS,BEKERJA SENDIRI,37,L,12700,parlimen,,KLH,2018-04-28T12:27:30.680Z,1,25188,1631,1025
2059,MUSTAFFA BIN DAHARUN,PESARA,2,L,12700,parlimen,,HD,2018-04-28T12:27:30.680Z,2,5267,1631,1025
409,DATO' HJ SALIM SHARIF,AHLI PERNIAGAAN,1,L,12700,parlimen,,MNG,2018-04-28T12:27:30.680Z,3,26819,1631,1025
401,AH CHONG @ CHONG SIN WOON,TIADA,1,L,12800,parlimen,,KLH,2018-04-28T12:48:05.873Z,1,24809,30694,1052
403,HAJI SHARIFFUDDIN,TIADA,2,L,12800,parlimen,,KLH,2018-04-28T12:48:05.873Z,2,11506,30694,1052
402,LOKE SIEW FOOK,TIADA,37,L,12800,parlimen,,MNG,2018-04-28T12:48:05.873Z,3,55503,30694,1052
443,HAJI RAFIEI,PESARA,2,L,12900,parlimen,,HD,2018-04-28T12:02:56.467Z,1,4347,200,769
441,HASAN BIN MALEK,,1,L,12900,parlimen,,KLH,2018-04-28T12:02:56.467Z,2,17845,200,769
446,EDDIN SYAZLEE SHITH,PEGUAM,37,L,12900,parlimen,,MNG,2018-04-28T12:02:56.467Z,3,18045,200,769
506,USTAZ KHAIRIL ANUAR WAFA,BEKERJA SENDIRI,2,L,13000,parlimen,,HD,2018-04-28T11:37:43.573Z,1,8260,46867,303
503,NG KIAN NAM,PEGUAM,1,L,13000,parlimen,,KLH,2018-04-28T11:37:43.573Z,2,14939,46867,303
505,DAVID DASS ASEERPATHAM,INVENTOR,89,L,13000,parlimen,,HD,2018-04-28T11:37:43.573Z,3,302,46867,303
504,CHA KEE CHIN,,37,L,13000,parlimen,,MNG,2018-04-28T11:37:43.573Z,4,61806,46867,303
444,MUSTAFA,,2,L,13100,parlimen,,HD,2018-04-28T11:31:23.620Z,1,6028,4364,1053
448,KHAIRY JAMALUDDIN,,1,L,13100,parlimen,,MNG,2018-04-28T11:31:23.620Z,2,36096,4364,1053
469,LT KOL ROSELI BIN ABDUL GANI (B),,37,L,13100,parlimen,,KLH,2018-04-28T11:31:23.620Z,3,31732,4364,1053
484,USTAZ MAHFUZ ROSLAN,KERJA SENDIRI,2,L,13200,parlimen,,HD,2018-04-28T12:09:45.180Z,1,6594,17710,948
486,DATO DANYAL,,37,L,13200,parlimen,,MNG,2018-04-28T12:09:45.180Z,2,36225,17710,948
468,DATO VS MOGAN,,1,L,13200,parlimen,,KLH,2018-04-28T12:09:45.180Z,3,18515,17710,948
477,DR HASAN BAHROM,,37,L,13300,parlimen,,MNG,2018-04-28T12:11:52.490Z,1,22435,1002,850
433,SHAZIMAN BIN ABU MANSOR,AHLI PERNIAGAAN,1,L,13300,parlimen,,KLH,2018-04-28T12:11:52.490Z,2,21433,1002,850
445,MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),SENDIRI,2,L,13300,parlimen,,HD,2018-04-28T12:11:52.490Z,3,4598,1002,850
