Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RASHID YOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
26,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",3,481,274,59,6,137,476,5,0,KAMPUNG PERUPOK ,UNDI BIASA,KAMPUNG PERUPOK 011/19/02
26,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",4,426,257,54,6,109,426,0,0,KAMPUNG PERUPOK ,UNDI BIASA,KAMPUNG PERUPOK 011/19/02
26,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",5,457,285,44,2,122,453,4,0,KAMPUNG PERUPOK ,UNDI BIASA,KAMPUNG PERUPOK 011/19/02
27,011/19/03,SEKOLAH KEBANGSAAN HUJUNG KETON,1,337,62,87,12,154,315,22,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 011/19/03
27,011/19/03,SEKOLAH KEBANGSAAN HUJUNG KETON,2,363,76,109,19,154,358,5,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 011/19/03
27,011/19/03,SEKOLAH KEBANGSAAN HUJUNG KETON,3,478,149,142,12,165,468,10,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 011/19/03
27,011/19/03,SEKOLAH KEBANGSAAN HUJUNG KETON,4,484,202,114,1,165,482,2,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 011/19/03
28,011/19/04,"SEKOLAH KEBANGSAAN PADANG DURIAN, JALAN SUNGAI TIANG",1,367,179,10,6,169,364,3,0,PADANG DURIAN ,UNDI BIASA,PADANG DURIAN 011/19/04
28,011/19/04,"SEKOLAH KEBANGSAAN PADANG DURIAN, JALAN SUNGAI TIANG",2,384,241,20,4,118,383,1,0,PADANG DURIAN ,UNDI BIASA,PADANG DURIAN 011/19/04
28,011/19/04,"SEKOLAH KEBANGSAAN PADANG DURIAN, JALAN SUNGAI TIANG",3,398,259,22,0,114,395,3,0,PADANG DURIAN ,UNDI BIASA,PADANG DURIAN 011/19/04
29,011/19/05,"SEKOLAH KEBANGSAAN POKOK ASAM, JALAN SUNGAI TIANG",1,357,162,15,7,168,352,5,0,POKOK ASSAM ,UNDI BIASA,POKOK ASSAM 011/19/05
29,011/19/05,"SEKOLAH KEBANGSAAN POKOK ASAM, JALAN SUNGAI TIANG",2,419,263,16,7,130,416,3,0,POKOK ASSAM ,UNDI BIASA,POKOK ASSAM 011/19/05
29,011/19/05,"SEKOLAH KEBANGSAAN POKOK ASAM, JALAN SUNGAI TIANG",3,422,296,24,4,95,419,3,0,POKOK ASSAM ,UNDI BIASA,POKOK ASSAM 011/19/05
30,011/19/06,"SEKOLAH MENENGAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",1,338,109,50,12,160,331,7,0,KAMPUNG BELAT ,UNDI BIASA,KAMPUNG BELAT 011/19/06
30,011/19/06,"SEKOLAH MENENGAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",2,389,147,53,11,169,380,9,0,KAMPUNG BELAT ,UNDI BIASA,KAMPUNG BELAT 011/19/06
30,011/19/06,"SEKOLAH MENENGAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",3,508,257,72,9,167,505,3,0,KAMPUNG BELAT ,UNDI BIASA,KAMPUNG BELAT 011/19/06
30,011/19/06,"SEKOLAH MENENGAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",4,493,285,51,4,152,492,1,0,KAMPUNG BELAT ,UNDI BIASA,KAMPUNG BELAT 011/19/06
30,011/19/06,"SEKOLAH MENENGAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",5,541,306,40,5,188,539,2,0,KAMPUNG BELAT ,UNDI BIASA,KAMPUNG BELAT 011/19/06
31,011/19/07,"SEKOLAH KEBANGSAAN PAYA RAWA, KAMPUNG PAYA RAWA",1,373,182,20,5,165,372,1,0,PAYA RAWA ,UNDI BIASA,PAYA RAWA 011/19/07
31,011/19/07,"SEKOLAH KEBANGSAAN PAYA RAWA, KAMPUNG PAYA RAWA",2,418,232,19,4,162,417,1,0,PAYA RAWA ,UNDI BIASA,PAYA RAWA 011/19/07
31,011/19/07,"SEKOLAH KEBANGSAAN PAYA RAWA, KAMPUNG PAYA RAWA",3,410,278,21,2,108,409,1,0,PAYA RAWA ,UNDI BIASA,PAYA RAWA 011/19/07
31,011/19/07,"SEKOLAH KEBANGSAAN PAYA RAWA, KAMPUNG PAYA RAWA",4,416,292,17,2,105,416,0,0,PAYA RAWA ,UNDI BIASA,PAYA RAWA 011/19/07
32,011/19/08,"SEKOLAH KEBANGSAAN SYED IBRAHIM, JALAN SUNGAI TIANG",1,391,198,13,4,168,383,8,0,KAMPUNG BECHAH ,UNDI BIASA,KAMPUNG BECHAH 011/19/08
32,011/19/08,"SEKOLAH KEBANGSAAN SYED IBRAHIM, JALAN SUNGAI TIANG",2,525,361,18,4,140,523,2,0,KAMPUNG BECHAH ,UNDI BIASA,KAMPUNG BECHAH 011/19/08
32,011/19/08,"SEKOLAH KEBANGSAAN SYED IBRAHIM, JALAN SUNGAI TIANG",3,559,390,17,0,148,555,4,0,KAMPUNG BECHAH ,UNDI BIASA,KAMPUNG BECHAH 011/19/08
33,011/19/09,"SEKOLAH BAHASA SIAM, WATT SIAM TITI AKAR, PENDANG",1,344,28,112,13,179,332,12,0,TITI AKAR ,UNDI BIASA,TITI AKAR 011/19/09
33,011/19/09,"SEKOLAH BAHASA SIAM, WATT SIAM TITI AKAR, PENDANG",2,320,50,144,9,115,318,2,0,TITI AKAR ,UNDI BIASA,TITI AKAR 011/19/09
33,011/19/09,"SEKOLAH BAHASA SIAM, WATT SIAM TITI AKAR, PENDANG",3,258,36,128,6,85,255,3,0,TITI AKAR ,UNDI BIASA,TITI AKAR 011/19/09
34,011/19/10,SEKOLAH MENENGAH KEBANGSAAN SUNGAI TIANG,1,333,144,12,8,168,332,1,0,SUNGAI TIANG BLOK B ,UNDI BIASA,SUNGAI TIANG BLOK B 011/19/10
34,011/19/10,SEKOLAH MENENGAH KEBANGSAAN SUNGAI TIANG,2,365,203,24,9,125,361,4,0,SUNGAI TIANG BLOK B ,UNDI BIASA,SUNGAI TIANG BLOK B 011/19/10
34,011/19/10,SEKOLAH MENENGAH KEBANGSAAN SUNGAI TIANG,3,402,286,17,10,87,400,2,0,SUNGAI TIANG BLOK B ,UNDI BIASA,SUNGAI TIANG BLOK B 011/19/10
34,011/19/10,SEKOLAH MENENGAH KEBANGSAAN SUNGAI TIANG,4,429,316,19,3,89,427,2,0,SUNGAI TIANG BLOK B ,UNDI BIASA,SUNGAI TIANG BLOK B 011/19/10
35,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG, SUNGAI TIANG",1,345,173,19,6,143,341,4,0,SUNGAI TIANG BLOK A ,UNDI BIASA,SUNGAI TIANG BLOK A 011/19/11
35,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG, SUNGAI TIANG",2,429,277,22,9,120,428,1,0,SUNGAI TIANG BLOK A ,UNDI BIASA,SUNGAI TIANG BLOK A 011/19/11
35,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG, SUNGAI TIANG",3,367,253,31,5,78,367,0,0,SUNGAI TIANG BLOK A ,UNDI BIASA,SUNGAI TIANG BLOK A 011/19/11
35,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG, SUNGAI TIANG",4,391,290,20,2,79,391,0,0,SUNGAI TIANG BLOK A ,UNDI BIASA,SUNGAI TIANG BLOK A 011/19/11
36,011/19/12,"SEKOLAH KEBANGSAAN SUNGAI SIPUT, LUBOK MERBAU",1,261,118,41,3,95,257,4,0,KAMPUNG MAHAWANGSA PENDANG ,UNDI BIASA,KAMPUNG MAHAWANGSA PENDANG 011/19/12
37,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",1,321,133,36,6,132,307,14,0,KAMPUNG BAHRU ,UNDI BIASA,KAMPUNG BAHRU 011/19/13
37,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",2,383,156,41,9,164,370,13,0,KAMPUNG BAHRU ,UNDI BIASA,KAMPUNG BAHRU 011/19/13
37,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",3,545,249,93,12,184,538,7,0,KAMPUNG BAHRU ,UNDI BIASA,KAMPUNG BAHRU 011/19/13
37,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",4,519,317,61,8,123,509,10,0,KAMPUNG BAHRU ,UNDI BIASA,KAMPUNG BAHRU 011/19/13
37,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",5,489,326,61,1,97,485,4,0,KAMPUNG BAHRU ,UNDI BIASA,KAMPUNG BAHRU 011/19/13
37,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",6,523,331,71,5,111,518,5,0,KAMPUNG BAHRU ,UNDI BIASA,KAMPUNG BAHRU 011/19/13
38,011/19/14,"MA'HAD AL-IMAM
AS-SYAFIE, SAWA KECHIL",1,383,237,11,2,123,373,10,0,SAWA KECHIL ,UNDI BIASA,SAWA KECHIL 011/19/14
38,011/19/14,"MA'HAD AL-IMAM
AS-SYAFIE, SAWA KECHIL",2,396,289,20,1,84,394,2,0,SAWA KECHIL ,UNDI BIASA,SAWA KECHIL 011/19/14
38,011/19/14,"MA'HAD AL-IMAM
AS-SYAFIE, SAWA KECHIL",3,417,299,17,3,95,414,3,0,SAWA KECHIL ,UNDI BIASA,SAWA KECHIL 011/19/14
39,011/19/15,"SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM, PADANG PUSING",1,303,115,47,2,130,294,9,0,PADANG PUSING ,UNDI BIASA,PADANG PUSING 011/19/15
39,011/19/15,"SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM, PADANG PUSING",2,385,179,75,5,117,376,9,0,PADANG PUSING ,UNDI BIASA,PADANG PUSING 011/19/15
39,011/19/15,"SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM, PADANG PUSING",3,478,259,85,9,119,472,6,0,PADANG PUSING ,UNDI BIASA,PADANG PUSING 011/19/15
39,011/19/15,"SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM, PADANG PUSING",4,453,278,66,6,101,451,2,0,PADANG PUSING ,UNDI BIASA,PADANG PUSING 011/19/15
39,011/19/15,"SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM, PADANG PUSING",5,418,262,63,1,89,415,2,1,PADANG PUSING ,UNDI BIASA,PADANG PUSING 011/19/15
39,011/19/15,"SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM, PADANG PUSING",6,445,295,67,3,80,445,0,0,PADANG PUSING ,UNDI BIASA,PADANG PUSING 011/19/15
40,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",1,333,189,10,2,128,329,4,0,AYER PUTEH ,UNDI BIASA,AYER PUTEH 011/19/16
40,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",2,401,228,19,3,145,395,6,0,AYER PUTEH ,UNDI BIASA,AYER PUTEH 011/19/16
40,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",3,482,321,28,7,121,477,5,0,AYER PUTEH ,UNDI BIASA,AYER PUTEH 011/19/16
40,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",4,446,342,16,2,85,445,1,0,AYER PUTEH ,UNDI BIASA,AYER PUTEH 011/19/16
40,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",5,435,366,7,3,58,434,1,0,AYER PUTEH ,UNDI BIASA,AYER PUTEH 011/19/16
40,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",6,459,350,21,0,88,459,0,0,AYER PUTEH ,UNDI BIASA,AYER PUTEH 011/19/16
41,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",1,353,200,47,3,96,346,7,0,BUKIT JAMBOL ,UNDI BIASA,BUKIT JAMBOL 011/19/17
41,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",2,397,267,41,10,74,392,5,0,BUKIT JAMBOL ,UNDI BIASA,BUKIT JAMBOL 011/19/17
41,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",3,395,293,44,3,54,394,1,0,BUKIT JAMBOL ,UNDI BIASA,BUKIT JAMBOL 011/19/17
41,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",4,393,313,23,1,55,392,1,0,BUKIT JAMBOL ,UNDI BIASA,BUKIT JAMBOL 011/19/17
