Bil,No. Kod Daerah Mengundi,`,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL ANUAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' SHAIFUL HAZIZY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD NAZRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MOSIN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
10,014/25/07,SEKOLAH KEBANGSAAN BANDAR LAGUNA MERBOK,11,547,2,35,290,214,5,546,0,1,BANDAR LAGUNA MERBOK ,UNDI BIASA,BANDAR LAGUNA MERBOK 014/25/07
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",1,340,4,75,161,85,8,333,6,1,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",2,373,1,81,169,112,8,371,2,0,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",3,521,3,58,336,114,7,518,3,0,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",4,476,1,46,288,131,6,472,4,0,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",5,470,2,51,240,171,4,468,2,0,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",6,443,1,41,283,112,4,441,1,1,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",7,484,1,30,310,142,1,484,0,0,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",8,525,1,25,325,167,4,522,3,0,TASEK APONG ,UNDI BIASA,TASEK APONG 014/25/08
12,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",1,282,8,53,195,16,5,277,5,0,AIR MENIDEH ,UNDI BIASA,AIR MENIDEH 014/25/09
12,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",2,359,2,37,287,25,1,352,7,0,AIR MENIDEH ,UNDI BIASA,AIR MENIDEH 014/25/09
12,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",3,413,4,33,336,33,2,408,4,1,AIR MENIDEH ,UNDI BIASA,AIR MENIDEH 014/25/09
12,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",4,347,0,45,250,48,3,346,1,0,AIR MENIDEH ,UNDI BIASA,AIR MENIDEH 014/25/09
12,014/25/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SARASWATHY, JALAN TIONG",5,366,1,26,242,93,1,363,3,0,AIR MENIDEH ,UNDI BIASA,AIR MENIDEH 014/25/09
13,014/25/10,"DEWAN KOMPLEKS PENYAYANG, JABATAN KEBAJIKAN MASYARAKAT DAERAH KUALA MUDA",1,169,2,37,100,27,0,166,3,0,JALAN BADLISHAH ,UNDI BIASA,JALAN BADLISHAH 014/25/10
13,014/25/10,"DEWAN KOMPLEKS PENYAYANG, JABATAN KEBAJIKAN MASYARAKAT DAERAH KUALA MUDA",2,186,2,24,112,43,4,185,1,0,JALAN BADLISHAH ,UNDI BIASA,JALAN BADLISHAH 014/25/10
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,1,329,2,110,106,94,13,325,4,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,2,373,5,89,160,109,8,371,2,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,3,374,3,56,196,113,6,374,0,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,4,460,1,64,196,182,17,460,0,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,5,430,2,59,155,208,6,430,0,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,6,454,0,34,197,219,4,454,0,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
14,014/25/11,SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNGAI PETANI,7,532,2,42,243,238,6,531,1,0,TAMAN PERUDA ,UNDI BIASA,TAMAN PERUDA 014/25/11
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",1,312,2,92,98,111,4,307,5,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",2,379,5,86,122,158,4,375,4,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",3,363,3,52,187,115,5,362,1,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",4,472,2,60,181,215,13,471,1,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",5,416,0,39,136,233,7,415,1,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",6,433,0,49,114,262,7,432,1,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",7,447,1,33,153,256,3,446,1,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
15,014/25/12,"SEKOLAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",8,503,0,41,148,311,1,501,2,0,TAMAN RIA UTARA ,UNDI BIASA,TAMAN RIA UTARA 014/25/12
16,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",1,319,12,89,160,40,13,314,5,0,UNITED PETANI ,UNDI BIASA,UNITED PETANI 014/25/13
16,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",2,343,4,67,207,56,6,340,3,0,UNITED PETANI ,UNDI BIASA,UNITED PETANI 014/25/13
16,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",3,304,3,42,176,75,7,303,1,0,UNITED PETANI ,UNDI BIASA,UNITED PETANI 014/25/13
16,014/25/13,"SEKOLAH JENIS KEBANGSAAN (TAMIL) ARUMUGUM PILLAI, SUNGAI PETANI",4,365,2,20,242,93,8,365,0,0,UNITED PETANI ,UNDI BIASA,UNITED PETANI 014/25/13
17,014/25/14,"SEKOLAH KEBANGSAAN PATANI PARA, SUNGAI PETANI",1,187,10,64,87,19,2,182,5,0,PETANI PARA ,UNDI BIASA,PETANI PARA 014/25/14
18,014/25/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PALANISAMY KUMARAN, BAHAGIAN SUNGAI",1,364,17,77,187,64,6,351,13,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PALANISAMY KUMARAN, BAHAGIAN SUNGAI",2,347,4,40,222,78,2,346,1,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",1,360,4,87,123,136,5,355,5,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",2,645,4,84,152,396,8,644,1,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",3,527,3,54,182,282,5,526,1,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",4,491,2,50,187,247,5,491,0,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",5,524,0,42,180,295,5,522,2,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",6,568,1,38,178,341,2,560,8,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",7,605,2,51,146,398,5,602,3,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",8,629,2,44,157,417,6,626,3,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",1,318,7,111,108,81,4,311,7,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",2,365,4,103,116,132,5,360,5,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",3,473,0,104,123,232,9,468,5,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",4,396,0,65,99,219,10,393,3,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",5,412,2,74,83,248,4,411,1,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",6,480,0,67,76,336,0,479,1,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
20,014/25/17,"SEKOLAH MENENGAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",1,361,4,150,30,171,2,357,4,0,KAMPUNG POKOK MACHANG ,UNDI BIASA,KAMPUNG POKOK MACHANG 014/25/17
20,014/25/17,"SEKOLAH MENENGAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",2,567,0,133,67,364,3,567,0,0,KAMPUNG POKOK MACHANG ,UNDI BIASA,KAMPUNG POKOK MACHANG 014/25/17
20,014/25/17,"SEKOLAH MENENGAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",3,583,0,90,44,441,7,582,1,0,KAMPUNG POKOK MACHANG ,UNDI BIASA,KAMPUNG POKOK MACHANG 014/25/17
21,014/25/18,"SEKOLAH KEBANGSAAN SERI WANGSA, SUNGAI PETANI",1,360,5,120,67,163,1,356,4,0,BATU BELACHAN ,UNDI BIASA,BATU BELACHAN 014/25/18
21,014/25/18,"SEKOLAH KEBANGSAAN SERI WANGSA, SUNGAI PETANI",2,459,0,99,38,319,2,458,1,0,BATU BELACHAN ,UNDI BIASA,BATU BELACHAN 014/25/18
22,014/25/19,"SEKOLAH KEBANGSAAN DATARAN MUDA, SUNGAI PETANI",1,361,11,86,52,195,7,351,10,0,TITI PANJANG ,UNDI BIASA,TITI PANJANG 014/25/19
22,014/25/19,"SEKOLAH KEBANGSAAN DATARAN MUDA, SUNGAI PETANI",2,541,0,94,31,409,3,537,4,0,TITI PANJANG ,UNDI BIASA,TITI PANJANG 014/25/19
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",1,365,1,97,81,166,16,361,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",2,593,0,94,139,335,21,589,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",3,582,1,74,130,368,9,582,0,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",4,507,0,58,141,299,5,503,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",5,457,2,44,129,272,10,457,0,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",6,511,0,49,121,333,6,509,2,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",7,552,0,34,130,382,4,550,2,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",8,575,0,56,111,403,4,574,1,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",9,576,1,40,102,424,5,572,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,1,291,4,69,139,70,6,288,3,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,2,365,4,76,131,146,4,361,4,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,3,363,3,46,192,114,1,356,7,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,4,523,2,50,329,137,4,522,1,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,5,466,1,46,253,157,9,466,0,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,6,444,1,44,189,196,13,443,1,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
