Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RAZALI BIN LEBAI SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MAHDZIR BIN KHALID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MUAZ ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ NURUL AMIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
17,007/07/14,"SEKOLAH KEBANGSAAN TOH PUAN SHARIFAH HANIFAH, KUALA NERANG",2,497,6,139,16,336,497,0,0,KAMPUNG NAI TEH ,UNDI BIASA,KAMPUNG NAI TEH 007/07/14
17,007/07/14,"SEKOLAH KEBANGSAAN TOH PUAN SHARIFAH HANIFAH, KUALA NERANG",3,495,1,113,26,354,494,1,0,KAMPUNG NAI TEH ,UNDI BIASA,KAMPUNG NAI TEH 007/07/14
18,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",1,358,13,160,23,147,343,15,0,BUKIT TEMBAGA ,UNDI BIASA,BUKIT TEMBAGA 007/07/15
18,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",2,384,11,126,16,227,380,4,0,BUKIT TEMBAGA ,UNDI BIASA,BUKIT TEMBAGA 007/07/15
18,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",3,425,10,114,13,282,419,6,0,BUKIT TEMBAGA ,UNDI BIASA,BUKIT TEMBAGA 007/07/15
18,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",4,390,8,103,21,258,390,0,0,BUKIT TEMBAGA ,UNDI BIASA,BUKIT TEMBAGA 007/07/15
18,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",5,434,3,100,29,301,433,1,0,BUKIT TEMBAGA ,UNDI BIASA,BUKIT TEMBAGA 007/07/15
19,007/07/16,"SEKOLAH MENENGAH AGAMA AL-KHAIRIAH, KUALA NERANG",1,394,8,113,16,249,386,8,0,KAMPUNG BAROKHAS ,UNDI BIASA,KAMPUNG BAROKHAS 007/07/16
19,007/07/16,"SEKOLAH MENENGAH AGAMA AL-KHAIRIAH, KUALA NERANG",2,475,3,98,23,348,472,3,0,KAMPUNG BAROKHAS ,UNDI BIASA,KAMPUNG BAROKHAS 007/07/16
19,007/07/16,"SEKOLAH MENENGAH AGAMA AL-KHAIRIAH, KUALA NERANG",3,526,1,88,16,419,524,2,0,KAMPUNG BAROKHAS ,UNDI BIASA,KAMPUNG BAROKHAS 007/07/16
20,007/07/17,"SEKOLAH KEBANGSAAN PANGLIMA AWANG, KUALA NERANG",1,399,7,146,12,230,395,4,0,NAKO NAMBUA ,UNDI BIASA,NAKO NAMBUA 007/07/17
20,007/07/17,"SEKOLAH KEBANGSAAN PANGLIMA AWANG, KUALA NERANG",2,480,7,121,16,326,470,10,0,NAKO NAMBUA ,UNDI BIASA,NAKO NAMBUA 007/07/17
20,007/07/17,"SEKOLAH KEBANGSAAN PANGLIMA AWANG, KUALA NERANG",3,561,3,125,17,416,561,0,0,NAKO NAMBUA ,UNDI BIASA,NAKO NAMBUA 007/07/17
21,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",1,393,7,145,14,214,380,13,0,KUALA TEKAI ,UNDI BIASA,KUALA TEKAI 007/08/01
21,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",2,379,2,130,10,232,374,5,0,KUALA TEKAI ,UNDI BIASA,KUALA TEKAI 007/08/01
21,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",3,429,3,118,15,289,425,4,0,KUALA TEKAI ,UNDI BIASA,KUALA TEKAI 007/08/01
21,007/08/01,"SEKOLAH MENENGAH KEBANGSAAN PEDU, KUALA NERANG",4,476,2,156,19,298,475,1,0,KUALA TEKAI ,UNDI BIASA,KUALA TEKAI 007/08/01
22,007/08/02,SEKOLAH KEBANGSAAN PEDU,4,390,2,180,28,176,386,4,0,KAMPUNG MUSA ,UNDI BIASA,KAMPUNG MUSA 007/08/02
22,007/08/02,SEKOLAH KEBANGSAAN PEDU,5,357,3,119,28,205,355,2,0,KAMPUNG MUSA ,UNDI BIASA,KAMPUNG MUSA 007/08/02
22,007/08/02,SEKOLAH KEBANGSAAN PEDU,6,524,4,173,22,321,520,4,0,KAMPUNG MUSA ,UNDI BIASA,KAMPUNG MUSA 007/08/02
23,007/08/03,SEKOLAH KEBANGSAAN PEDU,1,381,11,195,46,113,365,16,0,PEDU ,UNDI BIASA,PEDU 007/08/03
23,007/08/03,SEKOLAH KEBANGSAAN PEDU,2,476,7,214,80,167,468,8,0,PEDU ,UNDI BIASA,PEDU 007/08/03
23,007/08/03,SEKOLAH KEBANGSAAN PEDU,3,473,2,190,86,192,470,3,0,PEDU ,UNDI BIASA,PEDU 007/08/03
24,007/08/04,"SEKOLAH KEBANGSAAN DATIN FATIMAH, KUALA NERANG",1,397,8,129,15,238,390,7,0,TONG PELU ,UNDI BIASA,TONG PELU 007/08/04
24,007/08/04,"SEKOLAH KEBANGSAAN DATIN FATIMAH, KUALA NERANG",2,540,5,148,16,362,531,9,0,TONG PELU ,UNDI BIASA,TONG PELU 007/08/04
24,007/08/04,"SEKOLAH KEBANGSAAN DATIN FATIMAH, KUALA NERANG",3,537,1,115,15,404,535,2,0,TONG PELU ,UNDI BIASA,TONG PELU 007/08/04
25,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",1,377,0,101,7,264,372,5,0,KAMPUNG MESJID ,UNDI BIASA,KAMPUNG MESJID 007/08/05
25,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",2,404,1,110,13,277,401,3,0,KAMPUNG MESJID ,UNDI BIASA,KAMPUNG MESJID 007/08/05
25,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",3,578,0,135,17,418,570,8,0,KAMPUNG MESJID ,UNDI BIASA,KAMPUNG MESJID 007/08/05
25,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",4,575,1,140,12,420,573,2,0,KAMPUNG MESJID ,UNDI BIASA,KAMPUNG MESJID 007/08/05
25,007/08/05,"SEKOLAH MENENGAH KEBANGSAAN NAKA, NAKA",5,620,0,171,20,424,615,4,1,KAMPUNG MESJID ,UNDI BIASA,KAMPUNG MESJID 007/08/05
26,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",1,398,2,121,8,262,393,5,0,BELUKAR LUAS ,UNDI BIASA,BELUKAR LUAS 007/08/06
26,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",2,397,0,98,21,278,397,0,0,BELUKAR LUAS ,UNDI BIASA,BELUKAR LUAS 007/08/06
26,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",3,458,3,100,14,338,455,3,0,BELUKAR LUAS ,UNDI BIASA,BELUKAR LUAS 007/08/06
26,007/08/06,"SEKOLAH KEBANGSAAN KAMPONG BELUKAR, NAKA",4,462,0,96,16,348,460,2,0,BELUKAR LUAS ,UNDI BIASA,BELUKAR LUAS 007/08/06
27,007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",1,401,2,122,18,254,396,5,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 007/08/07
27,007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",2,596,1,172,18,400,591,5,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 007/08/07
27,007/08/07,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",3,609,2,136,17,452,607,2,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 007/08/07
28,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",4,376,4,160,17,192,373,3,0,TANDOP BESAR ,UNDI BIASA,TANDOP BESAR 007/08/08
28,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",5,407,2,156,26,220,404,3,0,TANDOP BESAR ,UNDI BIASA,TANDOP BESAR 007/08/08
28,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",6,591,2,214,25,347,588,3,0,TANDOP BESAR ,UNDI BIASA,TANDOP BESAR 007/08/08
28,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",7,571,3,171,19,376,569,2,0,TANDOP BESAR ,UNDI BIASA,TANDOP BESAR 007/08/08
28,007/08/08,"SEKOLAH KEBANGSAAN TANDOP BESAR, KUALA NERANG",8,608,2,207,29,370,608,0,0,TANDOP BESAR ,UNDI BIASA,TANDOP BESAR 007/08/08
29,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",1,349,7,183,33,122,345,4,0,NAKA ,UNDI BIASA,NAKA 007/08/09
29,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",2,398,1,223,48,119,391,7,0,NAKA ,UNDI BIASA,NAKA 007/08/09
29,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",3,578,3,261,64,242,570,8,0,NAKA ,UNDI BIASA,NAKA 007/08/09
29,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",4,537,0,220,45,267,532,5,0,NAKA ,UNDI BIASA,NAKA 007/08/09
29,007/08/09,"SEKOLAH KEBANGSAAN NAKA, NAKA",5,573,3,199,69,301,572,1,0,NAKA ,UNDI BIASA,NAKA 007/08/09
30,007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",1,387,4,304,35,24,367,20,0,LAMDIN ,UNDI BIASA,LAMDIN 007/08/10
30,007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",2,460,4,365,49,33,451,9,0,LAMDIN ,UNDI BIASA,LAMDIN 007/08/10
30,007/08/10,"SEKOLAH KEBANGSAAN LAMDIN, NAKA",3,442,2,310,73,46,431,11,0,LAMDIN ,UNDI BIASA,LAMDIN 007/08/10
31,007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",1,398,4,217,14,154,389,9,0,NAMI ,UNDI BIASA,NAMI 007/08/11
31,007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",2,356,0,178,10,165,353,3,0,NAMI ,UNDI BIASA,NAMI 007/08/11
31,007/08/11,"SEKOLAH KEBANGSAAN NAMI, NAKA",3,375,1,175,20,173,369,6,0,NAMI ,UNDI BIASA,NAMI 007/08/11
32,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",1,372,2,257,15,93,367,5,0,FELDA LUBOK MERBAU A ,UNDI BIASA,FELDA LUBOK MERBAU A 007/08/12
32,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",2,363,4,196,19,130,349,14,0,FELDA LUBOK MERBAU A ,UNDI BIASA,FELDA LUBOK MERBAU A 007/08/12
32,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",3,556,6,253,28,265,552,4,0,FELDA LUBOK MERBAU A ,UNDI BIASA,FELDA LUBOK MERBAU A 007/08/12
32,007/08/12,"SEKOLAH KEBANGSAAN LUBOK MERBAU, NAKA",4,555,2,248,28,274,552,3,0,FELDA LUBOK MERBAU A ,UNDI BIASA,FELDA LUBOK MERBAU A 007/08/12
33,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",1,341,9,241,12,68,330,11,0,FELDA LUBOK MERBAU B ,UNDI BIASA,FELDA LUBOK MERBAU B 007/08/13
33,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",2,375,7,205,12,147,371,4,0,FELDA LUBOK MERBAU B ,UNDI BIASA,FELDA LUBOK MERBAU B 007/08/13
33,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",3,517,6,208,27,271,512,5,0,FELDA LUBOK MERBAU B ,UNDI BIASA,FELDA LUBOK MERBAU B 007/08/13
33,007/08/13,"SEKOLAH MENENGAH KEBANGSAAN LUBOK MERBAU, NAKA",4,543,1,219,31,290,541,2,0,FELDA LUBOK MERBAU B ,UNDI BIASA,FELDA LUBOK MERBAU B 007/08/13
34,007/08/14,"SEKOLAH MENENGAH AGAMA AL-ISLAHIAH AL-ISLAMIAH, FELDA LUBOK MERBAU",1,233,4,129,22,72,227,6,0,KAMPUNG MAHAWANGSA PADANG TERAP ,UNDI BIASA,KAMPUNG MAHAWANGSA PADANG TERAP 007/08/14
34,007/08/14,"SEKOLAH MENENGAH AGAMA AL-ISLAHIAH AL-ISLAMIAH, FELDA LUBOK MERBAU",2,232,5,101,21,100,227,5,0,KAMPUNG MAHAWANGSA PADANG TERAP ,UNDI BIASA,KAMPUNG MAHAWANGSA PADANG TERAP 007/08/14
,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,114,49341,452,17258,2702,28217,48629,632,80,END,END,END
