Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU JOHARI ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) LT KOL (B) BASIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
59,FELDA TELOI KANAN 016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",4,483,24,2,130,325,481,2,0
59,FELDA TELOI KANAN 016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",5,571,31,2,165,373,571,0,0
60,KAMPUNG GUAR CHEMPEDAK 016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",1,389,16,2,112,253,383,6,0
60,KAMPUNG GUAR CHEMPEDAK 016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",2,540,11,3,96,427,537,3,0
60,KAMPUNG GUAR CHEMPEDAK 016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",3,521,10,3,63,443,519,2,0
60,KAMPUNG GUAR CHEMPEDAK 016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",4,543,10,0,61,472,543,0,0
61,PADANG KULIM 016/32/03,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",1,334,7,4,127,196,334,0,0
61,PADANG KULIM 016/32/03,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",2,333,5,1,95,231,332,1,0
61,PADANG KULIM 016/32/03,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",3,373,15,0,83,273,371,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.016 BALING
JUMLAH PEMILIH: 132,099                                                                                                                                                                                           MUKASURAT: 11/14",PADANG KULIM 016/32/03,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",3,373,15,0,83,273,371,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,83,273,371,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
