Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SIVARAJ CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAMZAH ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. SOFEE RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANANDA AK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD BAKHRI BIN HAJI HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",3,358,108,17,7,219,2,0,353,5,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",4,525,144,10,1,350,11,0,516,9,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",5,455,127,17,1,294,11,1,451,4,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",6,455,146,19,1,271,15,0,452,3,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",7,404,142,11,3,228,14,1,399,5,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",8,447,207,7,1,223,6,1,445,2,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",9,454,209,12,0,222,9,0,452,2,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
36,017/34/12,"SEKOLAH MENENGAH KEBANGSAAN JALAN PAYA BESAR, LUNAS",10,484,201,16,1,252,11,0,481,3,0,PAYA BESAR ,UNDI BIASA,PAYA BESAR 017/34/12
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",1,271,72,21,8,159,7,1,268,3,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",2,326,102,16,4,195,5,1,323,3,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",3,343,129,13,1,187,8,0,338,5,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",4,558,242,12,2,295,4,1,556,2,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",5,537,198,11,1,313,7,1,531,6,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",6,486,196,11,0,265,12,0,484,2,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",7,406,184,6,1,197,15,1,404,2,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",8,435,217,5,2,199,12,0,435,0,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",9,476,264,9,1,192,8,0,474,2,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",10,488,256,13,0,209,8,0,486,2,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR, KULIM",11,490,275,13,1,194,5,0,488,2,0,TAMAN LOBAK ,UNDI BIASA,TAMAN LOBAK 017/34/13
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",1,354,204,18,3,126,0,0,351,3,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 017/34/14
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",2,453,274,12,0,161,4,0,451,2,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 017/34/14
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",3,372,241,7,1,117,2,2,370,2,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 017/34/14
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",4,393,238,11,2,135,4,0,390,3,0,SUNGAI LIMAU ,UNDI BIASA,SUNGAI LIMAU 017/34/14
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",1,303,186,32,4,76,2,0,300,3,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",2,357,226,16,4,109,0,0,355,2,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",3,514,362,15,0,133,0,2,512,2,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",4,464,361,8,1,92,1,0,463,1,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",5,426,321,4,1,97,1,1,425,1,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",6,427,310,6,1,106,2,0,425,2,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
39,017/34/15,"SEKOLAH KEBANGSAAN KELADI, KULIM",7,494,373,14,0,105,0,0,492,2,0,KAMPUNG KELADI ,UNDI BIASA,KAMPUNG KELADI 017/34/15
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",1,258,80,14,7,149,5,1,256,2,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",2,345,149,16,6,166,3,1,341,4,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",3,335,151,10,3,166,3,1,334,1,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",4,492,170,11,0,300,2,0,483,9,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",5,491,198,8,2,277,2,0,487,4,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",6,405,164,9,0,231,1,0,405,0,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",7,434,232,9,0,185,6,0,432,2,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",8,400,219,5,0,171,3,0,398,2,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",9,400,222,5,0,165,6,1,399,1,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",10,421,236,5,1,171,5,0,418,3,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",11,455,254,3,0,191,4,2,454,1,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH, KULIM",12,434,238,5,0,187,2,2,434,0,0,TAMAN SELASIH ,UNDI BIASA,TAMAN SELASIH 017/34/16
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",1,249,61,10,5,160,4,2,242,7,0,SIMPANG TIGA KELADI ,UNDI BIASA,SIMPANG TIGA KELADI 017/34/17
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",2,308,77,9,3,210,2,2,303,5,0,SIMPANG TIGA KELADI ,UNDI BIASA,SIMPANG TIGA KELADI 017/34/17
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI, KULIM",3,342,121,11,1,203,5,0,341,1,0,SIMPANG TIGA KELADI ,UNDI BIASA,SIMPANG TIGA KELADI 017/34/17
