Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SIVARAJ CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAMZAH ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. SOFEE RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANANDA AK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD BAKHRI BIN HAJI HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",8,537,449,14,1,72,1,0,537,0,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",9,516,439,7,1,65,1,0,513,3,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",1,352,259,27,4,45,4,4,343,9,0,SIDAM KANAN ,UNDI BIASA,SIDAM KANAN 017/33/02
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",2,531,458,18,1,52,0,0,529,2,0,SIDAM KANAN ,UNDI BIASA,SIDAM KANAN 017/33/02
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",3,496,442,13,2,36,1,0,494,2,0,SIDAM KANAN ,UNDI BIASA,SIDAM KANAN 017/33/02
5,017/33/02,"MAKTAB MAHMUD KULIM, SIDAM KANAN",4,517,479,6,0,29,0,0,514,3,0,SIDAM KANAN ,UNDI BIASA,SIDAM KANAN 017/33/02
6,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",1,358,227,31,2,88,2,2,352,6,0,KUALA SEDIM ,UNDI BIASA,KUALA SEDIM 017/33/03
6,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",2,360,297,13,2,47,0,0,359,1,0,KUALA SEDIM ,UNDI BIASA,KUALA SEDIM 017/33/03
6,017/33/03,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",3,389,336,12,0,39,0,0,387,2,0,KUALA SEDIM ,UNDI BIASA,KUALA SEDIM 017/33/03
7,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",1,335,164,23,1,136,1,0,325,10,0,PEKAN MERBAU PULAS  ,UNDI BIASA,PEKAN MERBAU PULAS  017/33/04
7,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",2,500,338,9,0,145,1,1,494,6,0,PEKAN MERBAU PULAS  ,UNDI BIASA,PEKAN MERBAU PULAS  017/33/04
7,017/33/04,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK CHEE, MERBAU PULAS",3,486,374,15,0,95,0,0,484,2,0,PEKAN MERBAU PULAS  ,UNDI BIASA,PEKAN MERBAU PULAS  017/33/04
8,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",1,358,257,33,2,56,2,0,350,8,0,KAMPUNG JEMERLI ,UNDI BIASA,KAMPUNG JEMERLI 017/33/05
8,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",2,349,253,20,2,69,1,0,345,4,0,KAMPUNG JEMERLI ,UNDI BIASA,KAMPUNG JEMERLI 017/33/05
8,017/33/05,"SEKOLAH KEBANGSAAN MERBAU PULAS, MERBAU PULAS",3,368,313,7,0,42,6,0,368,0,0,KAMPUNG JEMERLI ,UNDI BIASA,KAMPUNG JEMERLI 017/33/05
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",1,325,214,31,8,59,1,4,317,8,0,BAGAN SENA ,UNDI BIASA,BAGAN SENA 017/33/06
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",2,371,262,26,1,72,1,5,367,4,0,BAGAN SENA ,UNDI BIASA,BAGAN SENA 017/33/06
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",3,439,335,20,1,76,2,0,434,5,0,BAGAN SENA ,UNDI BIASA,BAGAN SENA 017/33/06
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",4,407,307,17,3,68,4,3,402,5,0,BAGAN SENA ,UNDI BIASA,BAGAN SENA 017/33/06
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",5,406,314,28,2,59,0,2,405,1,0,BAGAN SENA ,UNDI BIASA,BAGAN SENA 017/33/06
9,017/33/06,"SEKOLAH KEBANGSAAN LABU BESAR, LABU BESAR",6,452,380,21,2,45,1,2,451,1,0,BAGAN SENA ,UNDI BIASA,BAGAN SENA 017/33/06
10,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",1,306,116,26,5,151,2,1,301,5,0,SUNGAI KARANGAN ,UNDI BIASA,SUNGAI KARANGAN 017/33/07
10,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",2,350,154,21,0,167,2,0,344,6,0,SUNGAI KARANGAN ,UNDI BIASA,SUNGAI KARANGAN 017/33/07
10,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",3,516,233,23,0,251,7,0,514,2,0,SUNGAI KARANGAN ,UNDI BIASA,SUNGAI KARANGAN 017/33/07
10,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",4,479,274,21,0,172,11,0,478,1,0,SUNGAI KARANGAN ,UNDI BIASA,SUNGAI KARANGAN 017/33/07
10,017/33/07,"SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN, PEKAN SUNGAI KARANGAN",5,519,328,15,2,171,3,0,519,0,0,SUNGAI KARANGAN ,UNDI BIASA,SUNGAI KARANGAN 017/33/07
11,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",1,319,145,21,15,118,7,4,310,8,1,PADANG MEIHA ,UNDI BIASA,PADANG MEIHA 017/33/08
11,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",2,537,368,17,4,140,4,1,534,3,0,PADANG MEIHA ,UNDI BIASA,PADANG MEIHA 017/33/08
11,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",3,452,305,11,0,127,7,2,452,0,0,PADANG MEIHA ,UNDI BIASA,PADANG MEIHA 017/33/08
11,017/33/08,"SEKOLAH KEBANGSAAN BUKIT SELARONG, PADANG SERAI",4,458,338,6,1,109,1,0,455,3,0,PADANG MEIHA ,UNDI BIASA,PADANG MEIHA 017/33/08
12,017/33/09,"SEKOLAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",1,220,75,22,4,107,5,2,215,5,0,LADANG PADANG MEIHA ,UNDI BIASA,LADANG PADANG MEIHA 017/33/09
12,017/33/09,"SEKOLAH KEBANGSAAN SUNGAI KARANGAN, PADANG SERAI",2,247,149,14,2,78,2,0,245,2,0,LADANG PADANG MEIHA ,UNDI BIASA,LADANG PADANG MEIHA 017/33/09
13,017/33/10,"SEKOLAH KEBANGSAAN PAGAR MUSEH, KARANGAN",1,334,198,30,4,86,10,2,330,4,0,BATU PUTEH ,UNDI BIASA,BATU PUTEH 017/33/10
13,017/33/10,"SEKOLAH KEBANGSAAN PAGAR MUSEH, KARANGAN",2,322,251,13,2,52,1,1,320,2,0,BATU PUTEH ,UNDI BIASA,BATU PUTEH 017/33/10
13,017/33/10,"SEKOLAH KEBANGSAAN PAGAR MUSEH, KARANGAN",3,342,273,7,1,54,3,0,338,4,0,BATU PUTEH ,UNDI BIASA,BATU PUTEH 017/33/10
14,017/33/11,"SEKOLAH KEBANGSAAN LADANG BUKIT SIDIM, KULIM",1,152,43,19,8,75,0,1,146,6,0,BUKIT SEDIM ,UNDI BIASA,BUKIT SEDIM 017/33/11
14,017/33/11,"SEKOLAH KEBANGSAAN LADANG BUKIT SIDIM, KULIM",2,142,60,9,0,71,0,0,140,2,0,BUKIT SEDIM ,UNDI BIASA,BUKIT SEDIM 017/33/11
15,017/33/12,"SEKOLAH MENENGAH KEBANGSAAN LABU BESAR, PEKAN LABU BESAR",1,320,199,61,2,54,0,1,317,3,0,KAMPUNG BIKAN ,UNDI BIASA,KAMPUNG BIKAN 017/33/12
15,017/33/12,"SEKOLAH MENENGAH KEBANGSAAN LABU BESAR, PEKAN LABU BESAR",2,428,329,36,0,55,0,1,421,7,0,KAMPUNG BIKAN ,UNDI BIASA,KAMPUNG BIKAN 017/33/12
15,017/33/12,"SEKOLAH MENENGAH KEBANGSAAN LABU BESAR, PEKAN LABU BESAR",3,377,321,17,1,32,1,1,373,4,0,KAMPUNG BIKAN ,UNDI BIASA,KAMPUNG BIKAN 017/33/12
15,017/33/12,"SEKOLAH MENENGAH KEBANGSAAN LABU BESAR, PEKAN LABU BESAR",4,388,345,19,0,24,0,0,388,0,0,KAMPUNG BIKAN ,UNDI BIASA,KAMPUNG BIKAN 017/33/12
16,017/33/13,"SEKOLAH MENENGAH AGAMA MADRASAH IHSANIAH, KAMPUNG JANGKANG",1,304,175,41,3,78,2,4,303,1,0,KAMPUNG JANGKANG ,UNDI BIASA,KAMPUNG JANGKANG 017/33/13
16,017/33/13,"SEKOLAH MENENGAH AGAMA MADRASAH IHSANIAH, KAMPUNG JANGKANG",2,372,272,17,1,72,3,1,366,6,0,KAMPUNG JANGKANG ,UNDI BIASA,KAMPUNG JANGKANG 017/33/13
16,017/33/13,"SEKOLAH MENENGAH AGAMA MADRASAH IHSANIAH, KAMPUNG JANGKANG",3,360,295,9,1,45,3,0,353,7,0,KAMPUNG JANGKANG ,UNDI BIASA,KAMPUNG JANGKANG 017/33/13
16,017/33/13,"SEKOLAH MENENGAH AGAMA MADRASAH IHSANIAH, KAMPUNG JANGKANG",4,336,279,15,0,35,2,2,333,3,0,KAMPUNG JANGKANG ,UNDI BIASA,KAMPUNG JANGKANG 017/33/13
16,017/33/13,"SEKOLAH MENENGAH AGAMA MADRASAH IHSANIAH, KAMPUNG JANGKANG",5,402,344,11,2,40,1,0,398,4,0,KAMPUNG JANGKANG ,UNDI BIASA,KAMPUNG JANGKANG 017/33/13
17,017/33/14,"SEKOLAH KEBANGSAAN SUNGAI KOB, KARANGAN",1,318,172,32,3,107,0,1,315,3,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH KEBANGSAAN SUNGAI KOB, KARANGAN",2,356,230,7,0,110,5,2,354,2,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH KEBANGSAAN SUNGAI KOB, KARANGAN",3,361,282,5,0,71,2,0,360,1,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",1,347,235,18,2,82,2,0,339,8,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",2,585,476,13,2,87,2,1,581,4,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",3,529,399,7,2,108,9,1,526,3,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",4,443,321,6,0,108,7,0,442,1,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",5,464,371,11,0,77,2,0,461,3,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",6,499,401,12,0,84,0,0,497,2,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",7,479,411,8,0,56,2,1,478,1,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
17,017/33/14,"SEKOLAH MENENGAH KEBANGSAAN TAMAN MUTIARA, SUNGAI KOB",8,452,385,5,0,59,0,0,449,3,0,SUNGAI KOB ,UNDI BIASA,SUNGAI KOB 017/33/14
18,017/33/15,"SEKOLAH KEBANGSAAN SUNGAI ULAR, KULIM",1,288,170,27,4,76,4,5,286,2,0,KAMPUNG SUNGAI ULAR ,UNDI BIASA,KAMPUNG SUNGAI ULAR 017/33/15
18,017/33/15,"SEKOLAH KEBANGSAAN SUNGAI ULAR, KULIM",2,365,227,15,3,97,2,1,345,20,0,KAMPUNG SUNGAI ULAR ,UNDI BIASA,KAMPUNG SUNGAI ULAR 017/33/15
18,017/33/15,"SEKOLAH KEBANGSAAN SUNGAI ULAR, KULIM",3,455,344,13,1,94,1,0,453,2,0,KAMPUNG SUNGAI ULAR ,UNDI BIASA,KAMPUNG SUNGAI ULAR 017/33/15
18,017/33/15,"SEKOLAH KEBANGSAAN SUNGAI ULAR, KULIM",4,404,304,8,3,82,4,0,401,3,0,KAMPUNG SUNGAI ULAR ,UNDI BIASA,KAMPUNG SUNGAI ULAR 017/33/15
18,017/33/15,"SEKOLAH KEBANGSAAN SUNGAI ULAR, KULIM",5,420,338,8,1,73,0,0,420,0,0,KAMPUNG SUNGAI ULAR ,UNDI BIASA,KAMPUNG SUNGAI ULAR 017/33/15
19,017/33/16,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BUKIT MERTAJAM, KULIM",1,306,72,18,6,200,3,1,300,6,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BUKIT MERTAJAM, KULIM",2,359,107,12,0,227,10,0,356,3,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BUKIT MERTAJAM, KULIM",3,328,114,18,1,182,10,0,325,3,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH KEBANGSAAN TAMAN HI-TECH, KULIM",1,324,194,6,2,118,1,0,321,3,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH KEBANGSAAN TAMAN HI-TECH, KULIM",2,534,350,6,2,168,5,1,532,2,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH KEBANGSAAN TAMAN HI-TECH, KULIM",3,424,242,6,0,168,8,0,424,0,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH KEBANGSAAN TAMAN HI-TECH, KULIM",4,439,261,7,1,168,0,0,437,2,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
19,017/33/16,"SEKOLAH KEBANGSAAN TAMAN HI-TECH, KULIM",5,397,283,5,2,102,4,0,396,1,0,KULIM HIGH TECH ,UNDI BIASA,KULIM HIGH TECH 017/33/16
20,017/33/17,"SEKOLAH MENENGAH KEBANGSAAN KULIM HI-TECH, KULIM",1,254,197,13,4,35,0,0,249,5,0,PADANG CHINA ,UNDI BIASA,PADANG CHINA 017/33/17
20,017/33/17,"SEKOLAH MENENGAH KEBANGSAAN KULIM HI-TECH, KULIM",2,260,225,8,0,26,0,0,259,1,0,PADANG CHINA ,UNDI BIASA,PADANG CHINA 017/33/17
21,017/33/18,SEKOLAH KEBANGSAAN JALAN PAYA BESAR,1,343,75,25,9,201,15,2,327,16,0,TAMAN PERAK ,UNDI BIASA,TAMAN PERAK 017/33/18
21,017/33/18,SEKOLAH KEBANGSAAN JALAN PAYA BESAR,2,507,144,28,0,306,22,0,500,7,0,TAMAN PERAK ,UNDI BIASA,TAMAN PERAK 017/33/18
21,017/33/18,SEKOLAH KEBANGSAAN JALAN PAYA BESAR,3,458,165,21,1,248,19,0,454,4,0,TAMAN PERAK ,UNDI BIASA,TAMAN PERAK 017/33/18
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",1,276,127,13,2,129,1,2,274,2,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",2,331,167,13,1,142,3,2,328,3,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",3,446,233,13,3,191,2,0,442,4,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",4,399,217,8,0,171,2,0,398,1,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",5,355,214,6,3,128,2,0,353,2,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",6,343,207,2,1,129,4,0,343,0,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",7,354,191,3,0,153,6,0,353,1,0,TAMAN SENANGIN ,UNDI BIASA,TAMAN SENANGIN 017/33/19
23,017/33/20,"SEKOLAH KEBANGSAAN TUNKU ABDUL MALIK, KULIM",1,302,100,8,4,184,2,1,299,3,0,KAMPUNG BARU ,UNDI BIASA,KAMPUNG BARU 017/33/20
23,017/33/20,"SEKOLAH KEBANGSAAN TUNKU ABDUL MALIK, KULIM",2,402,221,8,1,165,4,1,400,2,0,KAMPUNG BARU ,UNDI BIASA,KAMPUNG BARU 017/33/20
24,017/33/21,"SEKOLAH JENIS KEBANGSAAN (CINA) KELANG LAMA, KULIM",1,272,43,11,7,199,5,2,267,5,0,JALAN SERDANG ,UNDI BIASA,JALAN SERDANG 017/33/21
24,017/33/21,"SEKOLAH JENIS KEBANGSAAN (CINA) KELANG LAMA, KULIM",2,297,89,7,2,192,2,0,292,5,0,JALAN SERDANG ,UNDI BIASA,JALAN SERDANG 017/33/21
24,017/33/21,"SEKOLAH JENIS KEBANGSAAN (CINA) KELANG LAMA, KULIM",3,470,240,7,0,214,6,1,468,2,0,JALAN SERDANG ,UNDI BIASA,JALAN SERDANG 017/33/21
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",1,289,47,13,3,223,0,0,286,3,0,"PEKAN PADANG SERAI
",UNDI BIASA,"PEKAN PADANG SERAI
017/34/01"
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",2,354,107,9,3,231,0,0,350,4,0,"PEKAN PADANG SERAI
",UNDI BIASA,"PEKAN PADANG SERAI
017/34/01"
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",3,431,162,8,1,252,4,0,427,4,0,"PEKAN PADANG SERAI
",UNDI BIASA,"PEKAN PADANG SERAI
017/34/01"
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",4,369,144,13,0,210,2,0,369,0,0,"PEKAN PADANG SERAI
",UNDI BIASA,"PEKAN PADANG SERAI
017/34/01"
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",5,397,232,5,0,156,2,0,395,2,0,"PEKAN PADANG SERAI
",UNDI BIASA,"PEKAN PADANG SERAI
017/34/01"
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",6,404,263,3,0,134,3,0,403,1,0,"PEKAN PADANG SERAI
",UNDI BIASA,"PEKAN PADANG SERAI
017/34/01"
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI, PADANG SERAI",1,315,57,6,6,240,1,2,312,3,0,JALAN BALING ,UNDI BIASA,JALAN BALING 017/34/02
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI, PADANG SERAI",2,383,141,6,1,232,2,0,382,1,0,JALAN BALING ,UNDI BIASA,JALAN BALING 017/34/02
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI, PADANG SERAI",3,319,147,4,0,165,3,0,319,0,0,JALAN BALING ,UNDI BIASA,JALAN BALING 017/34/02
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI, PADANG SERAI",4,341,203,2,1,130,2,1,339,2,0,JALAN BALING ,UNDI BIASA,JALAN BALING 017/34/02
27,017/34/03,"SEKOLAH MENENGAH KEBANGSAAN KULIM, KULIM",1,301,153,18,3,119,2,1,296,5,0,JALAN LUNAS ,UNDI BIASA,JALAN LUNAS 017/34/03
27,017/34/03,"SEKOLAH MENENGAH KEBANGSAAN KULIM, KULIM",2,433,327,9,0,95,1,0,432,1,0,JALAN LUNAS ,UNDI BIASA,JALAN LUNAS 017/34/03
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",1,356,269,17,4,60,2,2,354,2,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",2,626,491,8,0,125,2,0,626,0,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",3,521,349,8,0,159,3,0,519,2,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",4,523,396,9,0,114,2,0,521,2,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",5,558,439,12,3,100,3,0,557,1,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",6,547,450,6,0,89,1,0,546,1,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN MAHSURI, PADANG SERAI",7,539,466,5,0,68,0,0,539,0,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",1,237,20,20,5,180,4,4,233,4,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN RIA, PADANG SERAI",1,342,130,6,2,197,3,0,338,4,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN RIA, PADANG SERAI",2,487,165,18,2,291,5,1,482,5,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN RIA, PADANG SERAI",3,436,231,11,2,186,4,0,434,2,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
28,017/34/04,"SEKOLAH KEBANGSAAN TAMAN RIA, PADANG SERAI",4,498,306,10,0,181,0,0,497,1,0,HENRIETTA ,UNDI BIASA,HENRIETTA 017/34/04
29,017/34/05,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG VICTORIA, PADANG SERAI",1,317,19,24,5,251,14,1,314,3,0,VICTORIA ,UNDI BIASA,VICTORIA 017/34/05
29,017/34/05,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG VICTORIA, PADANG SERAI",2,333,29,17,1,267,14,0,328,5,0,VICTORIA ,UNDI BIASA,VICTORIA 017/34/05
29,017/34/05,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG VICTORIA, PADANG SERAI",3,456,75,13,0,343,17,0,448,8,0,VICTORIA ,UNDI BIASA,VICTORIA 017/34/05
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",1,318,240,19,6,44,1,0,310,8,0,NAGA LILIT ,UNDI BIASA,NAGA LILIT 017/34/06
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",2,380,291,11,3,60,0,0,365,15,0,NAGA LILIT ,UNDI BIASA,NAGA LILIT 017/34/06
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",3,459,378,10,0,68,0,0,456,3,0,NAGA LILIT ,UNDI BIASA,NAGA LILIT 017/34/06
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",4,453,385,10,2,52,2,0,451,2,0,NAGA LILIT ,UNDI BIASA,NAGA LILIT 017/34/06
30,017/34/06,"SEKOLAH KEBANGSAAN PERMATANG TOK DIK, PADANG SERAI",5,463,414,9,0,36,0,0,459,4,0,NAGA LILIT ,UNDI BIASA,NAGA LILIT 017/34/06
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG, LUNAS",1,258,134,18,3,96,3,1,255,3,0,SUNGAI SELUANG ,UNDI BIASA,SUNGAI SELUANG 017/34/07
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG, LUNAS",2,350,182,19,5,134,4,1,345,5,0,SUNGAI SELUANG ,UNDI BIASA,SUNGAI SELUANG 017/34/07
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG, LUNAS",3,378,216,17,1,140,3,1,378,0,0,SUNGAI SELUANG ,UNDI BIASA,SUNGAI SELUANG 017/34/07
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG, LUNAS",4,560,301,14,0,233,4,1,553,7,0,SUNGAI SELUANG ,UNDI BIASA,SUNGAI SELUANG 017/34/07
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG, LUNAS",5,501,248,12,1,231,9,0,501,0,0,SUNGAI SELUANG ,UNDI BIASA,SUNGAI SELUANG 017/34/07
31,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG, LUNAS",6,466,241,12,1,204,4,0,462,4,0,SUNGAI SELUANG ,UNDI BIASA,SUNGAI SELUANG 017/34/07
