Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ROSLAN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MUHAR BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",1,333,104,118,4,97,323,10,0,PEKAN LUBOK BUNTAR ,UNDI BIASA,PEKAN LUBOK BUNTAR 018/36/13
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",2,576,186,282,6,97,571,5,0,PEKAN LUBOK BUNTAR ,UNDI BIASA,PEKAN LUBOK BUNTAR 018/36/13
39,018/36/13,"SEKOLAH JENIS KEBANGSAAN (CINA) POAY CHAI, LUBOK BUNTAR",3,615,127,393,1,89,610,5,0,PEKAN LUBOK BUNTAR ,UNDI BIASA,PEKAN LUBOK BUNTAR 018/36/13
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",1,373,33,170,9,153,365,8,0,KERAT TELUNJOK ,UNDI BIASA,KERAT TELUNJOK 018/36/14
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",2,436,44,291,8,89,432,4,0,KERAT TELUNJOK ,UNDI BIASA,KERAT TELUNJOK 018/36/14
40,018/36/14,"SEKOLAH KEBANGSAAN PERMATANG KERAT TELUNJUK, BANDAR BAHARU",3,432,27,327,1,76,431,1,0,KERAT TELUNJOK ,UNDI BIASA,KERAT TELUNJOK 018/36/14
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU, SUNGAI KECHIL ULU",1,336,149,81,5,91,326,9,1,SUNGAI KECHIL ULU ,UNDI BIASA,SUNGAI KECHIL ULU 018/36/15
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU, SUNGAI KECHIL ULU",2,362,141,137,1,78,357,5,0,SUNGAI KECHIL ULU ,UNDI BIASA,SUNGAI KECHIL ULU 018/36/15
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU, SUNGAI KECHIL ULU",3,489,200,189,5,88,482,7,0,SUNGAI KECHIL ULU ,UNDI BIASA,SUNGAI KECHIL ULU 018/36/15
41,018/36/15,"SEKOLAH KEBANGSAAN SUNGAI KECHIL ULU, SUNGAI KECHIL ULU",4,495,173,238,2,78,491,4,0,SUNGAI KECHIL ULU ,UNDI BIASA,SUNGAI KECHIL ULU 018/36/15
