Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ROSLAN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MUHAR BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
18,018/35/15,"SEKOLAH MENENGAH KEBANGSAAN  ST. PATRICK, KULIM",2,221,167,33,1,19,220,1,0,JALAN TUNKU PUTRA ,UNDI BIASA,JALAN TUNKU PUTRA 018/35/15
19,018/35/16,"SEKOLAH MENENGAH JENIS KEBANGSAAN CHIO MIN, KULIM",1,298,254,4,2,32,292,6,0,JALAN IBRAHIM ,UNDI BIASA,JALAN IBRAHIM 018/35/16
19,018/35/16,"SEKOLAH MENENGAH JENIS KEBANGSAAN CHIO MIN, KULIM",2,460,389,33,3,31,456,4,0,JALAN IBRAHIM ,UNDI BIASA,JALAN IBRAHIM 018/35/16
20,018/35/17,"SEKOLAH KEBANGSAAN SRI KULIM, TAMAN BERLIAN",1,307,192,51,6,53,302,5,0,BUKIT AWI ,UNDI BIASA,BUKIT AWI 018/35/17
20,018/35/17,"SEKOLAH KEBANGSAAN SRI KULIM, TAMAN BERLIAN",2,434,257,126,8,41,432,2,0,BUKIT AWI ,UNDI BIASA,BUKIT AWI 018/35/17
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",1,287,141,71,6,63,281,6,0,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",2,328,131,101,9,81,322,6,0,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",3,371,192,102,3,67,364,7,0,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",4,572,279,204,5,79,567,5,0,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",5,520,232,216,5,61,514,4,2,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",6,498,225,223,6,42,496,2,0,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",7,546,238,247,4,53,542,3,1,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
21,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",8,586,226,298,1,60,585,1,0,TAMAN BERSATU ,UNDI BIASA,TAMAN BERSATU 018/35/18
22,018/35/19,"KOLEJ MARA, KULIM",1,310,134,81,10,78,303,7,0,AYER MERAH ,UNDI BIASA,AYER MERAH 018/35/19
22,018/35/19,"KOLEJ MARA, KULIM",2,352,205,79,4,61,349,3,0,AYER MERAH ,UNDI BIASA,AYER MERAH 018/35/19
22,018/35/19,"KOLEJ MARA, KULIM",3,504,270,165,6,55,496,8,0,AYER MERAH ,UNDI BIASA,AYER MERAH 018/35/19
22,018/35/19,"KOLEJ MARA, KULIM",4,455,247,171,0,36,454,1,0,AYER MERAH ,UNDI BIASA,AYER MERAH 018/35/19
22,018/35/19,"KOLEJ MARA, KULIM",5,510,320,157,1,32,510,0,0,AYER MERAH ,UNDI BIASA,AYER MERAH 018/35/19
23,018/35/20,KOLEJ VOKASIONAL KULIM,1,313,122,88,7,94,311,2,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,2,362,131,121,3,101,356,5,1,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,3,540,227,215,3,91,536,4,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,4,491,235,193,4,53,485,6,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,5,446,164,218,3,60,445,1,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,6,473,192,238,2,39,471,2,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,7,542,234,253,5,49,541,1,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
23,018/35/20,KOLEJ VOKASIONAL KULIM,8,590,212,319,4,51,586,4,0,TAMAN ANGGERIK ,UNDI BIASA,TAMAN ANGGERIK 018/35/20
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",1,316,236,30,2,41,309,7,0,JUNJONG ,UNDI BIASA,JUNJONG 018/35/21
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",2,382,285,58,0,36,379,3,0,JUNJONG ,UNDI BIASA,JUNJONG 018/35/21
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",3,335,205,106,1,21,333,2,0,JUNJONG ,UNDI BIASA,JUNJONG 018/35/21
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",1,331,33,119,4,160,316,15,0,PADANG PENYANGGA ,UNDI BIASA,PADANG PENYANGGA 018/35/22
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",2,398,40,215,5,135,395,2,1,PADANG PENYANGGA ,UNDI BIASA,PADANG PENYANGGA 018/35/22
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",3,582,57,397,4,119,577,5,0,PADANG PENYANGGA ,UNDI BIASA,PADANG PENYANGGA 018/35/22
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",4,548,59,396,4,87,546,2,0,PADANG PENYANGGA ,UNDI BIASA,PADANG PENYANGGA 018/35/22
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",5,631,46,490,3,89,628,3,0,PADANG PENYANGGA ,UNDI BIASA,PADANG PENYANGGA 018/35/22
26,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",1,363,61,157,4,136,358,5,0,DURIAN BURONG ,UNDI BIASA,DURIAN BURONG 018/35/23
26,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",2,549,86,343,1,119,549,0,0,DURIAN BURONG ,UNDI BIASA,DURIAN BURONG 018/35/23
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",1,377,39,196,8,125,368,9,0,SUNGAI BATU ,UNDI BIASA,SUNGAI BATU 018/36/01
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",2,435,28,303,0,100,431,4,0,SUNGAI BATU ,UNDI BIASA,SUNGAI BATU 018/36/01
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",3,440,21,321,2,94,438,2,0,SUNGAI BATU ,UNDI BIASA,SUNGAI BATU 018/36/01
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",1,373,38,157,2,170,367,6,0,SUNGAI TAKA ,UNDI BIASA,SUNGAI TAKA 018/36/02
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",2,453,30,324,1,91,446,6,1,SUNGAI TAKA ,UNDI BIASA,SUNGAI TAKA 018/36/02
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",3,466,27,356,1,80,464,2,0,SUNGAI TAKA ,UNDI BIASA,SUNGAI TAKA 018/36/02
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",1,332,45,139,12,130,326,6,0,SUNGAI TENGAS ,UNDI BIASA,SUNGAI TENGAS 018/36/03
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",2,393,56,207,3,118,384,9,0,SUNGAI TENGAS ,UNDI BIASA,SUNGAI TENGAS 018/36/03
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",3,418,56,261,1,83,401,17,0,SUNGAI TENGAS ,UNDI BIASA,SUNGAI TENGAS 018/36/03
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",4,418,69,269,2,77,417,1,0,SUNGAI TENGAS ,UNDI BIASA,SUNGAI TENGAS 018/36/03
29,018/36/03,"SEKOLAH MENENGAH KEBANGSAAN SELAMA, SERDANG",5,465,67,310,0,88,465,0,0,SUNGAI TENGAS ,UNDI BIASA,SUNGAI TENGAS 018/36/03
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",1,310,211,40,4,43,298,12,0,SELAMA ,UNDI BIASA,SELAMA 018/36/04
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",2,367,202,83,1,74,360,7,0,SELAMA ,UNDI BIASA,SELAMA 018/36/04
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",3,394,220,128,2,31,381,13,0,SELAMA ,UNDI BIASA,SELAMA 018/36/04
30,018/36/04,"SEKOLAH KEBANGSAAN SELAMA, JALAN SERDANG",4,450,202,190,0,56,448,2,0,SELAMA ,UNDI BIASA,SELAMA 018/36/04
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",1,329,64,102,6,128,300,29,0,BATU LINTANG ,UNDI BIASA,BATU LINTANG 018/36/05
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",2,409,61,219,3,126,409,0,0,BATU LINTANG ,UNDI BIASA,BATU LINTANG 018/36/05
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",3,386,67,225,3,89,384,2,0,BATU LINTANG ,UNDI BIASA,BATU LINTANG 018/36/05
31,018/36/05,"SEKOLAH KEBANGSAAN SUNGAI SALLEH, SERDANG",4,440,52,312,0,74,438,2,0,BATU LINTANG ,UNDI BIASA,BATU LINTANG 018/36/05
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",1,329,188,46,2,83,319,10,0,KAMPUNG EE GUAN ,UNDI BIASA,KAMPUNG EE GUAN 018/36/06
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",2,348,181,91,3,68,343,5,0,KAMPUNG EE GUAN ,UNDI BIASA,KAMPUNG EE GUAN 018/36/06
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",3,295,142,103,0,50,295,0,0,KAMPUNG EE GUAN ,UNDI BIASA,KAMPUNG EE GUAN 018/36/06
32,018/36/06,"SEKOLAH MENENGAH KEBANGSAAN SERDANG, SERDANG",4,347,132,161,1,52,346,1,0,KAMPUNG EE GUAN ,UNDI BIASA,KAMPUNG EE GUAN 018/36/06
