Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAINI BINTI MD SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' AHMAD YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAN ZAMINI BIN JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
33,008/10/07,"SEKOLAH KEBANGSAAN BOHOR, HUTAN KAMPUNG",3,444,4,350,48,37,439,5,0,KAMPUNG BOHOR ,UNDI BIASA,KAMPUNG BOHOR 008/10/07
33,008/10/07,"SEKOLAH KEBANGSAAN BOHOR, HUTAN KAMPUNG",4,499,3,389,48,59,499,0,0,KAMPUNG BOHOR ,UNDI BIASA,KAMPUNG BOHOR 008/10/07
34,008/10/08,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",4,368,1,247,95,20,363,5,0,LEPAI ,UNDI BIASA,LEPAI 008/10/08
34,008/10/08,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",5,424,2,314,67,38,421,3,0,LEPAI ,UNDI BIASA,LEPAI 008/10/08
34,008/10/08,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",6,420,0,343,48,28,419,1,0,LEPAI ,UNDI BIASA,LEPAI 008/10/08
35,008/10/09,MAKTAB MAHMUD POKOK SENA,1,302,5,146,96,51,298,4,0,"KAMPUNG SUNGAI MATI
",UNDI BIASA,"KAMPUNG SUNGAI MATI
008/10/09"
35,008/10/09,MAKTAB MAHMUD POKOK SENA,2,388,4,253,61,67,385,3,0,"KAMPUNG SUNGAI MATI
",UNDI BIASA,"KAMPUNG SUNGAI MATI
008/10/09"
35,008/10/09,MAKTAB MAHMUD POKOK SENA,3,520,4,364,91,60,519,1,0,"KAMPUNG SUNGAI MATI
",UNDI BIASA,"KAMPUNG SUNGAI MATI
008/10/09"
35,008/10/09,MAKTAB MAHMUD POKOK SENA,4,480,3,359,56,57,475,5,0,"KAMPUNG SUNGAI MATI
",UNDI BIASA,"KAMPUNG SUNGAI MATI
008/10/09"
35,008/10/09,MAKTAB MAHMUD POKOK SENA,5,467,1,368,32,62,463,4,0,"KAMPUNG SUNGAI MATI
",UNDI BIASA,"KAMPUNG SUNGAI MATI
008/10/09"
35,008/10/09,MAKTAB MAHMUD POKOK SENA,6,533,1,398,50,81,530,3,0,"KAMPUNG SUNGAI MATI
",UNDI BIASA,"KAMPUNG SUNGAI MATI
008/10/09"
36,008/10/10,"SEKOLAH KEBANGSAAN TAMAN AWANA, ALOR SETAR",1,364,2,198,111,42,353,11,0,LIMBONG ,UNDI BIASA,LIMBONG 008/10/10
36,008/10/10,"SEKOLAH KEBANGSAAN TAMAN AWANA, ALOR SETAR",2,356,3,259,56,33,351,5,0,LIMBONG ,UNDI BIASA,LIMBONG 008/10/10
36,008/10/10,"SEKOLAH KEBANGSAAN TAMAN AWANA, ALOR SETAR",3,383,1,290,62,28,381,2,0,LIMBONG ,UNDI BIASA,LIMBONG 008/10/10
37,008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CHONG, LANGGAR",1,348,8,203,98,30,339,9,0,KAMPUNG ALOR SETOL ,UNDI BIASA,KAMPUNG ALOR SETOL 008/10/11
37,008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CHONG, LANGGAR",2,377,1,255,76,37,369,8,0,KAMPUNG ALOR SETOL ,UNDI BIASA,KAMPUNG ALOR SETOL 008/10/11
37,008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CHONG, LANGGAR",3,382,4,299,49,25,377,5,0,KAMPUNG ALOR SETOL ,UNDI BIASA,KAMPUNG ALOR SETOL 008/10/11
37,008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CHONG, LANGGAR",4,429,0,349,37,40,426,3,0,KAMPUNG ALOR SETOL ,UNDI BIASA,KAMPUNG ALOR SETOL 008/10/11
38,008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",1,311,1,172,62,72,307,4,0,PONDOK LANGGAR ,UNDI BIASA,PONDOK LANGGAR 008/10/12
38,008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",2,375,4,206,79,81,370,5,0,PONDOK LANGGAR ,UNDI BIASA,PONDOK LANGGAR 008/10/12
38,008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",3,458,1,296,63,97,457,1,0,PONDOK LANGGAR ,UNDI BIASA,PONDOK LANGGAR 008/10/12
38,008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",4,414,2,301,51,59,413,1,0,PONDOK LANGGAR ,UNDI BIASA,PONDOK LANGGAR 008/10/12
38,008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",5,455,3,322,46,83,454,1,0,PONDOK LANGGAR ,UNDI BIASA,PONDOK LANGGAR 008/10/12
39,008/10/13,"SEKOLAH MENENGAH KEBANGSAAN LANGGAR, LANGGAR",1,354,5,217,86,41,349,5,0,KAMPUNG LANGGAR B ,UNDI BIASA,KAMPUNG LANGGAR B 008/10/13
39,008/10/13,"SEKOLAH MENENGAH KEBANGSAAN LANGGAR, LANGGAR",2,583,1,465,45,71,582,1,0,KAMPUNG LANGGAR B ,UNDI BIASA,KAMPUNG LANGGAR B 008/10/13
40,008/10/14,"SEKOLAH KEBANGSAAN TELUK JAMAT, LANGGAR",1,380,4,232,114,25,375,5,0,TELOK JAMAT ,UNDI BIASA,TELOK JAMAT 008/10/14
40,008/10/14,"SEKOLAH KEBANGSAAN TELUK JAMAT, LANGGAR",2,477,2,352,87,32,473,4,0,TELOK JAMAT ,UNDI BIASA,TELOK JAMAT 008/10/14
40,008/10/14,"SEKOLAH KEBANGSAAN TELUK JAMAT, LANGGAR",3,497,0,384,65,45,494,3,0,TELOK JAMAT ,UNDI BIASA,TELOK JAMAT 008/10/14
41,008/10/15,PERTUBUHAN PELADANG KAWASAN GERAK MAJU B-111 ALOR SENIBONG,1,363,5,237,85,31,358,5,0,ALOR SENIBONG ,UNDI BIASA,ALOR SENIBONG 008/10/15
41,008/10/15,PERTUBUHAN PELADANG KAWASAN GERAK MAJU B-111 ALOR SENIBONG,2,472,0,377,47,48,472,0,0,ALOR SENIBONG ,UNDI BIASA,ALOR SENIBONG 008/10/15
42,008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",1,357,5,222,94,32,353,4,0,TUALANG ,UNDI BIASA,TUALANG 008/10/16
42,008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",2,390,2,285,63,34,384,5,1,TUALANG ,UNDI BIASA,TUALANG 008/10/16
42,008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",3,535,1,424,71,37,533,2,0,TUALANG ,UNDI BIASA,TUALANG 008/10/16
42,008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",4,538,1,452,49,35,537,1,0,TUALANG ,UNDI BIASA,TUALANG 008/10/16
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",1,302,6,107,72,115,300,2,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",2,345,3,147,43,146,339,6,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",3,424,11,178,44,185,418,6,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",4,381,4,191,38,146,379,2,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",5,368,6,208,32,121,367,1,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",6,386,6,198,27,153,384,2,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
43,008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",7,499,1,260,36,202,499,0,0,TAMAN PKNK ,UNDI BIASA,TAMAN PKNK 008/11/01
44,008/11/02,"MADA RICE TRAINING CENTER (MRTC), JALAN LANGGAR",1,329,7,111,54,151,323,6,0,ALOR MALAI ,UNDI BIASA,ALOR MALAI 008/11/02
44,008/11/02,"MADA RICE TRAINING CENTER (MRTC), JALAN LANGGAR",2,337,1,162,20,153,336,1,0,ALOR MALAI ,UNDI BIASA,ALOR MALAI 008/11/02
45,008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",1,292,7,70,60,150,287,5,0,"KAMPUNG TELOK SENA
",UNDI BIASA,"KAMPUNG TELOK SENA
008/11/03"
45,008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",2,322,3,154,41,120,318,3,1,"KAMPUNG TELOK SENA
",UNDI BIASA,"KAMPUNG TELOK SENA
008/11/03"
45,008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",3,316,4,180,27,103,314,2,0,"KAMPUNG TELOK SENA
",UNDI BIASA,"KAMPUNG TELOK SENA
008/11/03"
46,008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",1,306,2,59,47,194,302,4,0,JALAN STADIUM ,UNDI BIASA,JALAN STADIUM 008/11/04
46,008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",2,312,7,109,39,152,307,5,0,JALAN STADIUM ,UNDI BIASA,JALAN STADIUM 008/11/04
46,008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",3,350,6,166,23,153,348,2,0,JALAN STADIUM ,UNDI BIASA,JALAN STADIUM 008/11/04
47,008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",1,276,3,40,37,193,273,3,0,SENTOSA ,UNDI BIASA,SENTOSA 008/11/05
47,008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",2,329,7,73,28,219,327,2,0,SENTOSA ,UNDI BIASA,SENTOSA 008/11/05
47,008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",3,401,7,171,28,193,399,2,0,SENTOSA ,UNDI BIASA,SENTOSA 008/11/05
48,008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",4,275,2,11,19,240,272,3,0,JALAN AMBAR ,UNDI BIASA,JALAN AMBAR 008/11/06
48,008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",5,347,0,14,23,308,345,2,0,JALAN AMBAR ,UNDI BIASA,JALAN AMBAR 008/11/06
48,008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",6,455,2,84,32,331,449,6,0,JALAN AMBAR ,UNDI BIASA,JALAN AMBAR 008/11/06
49,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",1,311,2,94,66,145,307,4,0,DERGA ,UNDI BIASA,DERGA 008/11/07
49,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",2,350,9,138,49,148,344,6,0,DERGA ,UNDI BIASA,DERGA 008/11/07
49,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",3,302,4,179,26,92,301,1,0,DERGA ,UNDI BIASA,DERGA 008/11/07
49,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",4,338,3,223,22,87,335,3,0,DERGA ,UNDI BIASA,DERGA 008/11/07
50,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",1,272,5,18,33,209,265,7,0,JALAN SHERIFF ,UNDI BIASA,JALAN SHERIFF 008/11/08
50,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",2,335,4,28,29,271,332,2,1,JALAN SHERIFF ,UNDI BIASA,JALAN SHERIFF 008/11/08
50,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",3,399,2,57,26,312,397,2,0,JALAN SHERIFF ,UNDI BIASA,JALAN SHERIFF 008/11/08
50,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",4,372,2,71,25,273,371,1,0,JALAN SHERIFF ,UNDI BIASA,JALAN SHERIFF 008/11/08
50,008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",5,375,0,85,18,271,374,1,0,JALAN SHERIFF ,UNDI BIASA,JALAN SHERIFF 008/11/08
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",1,273,7,76,74,110,267,6,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",2,350,4,85,64,189,342,8,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",3,438,5,156,56,215,432,6,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",4,368,5,180,40,139,364,4,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",5,403,2,220,32,148,402,1,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",6,396,2,184,43,167,396,0,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
51,008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",7,523,5,291,44,183,523,0,0,ALOR SEGAMAT ,UNDI BIASA,ALOR SEGAMAT 008/11/09
52,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",1,315,3,134,43,130,310,5,0,TAMAN MEWAH ,UNDI BIASA,TAMAN MEWAH 008/11/10
52,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",2,349,3,135,46,164,348,1,0,TAMAN MEWAH ,UNDI BIASA,TAMAN MEWAH 008/11/10
52,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",3,331,5,167,32,125,329,2,0,TAMAN MEWAH ,UNDI BIASA,TAMAN MEWAH 008/11/10
52,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",4,332,3,203,23,103,332,0,0,TAMAN MEWAH ,UNDI BIASA,TAMAN MEWAH 008/11/10
52,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",5,454,1,251,39,163,454,0,0,TAMAN MEWAH ,UNDI BIASA,TAMAN MEWAH 008/11/10
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",1,317,5,109,86,114,314,3,0,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",2,357,7,161,63,119,350,7,0,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",3,477,9,241,58,168,476,1,0,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",4,486,5,297,42,139,483,3,0,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",5,434,3,272,56,100,431,3,0,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",6,475,5,295,44,129,473,2,0,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
53,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",7,520,1,337,40,131,509,10,1,TAMAN NURI ,UNDI BIASA,TAMAN NURI 008/11/11
54,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",1,308,4,133,47,122,306,2,0,TAMAN INTAN ,UNDI BIASA,TAMAN INTAN 008/11/12
54,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",2,359,5,153,44,150,352,7,0,TAMAN INTAN ,UNDI BIASA,TAMAN INTAN 008/11/12
54,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",3,541,4,301,55,178,538,3,0,TAMAN INTAN ,UNDI BIASA,TAMAN INTAN 008/11/12
54,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",4,473,0,277,50,145,472,1,0,TAMAN INTAN ,UNDI BIASA,TAMAN INTAN 008/11/12
54,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",5,475,1,283,19,170,473,2,0,TAMAN INTAN ,UNDI BIASA,TAMAN INTAN 008/11/12
54,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",6,570,2,336,39,193,570,0,0,TAMAN INTAN ,UNDI BIASA,TAMAN INTAN 008/11/12
55,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",1,321,2,164,44,104,314,7,0,TANJUNG SERI ,UNDI BIASA,TANJUNG SERI 008/11/13
55,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",2,349,1,226,27,92,346,3,0,TANJUNG SERI ,UNDI BIASA,TANJUNG SERI 008/11/13
55,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",3,335,4,225,24,81,334,1,0,TANJUNG SERI ,UNDI BIASA,TANJUNG SERI 008/11/13
55,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",4,379,0,272,28,76,376,2,1,TANJUNG SERI ,UNDI BIASA,TANJUNG SERI 008/11/13
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",1,311,4,76,46,181,307,4,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",2,388,4,90,53,236,383,5,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",3,564,2,149,49,359,559,5,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",4,483,2,141,28,309,480,3,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",5,446,1,181,30,232,444,2,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",6,435,0,197,21,216,434,1,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",7,493,0,234,40,218,492,1,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
56,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",8,569,3,294,35,233,565,4,0,TAMAN DERGA JAYA ,UNDI BIASA,TAMAN DERGA JAYA 008/11/14
,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,221,88976,622,52275,14523,20524,87944,823,209,END,END,END
