Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAINI BINTI MD SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' AHMAD YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAN ZAMINI BIN JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
10,008/09/06,"SEKOLAH KEBANGSAAN POKOK SENA, POKOK SENA",3,462,3,165,54,234,456,6,0,PEKAN BAHRU POKOK SENA ,UNDI BIASA,PEKAN BAHRU POKOK SENA 008/09/06
10,008/09/06,"SEKOLAH KEBANGSAAN POKOK SENA, POKOK SENA",4,491,5,225,59,195,484,7,0,PEKAN BAHRU POKOK SENA ,UNDI BIASA,PEKAN BAHRU POKOK SENA 008/09/06
11,008/09/07,"SEKOLAH KEBANGSAAN WAN ABDUL SAMAD, POKOK SENA",1,341,2,93,109,133,337,4,0,PEKAN LAMA POKOK SENA ,UNDI BIASA,PEKAN LAMA POKOK SENA 008/09/07
11,008/09/07,"SEKOLAH KEBANGSAAN WAN ABDUL SAMAD, POKOK SENA",2,332,2,160,70,98,330,2,0,PEKAN LAMA POKOK SENA ,UNDI BIASA,PEKAN LAMA POKOK SENA 008/09/07
11,008/09/07,"SEKOLAH KEBANGSAAN WAN ABDUL SAMAD, POKOK SENA",3,364,3,184,76,96,359,5,0,PEKAN LAMA POKOK SENA ,UNDI BIASA,PEKAN LAMA POKOK SENA 008/09/07
11,008/09/07,"SEKOLAH KEBANGSAAN WAN ABDUL SAMAD, POKOK SENA",4,383,1,241,60,80,382,1,0,PEKAN LAMA POKOK SENA ,UNDI BIASA,PEKAN LAMA POKOK SENA 008/09/07
12,008/09/08,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA 2, POKOK SENA",1,333,7,81,124,113,325,8,0,KAMPUNG KOLON ,UNDI BIASA,KAMPUNG KOLON 008/09/08
12,008/09/08,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA 2, POKOK SENA",2,449,1,183,103,159,446,3,0,KAMPUNG KOLON ,UNDI BIASA,KAMPUNG KOLON 008/09/08
12,008/09/08,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA 2, POKOK SENA",3,385,1,158,75,144,378,7,0,KAMPUNG KOLON ,UNDI BIASA,KAMPUNG KOLON 008/09/08
12,008/09/08,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA 2, POKOK SENA",4,362,0,171,55,136,362,0,0,KAMPUNG KOLON ,UNDI BIASA,KAMPUNG KOLON 008/09/08
