Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) P.GUNA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SAGAYA RAJAN A/L XAVIER,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHOONG VEE HING,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
4,130/24/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU RAHANG,3.0,440,394,1,42,437,3,0,KAMPONG BAHRU RAHANG ,UNDI BIASA
4,130/24/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU RAHANG,4.0,448,398,2,46,446,2,0,KAMPONG BAHRU RAHANG ,UNDI BIASA
4,130/24/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU RAHANG,5.0,462,433,0,24,457,5,0,KAMPONG BAHRU RAHANG ,UNDI BIASA
5,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,1.0,298,149,4,140,293,5,0,SENAWANG ,UNDI BIASA
5,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,2.0,544,326,3,203,532,11,1,SENAWANG ,UNDI BIASA
5,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,3.0,526,358,5,157,520,6,0,SENAWANG ,UNDI BIASA
5,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,4.0,500,325,2,165,492,7,1,SENAWANG ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,1.0,260,174,5,77,256,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,2.0,598,399,8,181,588,10,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,3.0,593,375,5,209,589,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,4.0,601,397,4,190,591,10,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,5.0,583,440,2,137,579,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,6.0,591,472,2,113,587,3,1,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,7.0,570,486,2,78,566,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,8.0,564,444,3,114,561,3,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,9.0,572,483,2,84,569,3,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,10.0,550,457,6,87,550,0,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,11.0,536,443,8,81,532,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,12.0,530,444,3,83,530,0,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,13.0,519,432,2,82,516,2,1,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,14.0,517,398,4,111,513,3,1,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,15.0,537,408,6,117,531,2,4,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,16.0,547,414,1,126,541,6,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
6,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,17.0,503,370,3,126,499,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
