Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AH CHONG @ CHONG SIN WOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SHARIFFUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,3.0,614,223,109,277,609,5,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,4.0,603,210,117,275,602,1,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,5.0,595,181,139,274,594,1,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,6.0,572,153,135,283,571,1,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,7.0,566,161,114,287,562,4,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,8.0,539,149,120,268,537,2,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,9.0,538,141,116,277,534,4,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,10.0,553,151,130,270,551,2,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,11.0,529,131,133,263,527,2,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,12.0,549,146,128,272,546,3,0,PANCHOR ,UNDI BIASA
14,128/09/09,SEK KEB PANCHOR / SEK MEN PANCHOR,13.0,568,153,141,273,567,1,0,PANCHOR ,UNDI BIASA
15,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,1.0,247,51,13,171,235,12,0,NILAI ,UNDI BIASA
15,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,2.0,573,112,37,414,563,9,1,NILAI ,UNDI BIASA
15,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,3.0,543,106,49,384,539,3,1,NILAI ,UNDI BIASA
15,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,4.0,528,109,61,358,528,0,0,NILAI ,UNDI BIASA
15,128/10/01,SEKOLAH MENENGAH KEBANGSAAN DATO' MOHD SAID,5.0,528,121,62,343,526,2,0,NILAI ,UNDI BIASA
16,128/10/02,SEKOLAH KEBANGSAAN BATANG BENAR,1.0,276,133,26,112,271,5,0,BATANG BENAR ,UNDI BIASA
16,128/10/02,SEKOLAH KEBANGSAAN BATANG BENAR,2.0,606,197,72,331,600,6,0,BATANG BENAR ,UNDI BIASA
16,128/10/02,SEKOLAH KEBANGSAAN BATANG BENAR,3.0,561,166,89,304,559,2,0,BATANG BENAR ,UNDI BIASA
17,128/10/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PAJAM,1.0,289,53,9,215,277,12,0,PEKAN PAJAM ,UNDI BIASA
17,128/10/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PAJAM,2.0,387,39,8,335,382,5,0,PEKAN PAJAM ,UNDI BIASA
17,128/10/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PAJAM,3.0,373,38,27,306,371,2,0,PEKAN PAJAM ,UNDI BIASA
18,128/10/04,BALAI RAYA KAMPUNG GEBOK PAJAM,1.0,285,137,33,103,273,12,0,KAMPUNG GEBOK ,UNDI BIASA
18,128/10/04,BALAI RAYA KAMPUNG GEBOK PAJAM,2.0,550,204,104,238,546,4,0,KAMPUNG GEBOK ,UNDI BIASA
19,128/10/05,SEKOLAH KEBANGSAAN MANTIN,1.0,274,50,10,201,261,13,0,BATU SEBELAS ,UNDI BIASA
19,128/10/05,SEKOLAH KEBANGSAAN MANTIN,2.0,328,78,29,217,324,4,0,BATU SEBELAS ,UNDI BIASA
19,128/10/05,SEKOLAH KEBANGSAAN MANTIN,3.0,305,55,28,222,305,0,0,BATU SEBELAS ,UNDI BIASA
20,128/10/06,SEKOLAH MENENGAH KEBANGSAAN MANTIN,1.0,286,54,5,223,282,4,0,KAMPONG BAHRU MANTIN ,UNDI BIASA
20,128/10/06,SEKOLAH MENENGAH KEBANGSAAN MANTIN,2.0,430,62,4,356,422,8,0,KAMPONG BAHRU MANTIN ,UNDI BIASA
20,128/10/06,SEKOLAH MENENGAH KEBANGSAAN MANTIN,3.0,435,30,10,393,433,2,0,KAMPONG BAHRU MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,1.0,255,55,5,191,251,4,0,PEKAN MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,2.0,514,102,13,391,506,8,0,PEKAN MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,3.0,522,73,11,424,508,14,0,PEKAN MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,4.0,512,63,14,428,505,7,0,PEKAN MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,5.0,517,55,17,439,511,6,0,PEKAN MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,6.0,514,47,16,447,510,4,0,PEKAN MANTIN ,UNDI BIASA
21,128/10/07,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MANTIN,7.0,519,65,21,429,515,4,0,PEKAN MANTIN ,UNDI BIASA
22,128/10/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHI CHI MANTIN,1.0,279,84,13,178,275,4,0,KG ATTAP ,UNDI BIASA
22,128/10/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHI CHI MANTIN,2.0,512,113,10,383,506,6,0,KG ATTAP ,UNDI BIASA
22,128/10/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHI CHI MANTIN,3.0,507,67,16,421,504,3,0,KG ATTAP ,UNDI BIASA
22,128/10/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHI CHI MANTIN,4.0,515,74,17,423,514,1,0,KG ATTAP ,UNDI BIASA
22,128/10/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHI CHI MANTIN,5.0,490,68,18,398,484,6,0,KG ATTAP ,UNDI BIASA
22,128/10/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHI CHI MANTIN,6.0,481,68,30,383,481,0,0,KG ATTAP ,UNDI BIASA
23,128/10/09,TABIKA KEMAS KAMPUNG MANTIN DALAM,1.0,288,219,32,36,287,1,0,MANTIN DALAM ,UNDI BIASA
23,128/10/09,TABIKA KEMAS KAMPUNG MANTIN DALAM,2.0,401,213,67,113,393,7,1,MANTIN DALAM ,UNDI BIASA
23,128/10/09,TABIKA KEMAS KAMPUNG MANTIN DALAM,3.0,358,164,68,125,357,1,0,MANTIN DALAM ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,1.0,275,76,19,176,271,4,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,2.0,603,132,79,386,597,6,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,3.0,594,111,85,396,592,2,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,4.0,586,105,109,369,583,3,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,5.0,575,92,115,367,574,1,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,6.0,570,78,106,381,565,5,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,7.0,561,82,89,389,560,1,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,8.0,522,62,97,361,520,2,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,9.0,553,68,107,378,553,0,0,BANDAR BARU NILAI ,UNDI BIASA
24,128/10/10,SEKOLAH MENENGAH KEBANGSAAN TAMAN SEMARAK,10.0,577,81,142,354,577,0,0,BANDAR BARU NILAI ,UNDI BIASA
25,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,1.0,292,60,8,216,284,8,0,KG LOBAK ,UNDI BIASA
25,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,2.0,552,120,15,407,542,10,0,KG LOBAK ,UNDI BIASA
25,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,3.0,559,65,9,482,556,3,0,KG LOBAK ,UNDI BIASA
25,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,4.0,514,72,8,431,511,3,0,KG LOBAK ,UNDI BIASA
25,128/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HUA,5.0,519,71,13,435,519,0,0,KG LOBAK ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,1.0,226,43,3,178,224,2,0,ULU TEMIANG ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,2.0,487,59,8,412,479,8,0,ULU TEMIANG ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,3.0,493,59,1,425,485,8,0,ULU TEMIANG ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,4.0,504,61,5,433,499,5,0,ULU TEMIANG ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,5.0,493,47,6,437,490,2,1,ULU TEMIANG ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,6.0,492,33,2,455,490,2,0,ULU TEMIANG ,UNDI BIASA
26,128/11/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHI HWA,7.0,473,32,2,438,472,1,0,ULU TEMIANG ,UNDI BIASA
27,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,1.0,223,51,3,163,217,6,0,JALAN MANICKAVASAGAM ,UNDI BIASA
27,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,2.0,551,96,4,445,545,6,0,JALAN MANICKAVASAGAM ,UNDI BIASA
27,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,3.0,548,53,2,490,545,3,0,JALAN MANICKAVASAGAM ,UNDI BIASA
27,128/11/03,SEK JENIS KEB (TAMIL)JALAN TAN SRI MANIKAVASAGAM SEREMBAN,4.0,549,51,2,492,545,4,0,JALAN MANICKAVASAGAM ,UNDI BIASA
28,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,1.0,244,43,2,195,240,4,0,LOBAK ,UNDI BIASA
28,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,2.0,503,79,5,415,499,4,0,LOBAK ,UNDI BIASA
28,128/11/04,SEK JENIS KEB (CINA) CHUNG HUA JALAN TUNKU MUNAWIR SEREMBAN,3.0,493,45,2,440,487,6,0,LOBAK ,UNDI BIASA
