Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AH CHONG @ CHONG SIN WOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SHARIFFUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,4.0,584,106,84,393,583,1,0,SIKAMAT ,UNDI BIASA
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,5.0,560,110,95,352,557,3,0,SIKAMAT ,UNDI BIASA
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,6.0,545,110,105,330,545,0,0,SIKAMAT ,UNDI BIASA
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,7.0,560,135,114,307,556,4,0,SIKAMAT ,UNDI BIASA
38,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,1.0,293,95,17,178,290,3,0,TAMAN JUJUR ,UNDI BIASA
38,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,2.0,595,198,52,336,586,9,0,TAMAN JUJUR ,UNDI BIASA
38,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,3.0,568,131,61,366,558,10,0,TAMAN JUJUR ,UNDI BIASA
38,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,4.0,550,134,55,358,547,3,0,TAMAN JUJUR ,UNDI BIASA
38,128/13/03,SEKOLAH KEBANGSAAN SIKAMAT,5.0,545,137,92,315,544,1,0,TAMAN JUJUR ,UNDI BIASA
39,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,1.0,241,88,19,126,233,8,0,JALAN SIKAMAT ,UNDI BIASA
39,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,2.0,553,225,56,266,547,6,0,JALAN SIKAMAT ,UNDI BIASA
39,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,3.0,536,162,87,284,533,3,0,JALAN SIKAMAT ,UNDI BIASA
39,128/13/04,SEKOLAH MENENGAH KEBANGSAAN DATO SHEIKH AHMAD,4.0,525,156,106,261,523,2,0,JALAN SIKAMAT ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,1.0,294,129,27,133,289,5,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,2.0,612,286,83,242,611,0,1,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,3.0,617,210,126,266,602,15,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,4.0,571,163,120,286,569,2,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,5.0,583,162,116,304,582,1,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,6.0,532,143,105,279,527,5,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,7.0,544,142,97,304,543,1,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,8.0,526,146,93,284,523,3,0,TAMAN DESA RHU ,UNDI BIASA
40,128/13/05,INSTITUT PERGURUAN RAJA MELEWAR SIKAMAT,9.0,553,149,106,298,553,0,0,TAMAN DESA RHU ,UNDI BIASA
41,128/14/01,KOLEJ MARA SEREMBAN,1.0,199,49,5,141,195,3,1,MEDAN RAHANG ,UNDI BIASA
41,128/14/01,KOLEJ MARA SEREMBAN,2.0,436,59,22,353,434,2,0,MEDAN RAHANG ,UNDI BIASA
41,128/14/01,KOLEJ MARA SEREMBAN,3.0,457,47,54,353,454,3,0,MEDAN RAHANG ,UNDI BIASA
42,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,1.0,262,143,31,83,257,5,0,AMPANGAN ,UNDI BIASA
42,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,2.0,443,197,73,165,435,8,0,AMPANGAN ,UNDI BIASA
42,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,3.0,427,130,119,175,424,3,0,AMPANGAN ,UNDI BIASA
42,128/14/02,SEKOLAH KEBANGSAAN K.G.V SEREMBAN,4.0,414,122,124,167,413,1,0,AMPANGAN ,UNDI BIASA
43,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,1.0,274,158,42,71,271,3,0,KAMPONG GEDONG LALANG ,UNDI BIASA
43,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,2.0,606,221,147,231,599,7,0,KAMPONG GEDONG LALANG ,UNDI BIASA
43,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,3.0,562,162,181,214,557,5,0,KAMPONG GEDONG LALANG ,UNDI BIASA
43,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,4.0,553,138,161,251,550,3,0,KAMPONG GEDONG LALANG ,UNDI BIASA
43,128/14/03,SEKOLAH MENENGAH TEKNIK AMPANGAN,5.0,577,132,150,290,572,4,1,KAMPONG GEDONG LALANG ,UNDI BIASA
44,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,1.0,251,123,32,94,249,2,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
44,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,2.0,545,212,99,226,537,8,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
44,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,3.0,541,163,82,291,536,5,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
44,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,4.0,548,123,102,320,545,3,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
44,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,5.0,538,126,106,306,538,0,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
44,128/14/04,SEKOLAH KEBANGSAAN AMPANGAN,6.0,535,131,101,301,533,2,0,TAMAN DATUK SHAHBANDAR ,UNDI BIASA
45,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,1.0,256,85,10,153,248,8,0,DUSUN NYIOR ,UNDI BIASA
45,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,2.0,519,139,35,337,511,8,0,DUSUN NYIOR ,UNDI BIASA
45,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,3.0,535,146,41,344,531,4,0,DUSUN NYIOR ,UNDI BIASA
45,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,4.0,509,130,76,303,509,0,0,DUSUN NYIOR ,UNDI BIASA
45,128/14/05,SEKOLAH KEBANGSAAN TAMAN DUSUN NYIOR,5.0,505,149,70,283,502,3,0,DUSUN NYIOR ,UNDI BIASA
46,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,1.0,279,144,51,77,272,7,0,KAMPONG JIBOI ,UNDI BIASA
46,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,2.0,499,227,100,168,495,4,0,KAMPONG JIBOI ,UNDI BIASA
46,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,3.0,487,198,119,166,483,4,0,KAMPONG JIBOI ,UNDI BIASA
46,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,4.0,469,166,131,171,468,1,0,KAMPONG JIBOI ,UNDI BIASA
46,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,5.0,461,151,131,175,457,4,0,KAMPONG JIBOI ,UNDI BIASA
46,128/14/06,SEKOLAH MENENGAH AGAMA MAKMOR AMPANGAN SEREMBAN,6.0,467,151,123,187,461,6,0,KAMPONG JIBOI ,UNDI BIASA
