Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI BAHARUDDIN ARIF BIN HAJI SIRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD RAZAK BIN AB SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
3,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,2.0,572,81,28,447,556,16,0,FELDA JELAI 1 & 3 ,UNDI BIASA
3,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,3.0,526,105,30,386,521,5,0,FELDA JELAI 1 & 3 ,UNDI BIASA
3,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,4.0,428,118,52,257,427,1,0,FELDA JELAI 1 & 3 ,UNDI BIASA
3,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,5.0,436,155,30,249,434,2,0,FELDA JELAI 1 & 3 ,UNDI BIASA
3,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,6.0,459,172,29,255,456,2,1,FELDA JELAI 1 & 3 ,UNDI BIASA
3,133/34/01,SEKOLAH KEBANGSAAN JELAI 1,7.0,471,177,39,251,467,3,1,FELDA JELAI 1 & 3 ,UNDI BIASA
4,133/34/02,BALAI RAYA KAMPUNG PASIR BESAR GEMAS,1.0,494,157,47,284,488,6,0,PASIR BESAR ,UNDI BIASA
5,133/34/03,SEKOLAH KEBANGSAAN (FELDA) PASIR BESAR,1.0,261,18,28,206,252,9,0,FELDA PASIR BESAR ,UNDI BIASA
5,133/34/03,SEKOLAH KEBANGSAAN (FELDA) PASIR BESAR,2.0,528,80,129,310,519,9,0,FELDA PASIR BESAR ,UNDI BIASA
5,133/34/03,SEKOLAH KEBANGSAAN (FELDA) PASIR BESAR,3.0,470,135,136,194,465,5,0,FELDA PASIR BESAR ,UNDI BIASA
6,133/34/04,SEKOLAH KEBANGSAAN KAMPONG LADANG,1.0,305,28,38,232,298,7,0,KAMPONG LADANG ,UNDI BIASA
6,133/34/04,SEKOLAH KEBANGSAAN KAMPONG LADANG,2.0,368,77,59,232,368,0,0,KAMPONG LADANG ,UNDI BIASA
6,133/34/04,SEKOLAH KEBANGSAAN KAMPONG LADANG,3.0,351,110,70,169,349,2,0,KAMPONG LADANG ,UNDI BIASA
