Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRY JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LT KOL ROSELI BIN ABDUL GANI (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,131/25/06,SEKOLAH KEBANGSAAN TAMAN TASIK JAYA,7.0,536,65,215,255,535,1,0,TAMAN TASIK JAYA ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",1.0,298,17,132,143,292,6,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",2.0,617,56,263,284,603,14,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",3.0,596,88,206,297,591,5,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",4.0,582,87,162,328,577,5,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",5.0,524,49,156,317,522,2,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",6.0,516,57,154,304,515,1,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",7.0,530,60,173,295,528,2,0,BUKIT SERI SENAWANG ,UNDI BIASA
12,131/25/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) SENAWANG, SUNGAI GADUT",8.0,568,73,217,274,564,4,0,BUKIT SERI SENAWANG ,UNDI BIASA
13,131/25/08,SEKOLAH MENENGAH KEBANGSAAN SERI PAGI,1.0,310,15,188,106,309,1,0,TAMAN KOBENA ,UNDI BIASA
13,131/25/08,SEKOLAH MENENGAH KEBANGSAAN SERI PAGI,2.0,590,46,296,242,584,6,0,TAMAN KOBENA ,UNDI BIASA
13,131/25/08,SEKOLAH MENENGAH KEBANGSAAN SERI PAGI,3.0,601,72,275,248,595,6,0,TAMAN KOBENA ,UNDI BIASA
13,131/25/08,SEKOLAH MENENGAH KEBANGSAAN SERI PAGI,4.0,522,60,195,265,520,2,0,TAMAN KOBENA ,UNDI BIASA
13,131/25/08,SEKOLAH MENENGAH KEBANGSAAN SERI PAGI,5.0,535,58,191,284,533,2,0,TAMAN KOBENA ,UNDI BIASA
13,131/25/08,SEKOLAH MENENGAH KEBANGSAAN SERI PAGI,6.0,555,53,237,263,553,2,0,TAMAN KOBENA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,1.0,285,15,137,132,284,1,0,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,2.0,573,36,252,277,565,8,0,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,3.0,570,40,234,289,563,7,0,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,4.0,576,55,231,286,572,4,0,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,5.0,559,48,204,306,558,1,0,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,6.0,543,56,162,323,541,2,0,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,7.0,533,38,171,323,532,0,1,SENAWANG JAYA ,UNDI BIASA
14,131/25/09,SEKOLAH KEBANGSAAN SENAWANG,8.0,529,54,204,269,527,2,0,SENAWANG JAYA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,1.0,285,12,124,142,278,7,0,TAMAN MARIDA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,2.0,558,36,195,322,553,5,0,TAMAN MARIDA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,3.0,561,35,173,349,557,4,0,TAMAN MARIDA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,4.0,527,40,147,339,526,1,0,TAMAN MARIDA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,5.0,530,44,145,339,528,2,0,TAMAN MARIDA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,6.0,525,45,177,303,525,0,0,TAMAN MARIDA ,UNDI BIASA
15,131/25/10,SEKOLAH MENENGAH KEBANGSAAN SENAWANG,7.0,537,52,174,311,537,0,0,TAMAN MARIDA ,UNDI BIASA
16,131/26/01,DEWAN ORANG RAMAI PEDAS,1.0,458,12,176,247,435,23,0,ULU PEDAS ,UNDI BIASA
17,131/26/02,SEKOLAH KEBANGSAAN SEPRI,1.0,291,10,236,42,288,3,0,SEPRI ,UNDI BIASA
17,131/26/02,SEKOLAH KEBANGSAAN SEPRI,2.0,347,32,203,111,346,1,0,SEPRI ,UNDI BIASA
18,131/26/03,SEKOLAH KEBANGSAAN KAYU ARA,1.0,291,18,216,50,284,7,0,KAMPONG RENDAH ,UNDI BIASA
18,131/26/03,SEKOLAH KEBANGSAAN KAYU ARA,2.0,356,31,240,83,354,2,0,KAMPONG RENDAH ,UNDI BIASA
18,131/26/03,SEKOLAH KEBANGSAAN KAYU ARA,3.0,323,30,213,77,320,3,0,KAMPONG RENDAH ,UNDI BIASA
19,131/26/04,SEKOLAH KEBANGSAAN TAMAN SERI REMBAU,1.0,300,24,230,43,297,3,0,KAMPONG SENAMA ULU ,UNDI BIASA
19,131/26/04,SEKOLAH KEBANGSAAN TAMAN SERI REMBAU,2.0,407,40,238,128,406,1,0,KAMPONG SENAMA ULU ,UNDI BIASA
20,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,1.0,279,12,173,82,267,12,0,CHEMBONG ,UNDI BIASA
20,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,2.0,487,35,260,186,481,6,0,CHEMBONG ,UNDI BIASA
20,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,3.0,462,50,212,190,452,10,0,CHEMBONG ,UNDI BIASA
20,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,4.0,442,33,178,228,439,3,0,CHEMBONG ,UNDI BIASA
20,131/26/05,SEKOLAH KEBANGSAAN CHEMBONG,5.0,439,35,223,173,431,8,0,CHEMBONG ,UNDI BIASA
21,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,1.0,276,5,174,89,268,8,0,PEKAN PEDAS ,UNDI BIASA
21,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,2.0,590,35,296,252,583,7,0,PEKAN PEDAS ,UNDI BIASA
21,131/26/06,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA PEDAS,3.0,553,34,219,300,553,0,0,PEKAN PEDAS ,UNDI BIASA
