Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) IR MUSTAFAR KADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JALALUDDIN BIN ALIAS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORMAN IPIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
16,126/02/02,SEKOLAH KEBANGSAAN PUTRA,2.0,278,95,165,8,268,10,0,KAMPONG LAKAI ,UNDI BIASA
16,126/02/02,SEKOLAH KEBANGSAAN PUTRA,3.0,279,111,144,20,275,4,0,KAMPONG LAKAI ,UNDI BIASA
17,126/02/03,SEKOLAH KEBANGSAAN (FELDA) PASOH 4,1.0,314,48,246,11,305,9,0,PASOH 4 ,UNDI BIASA
17,126/02/03,SEKOLAH KEBANGSAAN (FELDA) PASOH 4,2.0,407,128,246,28,402,5,0,PASOH 4 ,UNDI BIASA
17,126/02/03,SEKOLAH KEBANGSAAN (FELDA) PASOH 4,3.0,407,140,228,38,406,1,0,PASOH 4 ,UNDI BIASA
18,126/02/04,SEKOLAH KEBANGSAAN PASOH SATU,1.0,316,49,239,16,304,12,0,PASOH 1 ,UNDI BIASA
18,126/02/04,SEKOLAH KEBANGSAAN PASOH SATU,2.0,485,105,335,40,480,5,0,PASOH 1 ,UNDI BIASA
18,126/02/04,SEKOLAH KEBANGSAAN PASOH SATU,3.0,446,135,260,45,440,6,0,PASOH 1 ,UNDI BIASA
18,126/02/04,SEKOLAH KEBANGSAAN PASOH SATU,4.0,429,156,232,39,427,2,0,PASOH 1 ,UNDI BIASA
19,126/02/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,1.0,230,138,78,6,222,8,0,SIMPANG PERTANG ,UNDI BIASA
19,126/02/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,2.0,465,291,153,9,453,12,0,SIMPANG PERTANG ,UNDI BIASA
19,126/02/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,3.0,430,298,114,8,420,10,0,SIMPANG PERTANG ,UNDI BIASA
19,126/02/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG PERTANG,4.0,433,289,123,18,430,3,0,SIMPANG PERTANG ,UNDI BIASA
20,126/02/06,SEKOLAH KEBANGSAAN PETASEH,1.0,294,95,178,18,291,3,0,KAMPONG PETASEH ,UNDI BIASA
20,126/02/06,SEKOLAH KEBANGSAAN PETASEH,2.0,391,202,150,37,389,2,0,KAMPONG PETASEH ,UNDI BIASA
21,126/02/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PERTANG,1.0,276,198,68,3,269,7,0,PERTANG ,UNDI BIASA
21,126/02/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PERTANG,2.0,434,341,82,4,427,7,0,PERTANG ,UNDI BIASA
21,126/02/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU PERTANG,3.0,442,338,87,16,441,1,0,PERTANG ,UNDI BIASA
22,126/02/08,SEKOLAH KEBANGSAAN GELANG TERUSAN,1.0,304,71,211,15,297,7,0,KAMPONG GELANG ,UNDI BIASA
22,126/02/08,SEKOLAH KEBANGSAAN GELANG TERUSAN,2.0,368,120,209,35,364,4,0,KAMPONG GELANG ,UNDI BIASA
23,126/03/01,SEKOLAH KEBANGSAAN SUNGAI LUI,1.0,280,111,148,13,272,8,0,SUNGAI LUI ,UNDI BIASA
23,126/03/01,SEKOLAH KEBANGSAAN SUNGAI LUI,2.0,450,182,232,26,440,10,0,SUNGAI LUI ,UNDI BIASA
24,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,1.0,312,56,214,35,305,7,0,LUI TIMUR ,UNDI BIASA
24,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,2.0,471,96,309,54,459,12,0,LUI TIMUR ,UNDI BIASA
24,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,3.0,405,139,196,64,399,5,1,LUI TIMUR ,UNDI BIASA
24,126/03/02,SEKOLAH KEBANGSAAN LUI TIMOR,4.0,408,141,203,61,405,3,0,LUI TIMUR ,UNDI BIASA
25,126/03/03,SEKOLAH KEBANGSAAN (FELDA) LUI MUDA,1.0,320,49,239,26,314,6,0,LUI MUDA ,UNDI BIASA
25,126/03/03,SEKOLAH KEBANGSAAN (FELDA) LUI MUDA,2.0,456,146,245,61,452,4,0,LUI MUDA ,UNDI BIASA
26,126/03/04,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,1.0,319,26,252,24,302,17,0,LUI SELATAN ,UNDI BIASA
26,126/03/04,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,2.0,527,85,395,41,521,6,0,LUI SELATAN ,UNDI BIASA
26,126/03/04,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,3.0,417,125,245,45,415,2,0,LUI SELATAN ,UNDI BIASA
26,126/03/04,SEKOLAH KEBANGSAAN (FELDA) LUI SELATAN,4.0,416,121,239,54,414,2,0,LUI SELATAN ,UNDI BIASA
27,126/03/05,SEKOLAH KEBANGSAAN PULAPAH,1.0,102,17,77,8,102,0,0,PULAPOL AYER HITAM ,UNDI BIASA
28,126/03/06,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG AIR HITAM,1.0,207,130,72,2,204,3,0,LADANG AYER HITAM ,UNDI BIASA
29,126/03/07,SEKOLAH KEBANGSAAN AYER HITAM,1.0,284,102,160,16,278,6,0,KAMPONG BAHRU AYER HITAM ,UNDI BIASA
29,126/03/07,SEKOLAH KEBANGSAAN AYER HITAM,2.0,524,252,224,38,514,10,0,KAMPONG BAHRU AYER HITAM ,UNDI BIASA
29,126/03/07,SEKOLAH KEBANGSAAN AYER HITAM,3.0,501,324,138,34,496,5,0,KAMPONG BAHRU AYER HITAM ,UNDI BIASA
30,126/03/08,SEKOLAH MENENGAH KEBANGSAAN (FELDA) LUI BARAT,1.0,316,41,225,36,302,14,0,LUI BARAT ,UNDI BIASA
30,126/03/08,SEKOLAH MENENGAH KEBANGSAAN (FELDA) LUI BARAT,2.0,408,102,221,83,406,2,0,LUI BARAT ,UNDI BIASA
31,126/03/09,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,1.0,314,30,247,30,307,7,0,PASOH 3 ,UNDI BIASA
31,126/03/09,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,2.0,531,88,376,57,521,10,0,PASOH 3 ,UNDI BIASA
31,126/03/09,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,3.0,466,130,261,74,465,1,0,PASOH 3 ,UNDI BIASA
31,126/03/09,SEKOLAH KEBANGSAAN (FELDA) PASOH 3,4.0,476,151,236,84,471,5,0,PASOH 3 ,UNDI BIASA
32,126/03/10,SEKOLAH KEBANGSAAN (FELDA) PASOH 2,1.0,321,42,240,35,317,4,0,PASOH 2 ,UNDI BIASA
32,126/03/10,SEKOLAH KEBANGSAAN (FELDA) PASOH 2,2.0,498,136,298,62,496,2,0,PASOH 2 ,UNDI BIASA
32,126/03/10,SEKOLAH KEBANGSAAN (FELDA) PASOH 2,3.0,482,162,231,87,480,2,0,PASOH 2 ,UNDI BIASA
33,126/03/11,SEKOLAH KEBANGSAAN SUNGAI SAMPO,1.0,264,111,134,9,254,10,0,KAMPUNG SERAMPANG INDAH ,UNDI BIASA
33,126/03/11,SEKOLAH KEBANGSAAN SUNGAI SAMPO,2.0,334,144,166,11,321,13,0,KAMPUNG SERAMPANG INDAH ,UNDI BIASA
33,126/03/11,SEKOLAH KEBANGSAAN SUNGAI SAMPO,3.0,300,140,136,7,283,17,0,KAMPUNG SERAMPANG INDAH ,UNDI BIASA
34,126/04/01,SEKOLAH KEBANGSAAN PERADONG,1.0,283,69,189,17,275,8,0,PERADONG ,UNDI BIASA
34,126/04/01,SEKOLAH KEBANGSAAN PERADONG,2.0,437,197,195,42,434,3,0,PERADONG ,UNDI BIASA
35,126/04/02,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,1.0,269,192,59,5,256,13,0,LADANG JELEBU ,UNDI BIASA
35,126/04/02,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,2.0,503,391,99,6,496,7,0,LADANG JELEBU ,UNDI BIASA
35,126/04/02,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,3.0,476,403,66,4,473,3,0,LADANG JELEBU ,UNDI BIASA
35,126/04/02,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,4.0,467,383,71,11,465,1,1,LADANG JELEBU ,UNDI BIASA
35,126/04/02,MAKTAB RENDAH SAINS MARA KUALA KLAWANG,5.0,448,312,112,22,446,2,0,LADANG JELEBU ,UNDI BIASA
36,126/04/03,SEKOLAH KEBANGSAAN KAMPAI,1.0,305,86,191,18,295,10,0,KAMPONG KAMPAI ,UNDI BIASA
36,126/04/03,SEKOLAH KEBANGSAAN KAMPAI,2.0,329,146,152,29,327,2,0,KAMPONG KAMPAI ,UNDI BIASA
37,126/04/04,SEKOLAH KEBANGSAAN KUALA KLAWANG,1.0,281,63,194,17,274,7,0,KAMPUNG KUALA KLAWANG ,UNDI BIASA
37,126/04/04,SEKOLAH KEBANGSAAN KUALA KLAWANG,2.0,576,237,284,46,567,9,0,KAMPUNG KUALA KLAWANG ,UNDI BIASA
37,126/04/04,SEKOLAH KEBANGSAAN KUALA KLAWANG,3.0,530,290,182,55,527,3,0,KAMPUNG KUALA KLAWANG ,UNDI BIASA
37,126/04/04,SEKOLAH KEBANGSAAN KUALA KLAWANG,4.0,523,268,194,61,523,0,0,KAMPUNG KUALA KLAWANG ,UNDI BIASA
38,126/04/05,SEKOLAH KEBANGSAAN UNDANG JELEBU,1.0,235,143,83,6,232,3,0,PEKAN KUALA KLAWANG ,UNDI BIASA
38,126/04/05,SEKOLAH KEBANGSAAN UNDANG JELEBU,2.0,464,301,141,21,463,1,0,PEKAN KUALA KLAWANG ,UNDI BIASA
38,126/04/05,SEKOLAH KEBANGSAAN UNDANG JELEBU,3.0,463,317,116,30,463,0,0,PEKAN KUALA KLAWANG ,UNDI BIASA
39,126/04/06,DEWAN ORANG RAMAI KAMPUNG BATU SERAMBAI,1.0,290,69,182,33,284,6,0,KAMPONG KEMIN ,UNDI BIASA
39,126/04/06,DEWAN ORANG RAMAI KAMPUNG BATU SERAMBAI,2.0,297,134,127,34,295,2,0,KAMPONG KEMIN ,UNDI BIASA
39,126/04/06,DEWAN ORANG RAMAI KAMPUNG BATU SERAMBAI,3.0,291,129,112,48,289,2,0,KAMPONG KEMIN ,UNDI BIASA
40,126/04/07,SEKOLAH KEBANGSAAN AMAR PENGHULU,1.0,294,58,201,27,286,8,0,KAMPUNG AMAR PENGHULU ,UNDI BIASA
40,126/04/07,SEKOLAH KEBANGSAAN AMAR PENGHULU,2.0,304,83,177,42,302,2,0,KAMPUNG AMAR PENGHULU ,UNDI BIASA
