Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) IR MUSTAFAR KADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JALALUDDIN BIN ALIAS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORMAN IPIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1199,183,722,105,1010,5,184,UNDI POS,UNDI POS
2,126/01/00,IPD JELEBU KHEMAH 2A,1.0,29,0,24,2,26,0,3,UNDI AWAL ,UNDI AWAL
3,126/02/00,IPD JELEBU KHEMAH B,1.0,17,2,14,1,17,0,0,UNDI AWAL ,UNDI AWAL
4,126/03/00,DEWAN PERDANA PULAPOL AIR HITAM,1.0,375,16,341,17,374,1,0,UNDI AWAL ,UNDI AWAL
4,126/03/00,DEWAN PERDANA PULAPOL AIR HITAM,2.0,361,13,321,26,360,1,0,UNDI AWAL ,UNDI AWAL
4,126/03/00,DEWAN PERDANA PULAPOL AIR HITAM,3.0,410,11,388,8,407,3,0,UNDI AWAL ,UNDI AWAL
5,126/04/00,RUMAH KELAB IPD JELEBU,1.0,194,32,132,25,189,5,0,UNDI AWAL ,UNDI AWAL
6,126/01/01,SEKOLAH KEBANGSAAN SUNGAI BULOH,1.0,302,96,181,15,292,10,0,KAMPONG SUNGAI BULOH ,UNDI BIASA
6,126/01/01,SEKOLAH KEBANGSAAN SUNGAI BULOH,2.0,334,142,145,46,333,1,0,KAMPONG SUNGAI BULOH ,UNDI BIASA
7,126/01/02,SEKOLAH KEBANGSAAN DURIAN TIPUS,1.0,272,147,116,6,269,3,0,DURIAN TIPUS ,UNDI BIASA
7,126/01/02,SEKOLAH KEBANGSAAN DURIAN TIPUS,2.0,248,88,132,23,243,5,0,DURIAN TIPUS ,UNDI BIASA
8,126/01/03,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,1.0,294,71,193,13,277,17,0,SIMPANG DURIAN ,UNDI BIASA
8,126/01/03,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,2.0,534,276,215,36,527,7,0,SIMPANG DURIAN ,UNDI BIASA
8,126/01/03,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,3.0,516,303,174,36,513,3,0,SIMPANG DURIAN ,UNDI BIASA
9,126/01/04,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,1.0,301,84,195,15,294,7,0,KAMPONG CHENNAH ,UNDI BIASA
9,126/01/04,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,2.0,410,68,309,21,398,12,0,KAMPONG CHENNAH ,UNDI BIASA
9,126/01/04,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,3.0,383,49,310,14,373,10,0,KAMPONG CHENNAH ,UNDI BIASA
10,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,1.0,261,162,80,10,252,9,0,PEKAN TITI ,UNDI BIASA
10,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,2.0,564,409,138,10,557,6,1,PEKAN TITI ,UNDI BIASA
10,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,3.0,523,421,89,8,518,5,0,PEKAN TITI ,UNDI BIASA
10,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,4.0,492,403,75,11,489,3,0,PEKAN TITI ,UNDI BIASA
10,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,5.0,535,456,69,10,535,0,0,PEKAN TITI ,UNDI BIASA
10,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,6.0,534,446,71,15,532,2,0,PEKAN TITI ,UNDI BIASA
11,126/01/06,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,1.0,307,156,125,6,287,20,0,SUNGAI MUNTOH ,UNDI BIASA
11,126/01/06,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,2.0,384,248,122,10,380,4,0,SUNGAI MUNTOH ,UNDI BIASA
11,126/01/06,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,3.0,380,175,182,21,378,2,0,SUNGAI MUNTOH ,UNDI BIASA
12,126/01/07,BALAI RAYA KAMPUNG SEPERI JELEBU,1.0,268,69,175,21,265,3,0,KAMPONG SEPERI ,UNDI BIASA
13,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,1.0,270,153,100,9,262,8,0,PETALING ,UNDI BIASA
13,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,2.0,468,296,146,20,462,6,0,PETALING ,UNDI BIASA
13,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,3.0,448,319,112,12,443,5,0,PETALING ,UNDI BIASA
13,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,4.0,437,326,84,27,437,0,0,PETALING ,UNDI BIASA
14,126/01/09,BALAI RAYA KAMPUNG GAGU,1.0,341,151,157,24,332,9,0,KAMPONG GAGU ,UNDI BIASA
15,126/02/01,BALAI RAYA KAMPUNG JERANG,1.0,431,150,202,72,424,7,0,JERANG ,UNDI BIASA
16,126/02/02,SEKOLAH KEBANGSAAN PUTRA,1.0,309,98,189,18,305,4,0,KAMPONG LAKAI ,UNDI BIASA
