Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SEET TEE GEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) JAMALUS BIN MANSOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,217,128,55,31,214,3,0,UNDI POS,UNDI POS
2,126/01/00,IPD JELEBU KHEMAH 2A,1.0,29,23,1,1,25,1,3,UNDI AWAL,UNDI AWAL
3,126/01/01,SEKOLAH KEBANGSAAN SUNGAI BULOH,1.0,302,175,31,89,295,7,0,KAMPONG SUNGAI BULOH ,UNDI BIASA
3,126/01/01,SEKOLAH KEBANGSAAN SUNGAI BULOH,2.0,334,126,80,126,332,2,0,KAMPONG SUNGAI BULOH ,UNDI BIASA
4,126/01/02,SEKOLAH KEBANGSAAN DURIAN TIPUS,1.0,272,126,16,127,269,3,0,DURIAN TIPUS ,UNDI BIASA
4,126/01/02,SEKOLAH KEBANGSAAN DURIAN TIPUS,2.0,247,129,34,78,241,6,0,DURIAN TIPUS ,UNDI BIASA
5,126/01/03,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,1.0,294,193,15,61,269,25,0,SIMPANG DURIAN ,UNDI BIASA
5,126/01/03,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,2.0,534,197,74,253,524,10,0,SIMPANG DURIAN ,UNDI BIASA
5,126/01/03,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,3.0,516,165,100,250,515,1,0,SIMPANG DURIAN ,UNDI BIASA
6,126/01/04,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,1.0,301,206,19,67,292,9,0,KAMPONG CHENNAH ,UNDI BIASA
6,126/01/04,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,2.0,410,307,37,60,404,6,0,KAMPONG CHENNAH ,UNDI BIASA
6,126/01/04,SEKOLAH KEBANGSAAN DATUK UNDANG ABDULLAH,3.0,383,301,27,46,374,9,0,KAMPONG CHENNAH ,UNDI BIASA
7,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,1.0,261,84,2,165,251,10,0,PEKAN TITI ,UNDI BIASA
7,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,2.0,564,150,5,405,560,4,0,PEKAN TITI ,UNDI BIASA
7,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,3.0,523,111,8,399,518,5,0,PEKAN TITI ,UNDI BIASA
7,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,4.0,492,88,19,381,488,4,0,PEKAN TITI ,UNDI BIASA
7,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,5.0,535,69,33,432,534,1,0,PEKAN TITI ,UNDI BIASA
7,126/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) CHUN YIN,6.0,534,80,41,411,532,2,0,PEKAN TITI ,UNDI BIASA
8,126/01/06,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,1.0,307,131,8,140,279,28,0,SUNGAI MUNTOH ,UNDI BIASA
8,126/01/06,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,2.0,384,121,22,239,382,2,0,SUNGAI MUNTOH ,UNDI BIASA
8,126/01/06,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU SUNGAI MUNTOH,3.0,380,169,44,166,379,1,0,SUNGAI MUNTOH ,UNDI BIASA
9,126/01/07,BALAI RAYA KAMPUNG SEPERI JELEBU,1.0,268,171,40,53,264,4,0,KAMPONG SEPERI ,UNDI BIASA
10,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,1.0,270,118,16,131,265,5,0,PETALING ,UNDI BIASA
10,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,2.0,468,166,43,255,464,4,0,PETALING ,UNDI BIASA
10,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,3.0,448,104,59,279,442,6,0,PETALING ,UNDI BIASA
10,126/01/08,SEKOLAH JENIS KEBANGSAAN (CINA) KG. BARU PETALING,4.0,437,99,63,275,437,0,0,PETALING ,UNDI BIASA
11,126/01/09,BALAI RAYA KAMPUNG GAGU,1.0,341,139,83,111,333,8,0,KAMPONG GAGU ,UNDI BIASA
