Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YAP YEW WENG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAFNEY HO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) T. PARIMALA DEVI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,5.0,559,477,71,4,552,7,0,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,6.0,540,472,56,7,535,4,1,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,7.0,539,462,64,3,529,10,0,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,8.0,549,476,66,2,544,4,1,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,9.0,543,454,84,3,541,2,0,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,10.0,544,468,66,4,538,6,0,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,11.0,522,442,69,4,515,7,0,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,12.0,530,457,63,5,525,5,0,RASAH JAYA ,UNDI BIASA
6,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,13.0,581,496,82,1,579,2,0,RASAH JAYA ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,1.0,265,210,47,4,261,4,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,2.0,608,525,77,3,605,2,1,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,3.0,609,545,58,1,604,5,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,4.0,602,553,46,0,599,3,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,5.0,589,543,38,3,584,5,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,6.0,589,558,29,1,588,1,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,7.0,580,545,29,3,577,3,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,8.0,581,496,82,1,579,2,0,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,9.0,573,555,14,1,570,0,3,BUKIT BLOSSOM ,UNDI BIASA
7,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,10.0,594,569,23,0,592,2,0,BUKIT BLOSSOM ,UNDI BIASA
