Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KHAIRIL ANUAR WAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG KIAN NAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAVID DASS ASEERPATHAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHA KEE CHIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,1.0,303,35,145,3,103,286,17,0,KAMPUNG GADONG JAYA ,UNDI BIASA
11,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,2.0,422,108,182,3,126,419,3,0,KAMPUNG GADONG JAYA ,UNDI BIASA
11,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,3.0,391,128,119,1,142,390,1,0,KAMPUNG GADONG JAYA ,UNDI BIASA
11,130/20/06,SEKOLAH KEBANGSAAN GADONG JAYA,4.0,400,103,131,3,162,399,1,0,KAMPUNG GADONG JAYA ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,1.0,282,4,51,4,219,278,4,0,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,2.0,540,32,110,1,394,537,3,0,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,3.0,545,27,69,2,444,542,3,0,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,4.0,535,17,46,3,464,530,5,0,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,5.0,517,39,57,2,413,511,5,1,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,6.0,504,49,41,2,410,502,2,0,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,7.0,526,35,49,0,440,524,2,0,BUKIT KEPAYANG ,UNDI BIASA
12,130/21/01,SEKOLAH MENENGAH KEBANGSAAN CHAN WA II,8.0,582,46,60,0,476,582,0,0,BUKIT KEPAYANG ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,1.0,267,5,55,10,188,258,9,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,2.0,588,14,109,1,460,584,4,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,3.0,584,17,72,2,487,578,6,0,TAMAN PERMAI ,UNDI BIASA
13,130/21/02,SEKOLAH KEBANGSAAN PUTERI,4.0,579,13,61,2,496,572,7,0,TAMAN PERMAI ,UNDI BIASA
