id,n,a,c,i
91,PARTI WARISAN SABAH ,WARISAN,#fff,warisan.png
92,PARTI PRIBUMI BERSATU MALAYSIA,PPBM,#fff,ppbm.png
93,PARTI SOLIDARITI TANAH AIRKU,SOLIDARITI,#fff,solidariti.png
94,PARTI HARAPAN RAKYAT SABAH,HR,#fff,hr.png
95,PARTI BUMI KENYALANG,PBK,#672D34,pbk.png
96,PARTI IKATAN BANGSA MALAYSIA,IKATAN,#fff,ikatan.png
97,PARTI BERSAMA MALAYSIA ,MU,#fff,mu.png
98,PERTUBUHAN PERPADUAN RAKYAT KEBANGSAAN SABAH,PERPADUAN,#fff,perpaduan.png
99,PARTI DAMAI SABAH,SPP,#fff,spp.png
29,PARTI KEMAJUAN MALAYSIA,KEMAJUAN,#F6EB19,kemajuan.png
39,PARTI PEJUANG TANAH AIR,PEJUANG,#09618A,pejuang.png
69,PARTI PERIKATAN INDIA MUSLIM NASIONAL,IMAN,#FFF,iman.png
