Kod DUN 	Nama DUN 	Bilangan Pemilih 	No Calon 	Nama 	Jantina 	Umur 	Parti
N30 	KINRARA 	120,415 	1 	Ng Sze Han 	LELAKI 	51 	PH
N30 	KINRARA 	120,415 	2 	Wong Yong Kang 	LELAKI 	49 	PN
N31 	SUBANG JAYA 	110,525 	1 	Michelle Ng Mei Sze 	PEREMPUAN 	33 	PH
N31 	SUBANG JAYA 	110,525 	2 	Gana Pragasam Sebastian 	LELAKI 	54 	PN
N31 	SUBANG JAYA 	110,525 	3 	Zayd Shaukat Ali 	LELAKI 	26 	MUDA
N32 	SERI SETIA 	79,246 	1 	Harindran Krishnan 	LELAKI 	28 	BEBAS
N32 	SERI SETIA 	79,246 	2 	Chew Chuan Yang 	LELAKI 	33 	MUDA
N32 	SERI SETIA 	79,246 	3 	Mohammad Fahmi Ngah 	LELAKI 	48 	PH
N32 	SERI SETIA 	79,246 	4 	Mohd Zubir Embong 	LELAKI 	51 	PN
N33 	TAMAN MEDAN 	61,585 	1 	Ahmad Akhir Pawan Chik 	LELAKI 	55 	PH
N33 	TAMAN MEDAN 	61,585 	2 	Afif Bahardin 	LELAKI 	38 	PN
N34 	BUKIT GASING 	54,317 	1 	Kalyana Rajasekaran Teagarajan 	LELAKI 	44 	MUDA
N34 	BUKIT GASING 	54,317 	2 	Nallan Dhanabalan 	LELAKI 	50 	PN
N34 	BUKIT GASING 	54,317 	3 	Rajiv Rishyakaran 	LELAKI 	41 	PH
N35 	KAMPUNG TUNKU 	58,510 	1 	Chin Yoke Kheng 	PEREMPUAN 	42 	PN
N35 	KAMPUNG TUNKU 	58,510 	2 	Lim Yi Wei 	PEREMPUAN 	33 	PH
N36 	BANDAR UTAMA 	72,269 	1 	Jamaliah Jamaluddin 	PEREMPUAN 	34 	PH
N36 	BANDAR UTAMA 	72,269 	2 	Lim Hooi Sean 	PEREMPUAN 	27 	MUDA
N36 	BANDAR UTAMA 	72,269 	3 	Nur Aliff Mohd Tafid 	LELAKI 	28 	PN
N37 	BUKIT LANJAN 	108,324 	1 	Muniraa Abu Bakar 	PEREMPUAN 	37 	PN
N37 	BUKIT LANJAN 	108,324 	2 	Pua Pei Ling 	PEREMPUAN 	31 	PH
N38 	PAYA JARAS 	70,729 	1 	Ab Halim Tamuri 	LELAKI 	55 	PN
N38 	PAYA JARAS 	70,729 	2 	Mohd Khairuddin Othman 	LELAKI 	51 	PH
N38 	PAYA JARAS 	70,729 	3 	Nurhaslinda Basri 	PEREMPUAN 	34 	BEBAS
N39 	KOTA DAMANSARA 	87,361 	1 	Muhammad Izuan Ahmad Kasim 	LELAKI 	32 	PH
N39 	KOTA DAMANSARA 	87,361 	2 	Mohd Radzlan Jalaludin 	LELAKI 	43 	PN
N39 	KOTA DAMANSARA 	87,361 	3 	Sivarajan Arumugam 	LELAKI 	53 	PSM
N40 	KOTA ANGGERIK 	90,996 	1 	Mohamed Sukri Omar 	LELAKI 	36 	PN
N40 	KOTA ANGGERIK 	90,996 	2 	Mohd Najwan Halimi 	LELAKI 	38 	PH
N40 	KOTA ANGGERIK 	90,996 	3 	Azad Akbar Khan 	LELAKI 	35 	MUDA
N41 	BATU TIGA 	74,748 	1 	Saiyidah Izzati Nur Bt Razak Maideen 	PEREMPUAN 	35 	MUDA
N41 	BATU TIGA 	74,748 	2 	Danial Al-rashid Haron Aminar Rashid 	LELAKI 	36 	PH
N41 	BATU TIGA 	74,748 	3 	Rina Mohd Harun 	PEREMPUAN 	50 	PN
N42 	MERU 	64,367 	1 	Hasnizam Adham 	LELAKI 	49 	PN
N42 	MERU 	64,367 	2 	Sivaranjani Manickam 	PEREMPUAN 	41 	PSM
N42 	MERU 	64,367 	3 	Mariam Abdul Rashid 	PEREMPUAN 	62 	PH
N43 	SEMENTA 	67,782 	1 	Erny Afrishah Azizi 	PEREMPUAN 	25 	PH
N43 	SEMENTA 	67,782 	2 	Noor Najhan Mohamad Salleh 	LELAKI 	51 	PN
N44 	SELAT KLANG 	57,220 	1 	Abdul Rashid Asari 	LELAKI 	71 	PN
N44 	SELAT KLANG 	57,220 	2 	Mohd Roslee Abd Hamid 	LELAKI 	54 	BN-UMNO
N44 	SELAT KLANG 	57,220 	3 	Mohamad Ezam Mohd Nor 	LELAKI 	56 	PRM
