Kod DUN 	Nama DUN 	Bilangan Pemilih 	No Calon 	Nama 	Jantina 	Umur 	Parti
N01 	PENAGA 	25,229 	1 	Mohd Yusni Mat Piah 	LELAKI 	49 	PN
N01 	PENAGA 	25,229 	2 	Mohd Naim Salleh 	LELAKI 	43 	BN-UMNO
N02 	BERTAM 	23,881 	1 	Reezal Merican Naina Merican 	LELAKI 	50 	BN-UMNO
N02 	BERTAM 	23,881 	2 	Khaliq Mehtab Mohd Ishaq 	LELAKI 	47 	PN
N03 	PINANG TUNGGAL 	33,971 	1 	Zainuddin Mohamed 	LELAKI 	38 	PH
N03 	PINANG TUNGGAL 	33,971 	2 	Bukhori Ghazali 	LELAKI 	60 	PN
N04 	PERMATANG BERANGAN 	28,229 	1 	Nor Hafizah Othman 	PEREMPUAN 	46 	BN-UMNO
N04 	PERMATANG BERANGAN 	28,229 	2 	Mohd Sobri Saleh 	LELAKI 	58 	PN
N05 	SUNGAI DUA 	27,840 	1 	Muhammad Fauzi Yusoff 	LELAKI 	51 	PN
N05 	SUNGAI DUA 	27,840 	2 	Shaik Hussein Mydin 	LELAKI 	50 	BN-UMNO
N06 	TELOK AYER TAWAR 	24,799 	1 	Abdul Mohsein Mohd Shariff 	LELAKI 	44 	PH
N06 	TELOK AYER TAWAR 	24,799 	2 	Azmi Alang 	LELAKI 	58 	PN
N07 	SUNGAI PUYU 	35,765 	1 	Phee Syn Tze 	PEREMPUAN 	38 	PH
N07 	SUNGAI PUYU 	35,765 	2 	Teow Chin Siang 	LELAKI 	39 	PN
N08 	BAGAN JERMAL 	32,403 	1 	Ong Chuan Jin 	LELAKI 	60 	PN
N08 	BAGAN JERMAL 	32,403 	2 	Chee Yeeh Keen 	LELAKI 	41 	PH
N09 	BAGAN DALAM 	21,279 	1 	Rajasakanan Sinnakannu 	LELAKI 	65 	PFP
N09 	BAGAN DALAM 	21,279 	2 	Satees Muniandy 	LELAKI 	38 	BEBAS
N09 	BAGAN DALAM 	21,279 	3 	Jayaraman K Kunchu Kannu 	LELAKI 	56 	PN
N09 	BAGAN DALAM 	21,279 	4 	Kumaran Krishnan 	LELAKI 	45 	PH
N10 	SEBERANG JAYA 	48,832 	1 	Johari Kassim 	LELAKI 	61 	PH
N10 	SEBERANG JAYA 	48,832 	2 	Izhar Shah Arif Shah 	LELAKI 	30 	PN
N11 	PERMATANG PASIR 	30,380 	1 	Amir Hamzah B Abdul Hashim @ Md Hashim 	LELAKI 	58 	PN
N11 	PERMATANG PASIR 	30,380 	2 	Muhammad Faiz Fadzil 	LELAKI 	46 	PH
N12 	PENANTI 	27,974 	1 	Rosidi Hussain 	LELAKI 	51 	PH
N12 	PENANTI 	27,974 	2 	Zulkefli Bakar 	LELAKI 	62 	PN
N13 	BERAPIT 	29,059 	1 	Heng Lee Lee 	PEREMPUAN 	43 	PH
N13 	BERAPIT 	29,059 	2 	Lee Kok Keong 	LELAKI 	38 	PN
N14 	MACHANG BUBUK 	55,803 	1 	Lee Khai Loon 	LELAKI 	45 	PH
N14 	MACHANG BUBUK 	55,803 	2 	Tan Hum Wei 	LELAKI 	39 	PN
N15 	PADANG LALANG 	35,957 	1 	Suresh Devaraj Naidu 	LELAKI 	49 	PN
N15 	PADANG LALANG 	35,957 	2 	Ooi Khar Giap 	LELAKI 	56 	PFP
N15 	PADANG LALANG 	35,957 	3 	Gooi Zi Sen 	LELAKI 	36 	PH
N16 	PERAI 	20,567 	1 	Vikneswary Harikrishnan 	PEREMPUAN 	36 	MUDA
N16 	PERAI 	20,567 	2 	Sundarajoo Somu 	LELAKI 	61 	PH
N16 	PERAI 	20,567 	3 	David Marshel Pakianathan 	LELAKI 	48 	BEBAS
N16 	PERAI 	20,567 	4 	Sivasuntaram Rajalinggam 	LELAKI 	52 	PN
N17 	BUKIT TENGAH 	31,213 	1 	Gooi Hsiao-leung 	LELAKI 	50 	PH
N17 	BUKIT TENGAH 	31,213 	2 	Baljit Singh Jigiri Singh 	LELAKI 	57 	PN
N18 	BUKIT TAMBUN 	37,032 	1 	Goh Choon Aik 	LELAKI 	49 	PH
N18 	BUKIT TAMBUN 	37,032 	2 	Samuganathan Muniandy 	LELAKI 	57 	BEBAS
N18 	BUKIT TAMBUN 	37,032 	3 	Tan Gia Wei 	LELAKI 	43 	PN
N19 	JAWI 	36,350 	1 	H'ng Mooi Lye 	LELAKI 	45 	PH
N19 	JAWI 	36,350 	2 	Koh Tien Yew 	LELAKI 	42 	PN
N20 	SUNGAI BAKAP 	37,781 	1 	Nor Zamri Latiff 	LELAKI 	54 	PN
N20 	SUNGAI BAKAP 	37,781 	2 	Nurhidayah Che Rose 	PEREMPUAN 	32 	PH
N21 	SUNGAI ACHEH 	25,931 	1 	Zulkifli Ibrahim 	LELAKI 	43 	PN
N21 	SUNGAI ACHEH 	25,931 	2 	Rashidi Zinol 	LELAKI 	52 	BN-UMNO
N22 	TANJONG BUNGA 	29,289 	1 	Zairil Khir Johari 	LELAKI 	40 	PH
N22 	TANJONG BUNGA 	29,289 	2 	Lee Chui Wah 	PEREMPUAN 	63 	PRM
N22 	TANJONG BUNGA 	29,289 	3 	Hng Chee Wey 	LELAKI 	46 	PN
N23 	AIR PUTIH 	15,379 	1 	Teh Yee Cheu 	LELAKI 	65 	PRM
N23 	AIR PUTIH 	15,379 	2 	Kong Cheng Ann 	LELAKI 	27 	PN
