Kod DUN 	Nama DUN 	Bilangan Pemilih 	No Calon 	Nama 	Jantina 	Umur 	Parti
N01 	CHENNAH 	14,561 	1 	Rosmadi Arif 	LELAKI 	51 	PN
N01 	CHENNAH 	14,561 	2 	Loke Siew Fook 	LELAKI 	46 	PH
N02 	PERTANG 	12,854 	1 	Jalaluddin Alias 	LELAKI 	59 	BN-UMNO
N02 	PERTANG 	12,854 	2 	Amirudin Hassan 	LELAKI 	64 	PN
N03 	SUNGAI LUI 	19,115 	1 	Mohd.razi Mohd.ali 	LELAKI 	50 	BN-UMNO
N03 	SUNGAI LUI 	19,115 	2 	Mohd Nordin Hasim 	LELAKI 	43 	PN
N04 	KLAWANG 	13,031 	1 	Saiful Bahri Jaaman @ Sharman 	LELAKI 	56 	BEBAS
N04 	KLAWANG 	13,031 	2 	Danni Rais 	LELAKI 	35 	PN
N04 	KLAWANG 	13,031 	3 	Bakri Sawir 	LELAKI 	64 	PH
N05 	SERTING 	30,248 	1 	Mohd Fairuz Mohd Isa 	LELAKI 	47 	PN
N05 	SERTING 	30,248 	2 	Muhamad Zamri Omar 	LELAKI 	56 	BN-UMNO
N06 	PALONG 	23,546 	1 	Noor Azuan Parmin 	LELAKI 	52 	PN
N06 	PALONG 	23,546 	2 	Mustapha Nagoor 	LELAKI 	55 	BN-UMNO
N07 	JERAM PADANG 	16,284 	1 	Mohd Zaidy Abdul Kadir 	LELAKI 	41 	BN-UMNO
N07 	JERAM PADANG 	16,284 	2 	Surash Sreenivasan 	LELAKI 	49 	PN
N08 	BAHAU 	25,735 	1 	Kumar S. Paramasivam 	LELAKI 	53 	PN
N08 	BAHAU 	25,735 	2 	Teo Kok Seong 	LELAKI 	43 	PH
N09 	LENGGENG 	26,993 	1 	Zul Azki Mat Sulop 	LELAKI 	57 	BEBAS
N09 	LENGGENG 	26,993 	2 	Mohd Fadli Che Me 	LELAKI 	50 	PN
N09 	LENGGENG 	26,993 	3 	Mohd Asna Amin 	LELAKI 	44 	BN-UMNO
N10 	NILAI 	41,123 	1 	Gan Chee Biow 	LELAKI 	56 	PN
N10 	NILAI 	41,123 	2 	Omar Mohd Isa 	LELAKI 	57 	BEBAS
N10 	NILAI 	41,123 	3 	Yessu Samuel 	LELAKI 	47 	BEBAS
N10 	NILAI 	41,123 	4 	Arul Kumar Jambunathan 	LELAKI 	37 	PH
N11 	LOBAK 	23,264 	1 	Ng Soon Lean 	PEREMPUAN 	58 	PN
N11 	LOBAK 	23,264 	2 	Chew Seh Yong 	LELAKI 	61 	PH
N12 	TEMIANG 	13,121 	1 	Ng Chin Tsai 	LELAKI 	45 	PH
N12 	TEMIANG 	13,121 	2 	Ahmad Qusyairi Abdull Rahim 	LELAKI 	34 	MUDA
N12 	TEMIANG 	13,121 	3 	Chua Eng Pu 	LELAKI 	54 	PN
N13 	SIKAMAT 	31,821 	1 	Ahmad Raihan Muhamad Hilal 	LELAKI 	33 	PN
N13 	SIKAMAT 	31,821 	2 	Aminuddin Harun 	LELAKI 	56 	PH
N13 	SIKAMAT 	31,821 	3 	Bujang Abu 	LELAKI 	71 	BEBAS
