20744,20700,N.44,JEMORENG,D,9962,0,1,384,1125,1062,1056,643,304,83,12,472,1224,1133,1102,797,444,95,27
20845,20800,N.45,REPOK,D,23286,255,0,1113,2652,2490,2384,1950,819,241,64,1220,2556,2416,2343,1913,933,344,103
20846,20800,N.46,MERADONG,D,18069,87,0,962,1982,1967,1965,1295,618,189,57,1082,1914,1882,1776,1261,736,341,129
20947,20900,N.47,PAKAN,D,11154,0,0,726,1169,1288,1375,735,314,88,36,648,1110,1117,1176,743,378,164,87
20948,20900,N.48,MELUAN,D,14614,57,0,806,1530,1738,1597,915,486,150,42,783,1533,1648,1463,955,577,276,172
21049,21000,N.49,NGEMAH,D,9853,0,0,392,997,1027,1079,773,344,103,28,433,1049,993,1066,762,466,209,132
21050,21000,N.50,MACHAN,D,11703,60,0,539,1172,1189,1362,930,389,113,37,537,1204,1184,1318,910,553,214,112
21151,21100,N.51,BUKIT ASSEK,D,27634,0,2,635,2252,2720,2808,2797,1295,354,83,738,2312,2899,3096,3192,1622,638,195
21152,21100,N.52,DUDONG,D,33054,1899,2,2623,4362,3740,3244,2044,908,227,82,2368,4369,4017,3234,2116,1044,402,175
21253,21200,N.53,BAWANG ASSAN,D,19610,40,0,1033,1799,1713,2091,1735,803,277,88,1149,1850,1762,2158,1740,892,395,165
21254,21200,N.54,PELAWAN,D,33910,549,7,1558,4440,4077,3330,2228,887,258,49,1634,4156,4240,3521,2513,1080,403,92
21255,21200,N.55,NANGKA,D,21011,2080,1,2375,2992,2449,1730,1157,506,133,51,1776,3163,2590,1849,1328,663,239,91
21356,21300,N.56,DALAT,D,12417,85,1,653,1299,1262,1366,905,454,112,10,721,1386,1261,1364,1009,548,128,25
21357,21300,N.57,TELLIAN,D,9927,132,0,405,1048,1126,1139,755,374,94,12,434,1094,1057,1064,764,489,156,48
21358,21300,N.58,BALINGIAN,D,8700,4,0,353,980,1018,969,665,270,78,13,353,1023,947,867,675,354,97,42
21459,21400,N.59,TAMIN,D,16666,15,0,829,1832,1900,1773,1086,478,184,48,924,1898,1889,1679,1054,647,288,172
