id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
286,SANJAN ANAK DAIK,,54,L,19819,dun,,KLH,2021-12-06T12:46:06.530Z,1,2794,3071,146
351,JOSHUA ROMAN,,95,L,19819,dun,,HD,2021-12-06T12:46:06.530Z,5,958,3071,146
367,CHANG HON HIUNG,,3,L,19819,dun,,KLH,2021-12-06T12:46:06.530Z,3,1517,3071,146
373,CHONG SIEW HUNG,,47,P,19819,dun,,HD,2021-12-06T12:46:06.530Z,4,144,3071,146
399,JERIP ANAK SUSIL,,51,L,19819,dun,,MNG,2021-12-06T12:46:06.530Z,2,5865,3071,146
372,ALIAS BIN MAIL,,54,L,22282,dun,,HD,2021-12-06T12:46:52.890Z,3,749,5636,64
304,AWANG TENGAH BIN ALI HASAN,,51,L,22282,dun,,MNG,2021-12-06T12:46:52.890Z,1,6385,5636,64
307,RIYAH BIN BASRAH,,95,L,22282,dun,,HD,2021-12-06T12:46:52.890Z,2,165,5636,64
320,MADANG ANAK DIMBAB,,54,L,21050,dun,,KLH,2021-12-06T12:47:43.897Z,3,2066,2089,124
322,MARY RITA ANAK MATHIAS,,95,P,21050,dun,,HD,2021-12-06T12:47:43.897Z,2,203,2089,124
376,JOSEPH NYAMBONG,,37,L,21050,dun,,KLH,2021-12-06T12:47:43.897Z,4,1267,2089,124
371,NGELAYANG ANAK UNAU,,47,L,21050,dun,,HD,2021-12-06T12:47:43.897Z,5,52,2089,124
138,ALLAN SIDEN GRAMONG,,51,L,21050,dun,,MNG,2021-12-06T12:47:43.897Z,1,4155,2089,124
157,DR ABDUL RAHMAN BIN JUNAIDI,,51,L,19304,dun,,MNG,2021-12-06T12:48:26.767Z,1,10699,8381,180
190,MAHMUD BIN SABLI,,54,L,19304,dun,,KLH,2021-12-06T12:48:26.767Z,2,2318,8381,180
139,TING ING HUA,,95,L,20743,dun,,HD,2021-12-06T12:49:26.310Z,3,184,5112,101
127,SAFIEE BIN HAJI AHMAD,,51,L,20743,dun,,MNG,2021-12-06T12:49:26.310Z,1,5317,5112,101
205,CIKGU JAMAL IBRAHIM,,20,L,20743,dun,025,HD,2021-12-06T12:49:26.310Z,2,205,5112,101
233,KHAIRUL BIN AHMAT,,20,L,19305,dun,013,HD,2021-12-06T12:50:19.900Z,3,674,6399,237
393,YATIKA BINTI JELANI,,54,P,19305,dun,,KLH,2021-12-06T12:50:19.900Z,4,1237,6399,237
323,JEN PELI,,81,L,19305,dun,,HD,2021-12-06T12:50:19.900Z,2,212,6399,237
459,DR. HAZLAND B. ABG. HIPNI,,51,L,19305,dun,,MNG,2021-12-06T12:50:19.900Z,1,7636,6399,237
450,YUNUS BIN BASRI,,95,L,21562,dun,,HD,2021-12-06T12:51:21.060Z,3,149,2997,109
