Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ LATIFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ZUKI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORASHIKIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SYAM GHAZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
7,031/39/03,SEKOLAH KEBANGSAAN KAMPONG BEDAL,1,323,168,119,3,28,318,5,0,BUKIT SIREH ,UNDI BIASA,BUKIT SIREH 031/39/03
7,031/39/03,SEKOLAH KEBANGSAAN KAMPONG BEDAL,2,453,256,137,1,49,443,10,0,BUKIT SIREH ,UNDI BIASA,BUKIT SIREH 031/39/03
7,031/39/03,SEKOLAH KEBANGSAAN KAMPONG BEDAL,3,375,248,80,1,45,374,1,0,BUKIT SIREH ,UNDI BIASA,BUKIT SIREH 031/39/03
7,031/39/03,SEKOLAH KEBANGSAAN KAMPONG BEDAL,4,378,259,76,0,40,375,3,0,BUKIT SIREH ,UNDI BIASA,BUKIT SIREH 031/39/03
7,031/39/03,SEKOLAH KEBANGSAAN KAMPONG BEDAL,5,469,307,127,1,34,469,0,0,BUKIT SIREH ,UNDI BIASA,BUKIT SIREH 031/39/03
8,031/39/04,SEKOLAH KEBANGSAAN BATU JONG,1,344,177,130,2,26,335,9,0,BATU JONG ,UNDI BIASA,BATU JONG 031/39/04
8,031/39/04,SEKOLAH KEBANGSAAN BATU JONG,2,400,253,106,1,35,395,5,0,BATU JONG ,UNDI BIASA,BATU JONG 031/39/04
8,031/39/04,SEKOLAH KEBANGSAAN BATU JONG,3,355,244,86,0,24,354,1,0,BATU JONG ,UNDI BIASA,BATU JONG 031/39/04
8,031/39/04,SEKOLAH KEBANGSAAN BATU JONG,4,386,263,88,4,28,383,3,0,BATU JONG ,UNDI BIASA,BATU JONG 031/39/04
9,031/39/05,SEKOLAH MENENGAH KEBANGSAAN KEROH,1,277,156,90,0,27,273,4,0,KEROH ,UNDI BIASA,KEROH 031/39/05
9,031/39/05,SEKOLAH MENENGAH KEBANGSAAN KEROH,2,346,218,101,1,20,340,6,0,KEROH ,UNDI BIASA,KEROH 031/39/05
9,031/39/05,SEKOLAH MENENGAH KEBANGSAAN KEROH,3,378,252,101,3,22,378,0,0,KEROH ,UNDI BIASA,KEROH 031/39/05
10,031/39/06,SEKOLAH KEBANGSAAN PASIR GAJAH,1,331,144,172,0,11,327,4,0,PASIR GAJAH ,UNDI BIASA,PASIR GAJAH 031/39/06
10,031/39/06,SEKOLAH KEBANGSAAN PASIR GAJAH,2,405,204,187,1,11,403,2,0,PASIR GAJAH ,UNDI BIASA,PASIR GAJAH 031/39/06
10,031/39/06,SEKOLAH KEBANGSAAN PASIR GAJAH,3,393,222,143,1,21,387,6,0,PASIR GAJAH ,UNDI BIASA,PASIR GAJAH 031/39/06
10,031/39/06,SEKOLAH KEBANGSAAN PASIR GAJAH,4,402,233,152,1,16,402,0,0,PASIR GAJAH ,UNDI BIASA,PASIR GAJAH 031/39/06
11,031/39/07,SEKOLAH KEBANGSAAN TELKONG,1,352,172,151,1,12,336,15,1,TELEKONG ,UNDI BIASA,TELEKONG 031/39/07
11,031/39/07,SEKOLAH KEBANGSAAN TELKONG,2,436,271,133,2,23,429,7,0,TELEKONG ,UNDI BIASA,TELEKONG 031/39/07
11,031/39/07,SEKOLAH KEBANGSAAN TELKONG,3,386,254,107,0,20,381,5,0,TELEKONG ,UNDI BIASA,TELEKONG 031/39/07
11,031/39/07,SEKOLAH KEBANGSAAN TELKONG,4,427,278,131,0,14,423,4,0,TELEKONG ,UNDI BIASA,TELEKONG 031/39/07
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,1,317,194,108,0,11,313,3,1,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,2,357,224,113,0,13,350,7,0,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,3,444,311,105,0,19,435,9,0,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,4,405,290,88,3,24,405,0,0,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,5,395,285,89,1,17,392,3,0,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,6,406,292,94,0,19,405,1,0,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
12,031/39/08,SEKOLAH KEBANGSAAN SUNGAI EMBAK,7,460,327,118,1,10,456,3,1,SUNGAI DURIAN ,UNDI BIASA,SUNGAI DURIAN 031/39/08
13,031/39/09,SEKOLAH KEBANGSAAN CHENULANG,1,347,213,131,2,0,346,1,0,CHENULANG ,UNDI BIASA,CHENULANG 031/39/09
13,031/39/09,SEKOLAH KEBANGSAAN CHENULANG,2,555,342,181,1,15,539,14,2,CHENULANG ,UNDI BIASA,CHENULANG 031/39/09
13,031/39/09,SEKOLAH KEBANGSAAN CHENULANG,3,485,323,151,1,8,483,2,0,CHENULANG ,UNDI BIASA,CHENULANG 031/39/09
13,031/39/09,SEKOLAH KEBANGSAAN CHENULANG,4,557,360,176,2,15,553,4,0,CHENULANG ,UNDI BIASA,CHENULANG 031/39/09
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,1,347,272,60,2,10,344,3,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,2,388,315,56,0,12,383,5,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,3,527,417,74,3,26,520,7,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,4,474,388,55,3,22,468,6,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,5,439,362,63,2,12,439,0,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,6,481,412,50,1,17,480,1,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
14,031/39/10,SEKOLAH KEBANGSAAN BATU MENGKEBANG,7,534,461,54,0,19,534,0,0,R.K.T. MENGKEBANG ,UNDI BIASA,R.K.T. MENGKEBANG 031/39/10
15,031/39/11,SEKOLAH KEBANGSAAN SUNGAI PAS,1,391,327,57,0,3,387,3,1,R.P.T SUNGAI PAS ,UNDI BIASA,R.P.T SUNGAI PAS 031/39/11
15,031/39/11,SEKOLAH KEBANGSAAN SUNGAI PAS,2,528,480,36,0,9,525,3,0,R.P.T SUNGAI PAS ,UNDI BIASA,R.P.T SUNGAI PAS 031/39/11
15,031/39/11,SEKOLAH KEBANGSAAN SUNGAI PAS,3,561,507,42,3,5,557,4,0,R.P.T SUNGAI PAS ,UNDI BIASA,R.P.T SUNGAI PAS 031/39/11
16,031/40/01,SEKOLAH KEBANGSAAN LADANG TAKU,1,255,150,82,1,20,253,2,0,LADANG TAKU ,UNDI BIASA,LADANG TAKU 031/40/01
17,031/40/02,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,1,314,188,89,1,33,311,3,0,KAMPUNG BHARU GUCHIL UTARA ,UNDI BIASA,KAMPUNG BHARU GUCHIL UTARA 031/40/02
17,031/40/02,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,2,317,211,70,0,30,311,6,0,KAMPUNG BHARU GUCHIL UTARA ,UNDI BIASA,KAMPUNG BHARU GUCHIL UTARA 031/40/02
17,031/40/02,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,3,373,271,71,2,24,368,5,0,KAMPUNG BHARU GUCHIL UTARA ,UNDI BIASA,KAMPUNG BHARU GUCHIL UTARA 031/40/02
17,031/40/02,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,4,363,267,61,1,31,360,3,0,KAMPUNG BHARU GUCHIL UTARA ,UNDI BIASA,KAMPUNG BHARU GUCHIL UTARA 031/40/02
17,031/40/02,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,5,379,260,73,1,43,377,2,0,KAMPUNG BHARU GUCHIL UTARA ,UNDI BIASA,KAMPUNG BHARU GUCHIL UTARA 031/40/02
17,031/40/02,SEKOLAH MENENGAH KEBANGSAAN KUALA KRAI,6,435,307,82,0,42,431,4,0,KAMPUNG BHARU GUCHIL UTARA ,UNDI BIASA,KAMPUNG BHARU GUCHIL UTARA 031/40/02
18,031/40/03,KOLEJ VOKASIONAL KUALA KRAI,1,290,131,66,4,86,287,3,0,SRI GUCHIL ,UNDI BIASA,SRI GUCHIL 031/40/03
18,031/40/03,KOLEJ VOKASIONAL KUALA KRAI,2,354,170,69,4,109,352,2,0,SRI GUCHIL ,UNDI BIASA,SRI GUCHIL 031/40/03
18,031/40/03,KOLEJ VOKASIONAL KUALA KRAI,3,304,188,44,3,63,298,6,0,SRI GUCHIL ,UNDI BIASA,SRI GUCHIL 031/40/03
18,031/40/03,KOLEJ VOKASIONAL KUALA KRAI,4,309,176,40,2,89,307,2,0,SRI GUCHIL ,UNDI BIASA,SRI GUCHIL 031/40/03
18,031/40/03,KOLEJ VOKASIONAL KUALA KRAI,5,431,260,58,0,111,429,2,0,SRI GUCHIL ,UNDI BIASA,SRI GUCHIL 031/40/03
19,031/40/04,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,1,299,184,59,5,45,293,6,0,KAMPUNG BHARU GUCHIL TENGAH ,UNDI BIASA,KAMPUNG BHARU GUCHIL TENGAH 031/40/04
19,031/40/04,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,2,329,217,58,3,49,327,2,0,KAMPUNG BHARU GUCHIL TENGAH ,UNDI BIASA,KAMPUNG BHARU GUCHIL TENGAH 031/40/04
19,031/40/04,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,3,329,228,47,2,47,324,5,0,KAMPUNG BHARU GUCHIL TENGAH ,UNDI BIASA,KAMPUNG BHARU GUCHIL TENGAH 031/40/04
19,031/40/04,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,4,321,226,49,1,44,320,1,0,KAMPUNG BHARU GUCHIL TENGAH ,UNDI BIASA,KAMPUNG BHARU GUCHIL TENGAH 031/40/04
19,031/40/04,SEKOLAH KEBANGSAAN BANGGOL GUCHIL,5,355,248,55,2,49,354,1,0,KAMPUNG BHARU GUCHIL TENGAH ,UNDI BIASA,KAMPUNG BHARU GUCHIL TENGAH 031/40/04
20,031/40/05,SEKOLAH KEBANGSAAN SULTAN YAHYA PETRA (2),1,313,187,71,3,48,309,4,0,KAMPUNG BHARU GUCHIL SELATAN ,UNDI BIASA,KAMPUNG BHARU GUCHIL SELATAN 031/40/05
20,031/40/05,SEKOLAH KEBANGSAAN SULTAN YAHYA PETRA (2),2,446,346,56,2,41,445,1,0,KAMPUNG BHARU GUCHIL SELATAN ,UNDI BIASA,KAMPUNG BHARU GUCHIL SELATAN 031/40/05
20,031/40/05,SEKOLAH KEBANGSAAN SULTAN YAHYA PETRA (2),3,387,282,57,1,45,385,2,0,KAMPUNG BHARU GUCHIL SELATAN ,UNDI BIASA,KAMPUNG BHARU GUCHIL SELATAN 031/40/05
20,031/40/05,SEKOLAH KEBANGSAAN SULTAN YAHYA PETRA (2),4,513,395,66,5,47,513,0,0,KAMPUNG BHARU GUCHIL SELATAN ,UNDI BIASA,KAMPUNG BHARU GUCHIL SELATAN 031/40/05
21,031/40/06,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI,1,237,69,50,7,108,234,3,0,"BANDAR KUALA KRAI
",UNDI BIASA,"BANDAR KUALA KRAI
031/40/06"
21,031/40/06,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI,2,301,84,71,3,135,293,8,0,"BANDAR KUALA KRAI
",UNDI BIASA,"BANDAR KUALA KRAI
031/40/06"
21,031/40/06,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI,3,441,201,86,5,146,438,3,0,"BANDAR KUALA KRAI
",UNDI BIASA,"BANDAR KUALA KRAI
031/40/06"
21,031/40/06,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI,4,383,247,73,3,59,382,1,0,"BANDAR KUALA KRAI
",UNDI BIASA,"BANDAR KUALA KRAI
031/40/06"
21,031/40/06,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI,5,440,289,80,1,68,438,2,0,"BANDAR KUALA KRAI
",UNDI BIASA,"BANDAR KUALA KRAI
031/40/06"
22,031/40/07,SEKOLAH MENENGAH KEBANGSAAN SULTAN YAHYA PETRA 1,1,282,105,71,3,98,277,5,0,KG HAMZAH ,UNDI BIASA,KG HAMZAH 031/40/07
22,031/40/07,SEKOLAH MENENGAH KEBANGSAAN SULTAN YAHYA PETRA 1,2,412,216,64,1,128,409,3,0,KG HAMZAH ,UNDI BIASA,KG HAMZAH 031/40/07
22,031/40/07,SEKOLAH MENENGAH KEBANGSAAN SULTAN YAHYA PETRA 1,3,448,262,55,3,124,444,4,0,KG HAMZAH ,UNDI BIASA,KG HAMZAH 031/40/07
23,031/40/08,SEKOLAH KEBANGSAAN BAHAGIA,1,317,210,95,1,7,313,4,0,RKT BAHAGIA ,UNDI BIASA,RKT BAHAGIA 031/40/08
23,031/40/08,SEKOLAH KEBANGSAAN BAHAGIA,2,398,284,96,0,8,388,10,0,RKT BAHAGIA ,UNDI BIASA,RKT BAHAGIA 031/40/08
24,031/40/09,SEKOLAH KEBANGSAAN KUALA KRAI,1,317,171,123,5,14,313,4,0,TUALANG ,UNDI BIASA,TUALANG 031/40/09
24,031/40/09,SEKOLAH KEBANGSAAN KUALA KRAI,2,339,224,91,4,18,337,2,0,TUALANG ,UNDI BIASA,TUALANG 031/40/09
24,031/40/09,SEKOLAH KEBANGSAAN KUALA KRAI,3,345,242,81,2,18,343,2,0,TUALANG ,UNDI BIASA,TUALANG 031/40/09
25,031/40/10,SEKOLAH KEBANGSAAN KAMPONG TENGAH,1,336,173,152,0,5,330,6,0,KENOR ,UNDI BIASA,KENOR 031/40/10
25,031/40/10,SEKOLAH KEBANGSAAN KAMPONG TENGAH,2,355,179,158,0,11,348,7,0,KENOR ,UNDI BIASA,KENOR 031/40/10
25,031/40/10,SEKOLAH KEBANGSAAN KAMPONG TENGAH,3,524,338,160,2,21,521,3,0,KENOR ,UNDI BIASA,KENOR 031/40/10
25,031/40/10,SEKOLAH KEBANGSAAN KAMPONG TENGAH,4,472,309,144,2,15,470,2,0,KENOR ,UNDI BIASA,KENOR 031/40/10
25,031/40/10,SEKOLAH KEBANGSAAN KAMPONG TENGAH,5,483,325,135,0,21,481,2,0,KENOR ,UNDI BIASA,KENOR 031/40/10
25,031/40/10,SEKOLAH KEBANGSAAN KAMPONG TENGAH,6,535,388,119,0,28,535,0,0,KENOR ,UNDI BIASA,KENOR 031/40/10
26,031/40/11,SEKOLAH MENENGAH KEBANGSAAN PAHI,1,294,159,111,3,14,287,7,0,KUALA PAHI ,UNDI BIASA,KUALA PAHI 031/40/11
26,031/40/11,SEKOLAH MENENGAH KEBANGSAAN PAHI,2,331,195,98,1,33,327,4,0,KUALA PAHI ,UNDI BIASA,KUALA PAHI 031/40/11
26,031/40/11,SEKOLAH MENENGAH KEBANGSAAN PAHI,3,438,294,99,2,39,434,4,0,KUALA PAHI ,UNDI BIASA,KUALA PAHI 031/40/11
26,031/40/11,SEKOLAH MENENGAH KEBANGSAAN PAHI,4,436,334,70,0,29,433,3,0,KUALA PAHI ,UNDI BIASA,KUALA PAHI 031/40/11
26,031/40/11,SEKOLAH MENENGAH KEBANGSAAN PAHI,5,536,410,89,0,33,532,4,0,KUALA PAHI ,UNDI BIASA,KUALA PAHI 031/40/11
27,031/40/12,SEKOLAH KEBANGSAAN PAHI,1,291,159,100,0,26,285,6,0,PAHI ,UNDI BIASA,PAHI 031/40/12
27,031/40/12,SEKOLAH KEBANGSAAN PAHI,2,441,300,103,2,31,436,5,0,PAHI ,UNDI BIASA,PAHI 031/40/12
27,031/40/12,SEKOLAH KEBANGSAAN PAHI,3,472,357,76,0,31,464,8,0,PAHI ,UNDI BIASA,PAHI 031/40/12
28,031/41/01,SEKOLAH KEBANGSAAN TEMALIR,1,368,231,119,3,8,361,7,0,TEMALIR ,UNDI BIASA,TEMALIR 031/41/01
28,031/41/01,SEKOLAH KEBANGSAAN TEMALIR,2,470,331,121,1,15,468,2,0,TEMALIR ,UNDI BIASA,TEMALIR 031/41/01
28,031/41/01,SEKOLAH KEBANGSAAN TEMALIR,3,481,341,126,1,8,476,5,0,TEMALIR ,UNDI BIASA,TEMALIR 031/41/01
29,031/41/02,SEKOLAH KEBANGSAAN PERIA,1,315,215,83,3,8,309,6,0,SUNGAI PERIAL ,UNDI BIASA,SUNGAI PERIAL 031/41/02
29,031/41/02,SEKOLAH KEBANGSAAN PERIA,2,344,240,90,0,11,341,3,0,SUNGAI PERIAL ,UNDI BIASA,SUNGAI PERIAL 031/41/02
29,031/41/02,SEKOLAH KEBANGSAAN PERIA,3,449,338,86,2,16,442,7,0,SUNGAI PERIAL ,UNDI BIASA,SUNGAI PERIAL 031/41/02
29,031/41/02,SEKOLAH KEBANGSAAN PERIA,4,438,342,73,0,19,434,4,0,SUNGAI PERIAL ,UNDI BIASA,SUNGAI PERIAL 031/41/02
29,031/41/02,SEKOLAH KEBANGSAAN PERIA,5,474,361,96,0,14,471,3,0,SUNGAI PERIAL ,UNDI BIASA,SUNGAI PERIAL 031/41/02
30,031/41/03,SEKOLAH KEBANGSAAN MANEK URAI,1,321,175,121,3,10,309,10,2,MANEK URAI LAMA ,UNDI BIASA,MANEK URAI LAMA 031/41/03
30,031/41/03,SEKOLAH KEBANGSAAN MANEK URAI,2,336,214,106,1,10,331,5,0,MANEK URAI LAMA ,UNDI BIASA,MANEK URAI LAMA 031/41/03
30,031/41/03,SEKOLAH KEBANGSAAN MANEK URAI,3,464,319,120,2,18,459,5,0,MANEK URAI LAMA ,UNDI BIASA,MANEK URAI LAMA 031/41/03
30,031/41/03,SEKOLAH KEBANGSAAN MANEK URAI,4,421,289,112,4,10,415,6,0,MANEK URAI LAMA ,UNDI BIASA,MANEK URAI LAMA 031/41/03
30,031/41/03,SEKOLAH KEBANGSAAN MANEK URAI,5,495,357,120,3,10,490,5,0,MANEK URAI LAMA ,UNDI BIASA,MANEK URAI LAMA 031/41/03
