Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,1150,660,83,71,202,1016,50,84,UNDI POS,UNDI POS,UNDI POS
2,005/03/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1,15,6,0,0,9,15,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 005/03/00
3,005/04/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1,16,5,0,1,10,16,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 005/04/00
4,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1,337,134,27,55,111,327,10,0,KAMPUNG BAHAGIA ,UNDI BIASA,KAMPUNG BAHAGIA 005/03/01
4,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",2,479,299,34,70,72,475,4,0,KAMPUNG BAHAGIA ,UNDI BIASA,KAMPUNG BAHAGIA 005/03/01
4,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",3,551,390,26,63,65,544,7,0,KAMPUNG BAHAGIA ,UNDI BIASA,KAMPUNG BAHAGIA 005/03/01
5,005/03/02,"SEKOLAH KEBANGSAAN SIPUTEH, PADANG SERA",1,358,150,52,15,129,346,12,0,KAMPUNG PERING ,UNDI BIASA,KAMPUNG PERING 005/03/02
5,005/03/02,"SEKOLAH KEBANGSAAN SIPUTEH, PADANG SERA",2,320,215,25,23,49,312,8,0,KAMPUNG PERING ,UNDI BIASA,KAMPUNG PERING 005/03/02
6,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",1,356,106,24,84,138,352,4,0,KAMPUNG KANDIS ,UNDI BIASA,KAMPUNG KANDIS 005/03/03
6,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",2,325,181,30,39,70,320,5,0,KAMPUNG KANDIS ,UNDI BIASA,KAMPUNG KANDIS 005/03/03
6,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",3,341,220,15,46,57,338,3,0,KAMPUNG KANDIS ,UNDI BIASA,KAMPUNG KANDIS 005/03/03
7,005/03/04,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, KODIANG",1,294,104,21,98,63,286,8,0,PEKAN KODIANG ,UNDI BIASA,PEKAN KODIANG 005/03/04
7,005/03/04,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, KODIANG",2,366,167,26,81,89,363,3,0,PEKAN KODIANG ,UNDI BIASA,PEKAN KODIANG 005/03/04
7,005/03/04,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, KODIANG",3,441,248,28,113,49,438,3,0,PEKAN KODIANG ,UNDI BIASA,PEKAN KODIANG 005/03/04
7,005/03/04,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, KODIANG",4,450,298,21,79,50,448,2,0,PEKAN KODIANG ,UNDI BIASA,PEKAN KODIANG 005/03/04
7,005/03/04,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, KODIANG",5,493,314,17,98,63,492,1,0,PEKAN KODIANG ,UNDI BIASA,PEKAN KODIANG 005/03/04
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1,307,151,26,33,88,298,9,0,KAMPUNG KODIANG ,UNDI BIASA,KAMPUNG KODIANG 005/03/05
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",2,388,200,20,48,116,384,4,0,KAMPUNG KODIANG ,UNDI BIASA,KAMPUNG KODIANG 005/03/05
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",3,453,291,32,37,91,451,2,0,KAMPUNG KODIANG ,UNDI BIASA,KAMPUNG KODIANG 005/03/05
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",4,436,285,35,35,77,432,4,0,KAMPUNG KODIANG ,UNDI BIASA,KAMPUNG KODIANG 005/03/05
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",5,411,290,25,31,64,410,1,0,KAMPUNG KODIANG ,UNDI BIASA,KAMPUNG KODIANG 005/03/05
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",6,481,370,13,38,59,480,1,0,KAMPUNG KODIANG ,UNDI BIASA,KAMPUNG KODIANG 005/03/05
9,005/03/06,"SEKOLAH MENENGAH KEBANGSAAN AGAMA JERLUN, KODIANG",1,333,117,30,35,146,328,5,0,KAMPUNG SIPUTEH ,UNDI BIASA,KAMPUNG SIPUTEH 005/03/06
9,005/03/06,"SEKOLAH MENENGAH KEBANGSAAN AGAMA JERLUN, KODIANG",2,327,186,32,19,86,323,4,0,KAMPUNG SIPUTEH ,UNDI BIASA,KAMPUNG SIPUTEH 005/03/06
9,005/03/06,"SEKOLAH MENENGAH KEBANGSAAN AGAMA JERLUN, KODIANG",3,340,220,16,24,79,339,1,0,KAMPUNG SIPUTEH ,UNDI BIASA,KAMPUNG SIPUTEH 005/03/06
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",1,346,179,16,80,64,339,7,0,MEGAT DEWA ,UNDI BIASA,MEGAT DEWA 005/03/07
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",2,387,227,18,83,52,380,7,0,MEGAT DEWA ,UNDI BIASA,MEGAT DEWA 005/03/07
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",3,406,294,23,50,36,403,3,0,MEGAT DEWA ,UNDI BIASA,MEGAT DEWA 005/03/07
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",4,437,344,14,53,25,436,1,0,MEGAT DEWA ,UNDI BIASA,MEGAT DEWA 005/03/07
11,005/03/08,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",1,319,181,19,31,80,311,8,0,BUKIT HANTU ,UNDI BIASA,BUKIT HANTU 005/03/08
11,005/03/08,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",2,363,212,26,43,78,359,4,0,BUKIT HANTU ,UNDI BIASA,BUKIT HANTU 005/03/08
11,005/03/08,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",3,391,268,26,29,65,388,3,0,BUKIT HANTU ,UNDI BIASA,BUKIT HANTU 005/03/08
11,005/03/08,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",4,385,310,15,17,42,384,1,0,BUKIT HANTU ,UNDI BIASA,BUKIT HANTU 005/03/08
11,005/03/08,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",5,423,349,9,14,46,418,5,0,BUKIT HANTU ,UNDI BIASA,BUKIT HANTU 005/03/08
12,005/03/09,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",6,325,259,11,16,33,319,6,0,MESJID PAYA ,UNDI BIASA,MESJID PAYA 005/03/09
12,005/03/09,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",7,347,269,11,20,44,344,3,0,MESJID PAYA ,UNDI BIASA,MESJID PAYA 005/03/09
12,005/03/09,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",8,356,306,7,16,27,356,0,0,MESJID PAYA ,UNDI BIASA,MESJID PAYA 005/03/09
13,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG, BATU 4, JALAN SANGLANG, KODIANG",1,381,204,32,37,104,377,4,0,BATU 4 JALAN SANGLANG ,UNDI BIASA,BATU 4 JALAN SANGLANG 005/03/10
13,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG, BATU 4, JALAN SANGLANG, KODIANG",2,532,325,23,49,132,529,3,0,BATU 4 JALAN SANGLANG ,UNDI BIASA,BATU 4 JALAN SANGLANG 005/03/10
13,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG, BATU 4, JALAN SANGLANG, KODIANG",3,517,349,17,43,107,516,1,0,BATU 4 JALAN SANGLANG ,UNDI BIASA,BATU 4 JALAN SANGLANG 005/03/10
