Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ABE WAE - REDZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK JAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD NASRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MARZUK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. HAFIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,5,428,3,26,1,291,105,426,1,1,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,6,411,2,19,0,297,90,408,3,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,7,455,2,29,2,321,94,448,6,1,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,8,486,2,28,1,336,118,485,1,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
6,020/05/02,SEKOLAH KEBANGSAAN PULAU KUNDOR,1,343,0,12,2,254,73,341,2,0,PULAU KUNDOR ,UNDI BIASA,PULAU KUNDOR 020/05/02
6,020/05/02,SEKOLAH KEBANGSAAN PULAU KUNDOR,2,433,0,17,1,330,83,431,2,0,PULAU KUNDOR ,UNDI BIASA,PULAU KUNDOR 020/05/02
6,020/05/02,SEKOLAH KEBANGSAAN PULAU KUNDOR,3,419,2,16,0,302,98,418,1,0,PULAU KUNDOR ,UNDI BIASA,PULAU KUNDOR 020/05/02
6,020/05/02,SEKOLAH KEBANGSAAN PULAU KUNDOR,4,436,1,15,2,311,103,432,4,0,PULAU KUNDOR ,UNDI BIASA,PULAU KUNDOR 020/05/02
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,1,308,0,31,1,182,90,304,4,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,2,354,1,32,1,227,87,348,6,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,3,562,5,44,5,380,119,553,9,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,4,483,1,38,3,346,90,478,5,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,5,491,3,36,3,364,80,486,5,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,6,479,0,44,2,358,71,475,4,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,7,548,1,65,1,365,112,544,4,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
7,020/05/03,SEKOLAH KEBANGSAAN SEMUT API,8,606,5,51,4,430,113,603,3,0,SEMUT API ,UNDI BIASA,SEMUT API 020/05/03
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,1,275,2,14,3,196,50,265,10,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,2,352,3,23,2,234,76,338,14,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,3,484,1,37,2,367,72,479,5,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,4,445,10,37,0,313,79,439,6,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,5,416,3,28,1,318,63,413,3,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,6,406,4,11,1,336,52,404,2,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,7,448,2,23,1,346,75,447,1,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
8,020/05/04,SEKOLAH MENENGAH KEBANGSAAN KEDAI BULOH,8,499,0,21,0,393,80,494,5,0,KEDAI BULOH ,UNDI BIASA,KEDAI BULOH 020/05/04
9,020/05/05,SEKOLAH KEBANGSAAN KEDAI BULOH 1,1,316,0,32,1,182,99,314,2,0,KIJANG ,UNDI BIASA,KIJANG 020/05/05
9,020/05/05,SEKOLAH KEBANGSAAN KEDAI BULOH 1,2,362,1,30,0,234,97,362,0,0,KIJANG ,UNDI BIASA,KIJANG 020/05/05
9,020/05/05,SEKOLAH KEBANGSAAN KEDAI BULOH 1,3,420,1,25,2,293,99,420,0,0,KIJANG ,UNDI BIASA,KIJANG 020/05/05
9,020/05/05,SEKOLAH KEBANGSAAN KEDAI BULOH 1,4,389,2,22,2,277,83,386,3,0,KIJANG ,UNDI BIASA,KIJANG 020/05/05
9,020/05/05,SEKOLAH KEBANGSAAN KEDAI BULOH 1,5,414,2,43,0,280,89,414,0,0,KIJANG ,UNDI BIASA,KIJANG 020/05/05
9,020/05/05,SEKOLAH KEBANGSAAN KEDAI BULOH 1,6,478,3,38,1,327,108,477,1,0,KIJANG ,UNDI BIASA,KIJANG 020/05/05
10,020/05/06,SEKOLAH KEBANGSAAN ABDUL HADI,1,302,2,25,1,219,54,301,1,0,BANGGOL ,UNDI BIASA,BANGGOL 020/05/06
10,020/05/06,SEKOLAH KEBANGSAAN ABDUL HADI,2,343,0,30,0,250,63,343,0,0,BANGGOL ,UNDI BIASA,BANGGOL 020/05/06
10,020/05/06,SEKOLAH KEBANGSAAN ABDUL HADI,3,468,0,44,1,344,76,465,3,0,BANGGOL ,UNDI BIASA,BANGGOL 020/05/06
10,020/05/06,SEKOLAH KEBANGSAAN ABDUL HADI,4,415,1,23,1,326,62,413,2,0,BANGGOL ,UNDI BIASA,BANGGOL 020/05/06
10,020/05/06,SEKOLAH KEBANGSAAN ABDUL HADI,5,390,1,32,1,300,52,386,4,0,BANGGOL ,UNDI BIASA,BANGGOL 020/05/06
10,020/05/06,SEKOLAH KEBANGSAAN ABDUL HADI,6,511,2,36,1,398,73,510,1,0,BANGGOL ,UNDI BIASA,BANGGOL 020/05/06
11,020/05/07,SEKOLAH KEBANGSAAN REDANG,1,335,0,33,4,206,91,334,1,0,TIKAT ,UNDI BIASA,TIKAT 020/05/07
11,020/05/07,SEKOLAH KEBANGSAAN REDANG,2,400,1,47,1,253,97,399,1,0,TIKAT ,UNDI BIASA,TIKAT 020/05/07
12,020/05/08,SEKOLAH MENENGAH KEBANGSAAN PENAMBANG,1,282,0,31,3,190,55,279,3,0,KAMPUNG PENAMBANG ,UNDI BIASA,KAMPUNG PENAMBANG 020/05/08
12,020/05/08,SEKOLAH MENENGAH KEBANGSAAN PENAMBANG,2,368,3,60,0,232,69,364,4,0,KAMPUNG PENAMBANG ,UNDI BIASA,KAMPUNG PENAMBANG 020/05/08
12,020/05/08,SEKOLAH MENENGAH KEBANGSAAN PENAMBANG,3,412,0,50,2,278,77,407,5,0,KAMPUNG PENAMBANG ,UNDI BIASA,KAMPUNG PENAMBANG 020/05/08
12,020/05/08,SEKOLAH MENENGAH KEBANGSAAN PENAMBANG,4,388,3,51,4,272,57,387,1,0,KAMPUNG PENAMBANG ,UNDI BIASA,KAMPUNG PENAMBANG 020/05/08
12,020/05/08,SEKOLAH MENENGAH KEBANGSAAN PENAMBANG,5,402,2,44,1,296,58,401,1,0,KAMPUNG PENAMBANG ,UNDI BIASA,KAMPUNG PENAMBANG 020/05/08
12,020/05/08,SEKOLAH MENENGAH KEBANGSAAN PENAMBANG,6,487,1,51,3,354,74,483,4,0,KAMPUNG PENAMBANG ,UNDI BIASA,KAMPUNG PENAMBANG 020/05/08
13,020/05/09,SEKOLAH KEBANGSAAN PENAMBANG,1,283,2,126,2,84,66,280,3,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 020/05/09
13,020/05/09,SEKOLAH KEBANGSAAN PENAMBANG,2,326,2,122,2,125,75,326,0,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 020/05/09
13,020/05/09,SEKOLAH KEBANGSAAN PENAMBANG,3,337,0,102,4,137,92,335,2,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 020/05/09
13,020/05/09,SEKOLAH KEBANGSAAN PENAMBANG,4,381,0,96,0,200,85,381,0,0,KAMPUNG CHINA ,UNDI BIASA,KAMPUNG CHINA 020/05/09
14,020/06/01,SEKOLAH KEBANGSAAN SABAK,1,311,3,34,2,172,84,295,16,0,SABAK ,UNDI BIASA,SABAK 020/06/01
14,020/06/01,SEKOLAH KEBANGSAAN SABAK,2,404,2,50,1,245,102,400,4,0,SABAK ,UNDI BIASA,SABAK 020/06/01
14,020/06/01,SEKOLAH KEBANGSAAN SABAK,3,359,0,54,1,213,88,356,3,0,SABAK ,UNDI BIASA,SABAK 020/06/01
14,020/06/01,SEKOLAH KEBANGSAAN SABAK,4,381,2,52,2,216,109,381,0,0,SABAK ,UNDI BIASA,SABAK 020/06/01
15,020/06/02,SEKOLAH KEBANGSAAN PARANG PUTING,1,326,3,26,2,215,77,323,3,0,TEBING TINGGI ,UNDI BIASA,TEBING TINGGI 020/06/02
15,020/06/02,SEKOLAH KEBANGSAAN PARANG PUTING,2,500,3,49,5,342,96,495,5,0,TEBING TINGGI ,UNDI BIASA,TEBING TINGGI 020/06/02
15,020/06/02,SEKOLAH KEBANGSAAN PARANG PUTING,3,529,8,48,9,359,102,526,3,0,TEBING TINGGI ,UNDI BIASA,TEBING TINGGI 020/06/02
16,020/06/03,SEKOLAH KEBANGSAAN PARANG PUTING,4,340,1,16,0,253,60,330,10,0,TELOK KITANG ,UNDI BIASA,TELOK KITANG 020/06/03
16,020/06/03,SEKOLAH KEBANGSAAN PARANG PUTING,5,347,2,24,0,259,57,342,5,0,TELOK KITANG ,UNDI BIASA,TELOK KITANG 020/06/03
16,020/06/03,SEKOLAH KEBANGSAAN PARANG PUTING,6,376,5,40,0,263,67,375,1,0,TELOK KITANG ,UNDI BIASA,TELOK KITANG 020/06/03
17,020/06/04,SEKOLAH KEBANGSAAN KEM,1,330,8,23,2,217,74,324,6,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,2,359,11,36,2,226,84,359,0,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,3,484,11,36,2,317,117,483,1,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,4,447,5,33,3,308,90,439,8,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,5,408,10,22,1,305,66,404,4,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,6,406,7,26,1,294,76,404,2,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,7,461,5,34,2,308,106,455,6,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
17,020/06/04,SEKOLAH KEBANGSAAN KEM,8,537,4,24,1,410,95,534,3,0,KAMPUNG PULAU PANJANG ,UNDI BIASA,KAMPUNG PULAU PANJANG 020/06/04
