Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ABE WAE - REDZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK JAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD NASRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MARZUK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. HAFIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
22,020/06/09,SEKOLAH KEBANGSAAN SERI CHEMPAKA,6,440,4,55,2,304,68,433,7,0,CHEMPAKA ,UNDI BIASA,CHEMPAKA 020/06/09
22,020/06/09,SEKOLAH KEBANGSAAN SERI CHEMPAKA,7,479,5,60,4,339,69,477,2,0,CHEMPAKA ,UNDI BIASA,CHEMPAKA 020/06/09
22,020/06/09,SEKOLAH KEBANGSAAN SERI CHEMPAKA,8,544,2,77,3,363,97,542,2,0,CHEMPAKA ,UNDI BIASA,CHEMPAKA 020/06/09
22,020/06/09,SEKOLAH KEBANGSAAN SERI CHEMPAKA,9,583,2,54,1,435,90,582,1,0,CHEMPAKA ,UNDI BIASA,CHEMPAKA 020/06/09
23,020/06/10,KOLEJ VOKASIONAL PENGKALAN CHEPA,1,307,5,46,4,181,69,305,2,0,SIMPANG TIGA PENGKALAN CHEPA ,UNDI BIASA,SIMPANG TIGA PENGKALAN CHEPA 020/06/10
23,020/06/10,KOLEJ VOKASIONAL PENGKALAN CHEPA,2,361,2,45,5,243,63,358,3,0,SIMPANG TIGA PENGKALAN CHEPA ,UNDI BIASA,SIMPANG TIGA PENGKALAN CHEPA 020/06/10
23,020/06/10,KOLEJ VOKASIONAL PENGKALAN CHEPA,3,352,2,49,1,257,43,352,0,0,SIMPANG TIGA PENGKALAN CHEPA ,UNDI BIASA,SIMPANG TIGA PENGKALAN CHEPA 020/06/10
23,020/06/10,KOLEJ VOKASIONAL PENGKALAN CHEPA,4,368,3,60,3,248,54,368,0,0,SIMPANG TIGA PENGKALAN CHEPA ,UNDI BIASA,SIMPANG TIGA PENGKALAN CHEPA 020/06/10
23,020/06/10,KOLEJ VOKASIONAL PENGKALAN CHEPA,5,445,4,81,0,299,57,441,4,0,SIMPANG TIGA PENGKALAN CHEPA ,UNDI BIASA,SIMPANG TIGA PENGKALAN CHEPA 020/06/10
24,020/06/11,SEKOLAH KEBANGSAAN PULAU GAJAH,1,354,1,28,0,240,82,351,3,0,PULAU GAJAH ,UNDI BIASA,PULAU GAJAH 020/06/11
24,020/06/11,SEKOLAH KEBANGSAAN PULAU GAJAH,2,424,0,36,1,308,73,418,5,1,PULAU GAJAH ,UNDI BIASA,PULAU GAJAH 020/06/11
24,020/06/11,SEKOLAH KEBANGSAAN PULAU GAJAH,3,385,2,17,0,312,53,384,1,0,PULAU GAJAH ,UNDI BIASA,PULAU GAJAH 020/06/11
24,020/06/11,SEKOLAH KEBANGSAAN PULAU GAJAH,4,455,1,29,1,341,79,451,4,0,PULAU GAJAH ,UNDI BIASA,PULAU GAJAH 020/06/11
25,020/07/01,SEKOLAH KEBANGSAAN DATU' HASHIM,1,301,1,41,1,174,80,297,4,0,TAMAN KEMUMIN ,UNDI BIASA,TAMAN KEMUMIN 020/07/01
25,020/07/01,SEKOLAH KEBANGSAAN DATU' HASHIM,2,310,2,37,4,192,73,308,2,0,TAMAN KEMUMIN ,UNDI BIASA,TAMAN KEMUMIN 020/07/01
25,020/07/01,SEKOLAH KEBANGSAAN DATU' HASHIM,3,453,3,41,2,327,80,453,0,0,TAMAN KEMUMIN ,UNDI BIASA,TAMAN KEMUMIN 020/07/01
25,020/07/01,SEKOLAH KEBANGSAAN DATU' HASHIM,4,465,1,58,2,338,63,462,3,0,TAMAN KEMUMIN ,UNDI BIASA,TAMAN KEMUMIN 020/07/01
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,1,317,2,32,0,221,60,315,2,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,2,356,0,47,1,248,58,354,2,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,3,461,2,58,8,323,68,459,2,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,4,440,3,56,2,307,72,440,0,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,5,443,2,62,0,319,59,442,1,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,6,510,0,109,5,324,72,510,0,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
26,020/07/02,SEKOLAH KEBANGSAAN TAPANG,7,556,1,95,1,380,78,555,1,0,TAPANG ,UNDI BIASA,TAPANG 020/07/02
27,020/07/03,SEKOLAH KEBANGSAAN KEMUMIN,1,319,2,22,0,210,81,315,4,0,KEMUMIN ,UNDI BIASA,KEMUMIN 020/07/03
27,020/07/03,SEKOLAH KEBANGSAAN KEMUMIN,2,553,3,49,3,390,104,549,4,0,KEMUMIN ,UNDI BIASA,KEMUMIN 020/07/03
27,020/07/03,SEKOLAH KEBANGSAAN KEMUMIN,3,471,2,45,4,357,59,467,4,0,KEMUMIN ,UNDI BIASA,KEMUMIN 020/07/03
27,020/07/03,SEKOLAH KEBANGSAAN KEMUMIN,4,430,1,50,2,316,57,426,4,0,KEMUMIN ,UNDI BIASA,KEMUMIN 020/07/03
27,020/07/03,SEKOLAH KEBANGSAAN KEMUMIN,5,510,5,77,2,354,70,508,2,0,KEMUMIN ,UNDI BIASA,KEMUMIN 020/07/03
27,020/07/03,SEKOLAH KEBANGSAAN KEMUMIN,6,590,1,64,5,438,81,589,1,0,KEMUMIN ,UNDI BIASA,KEMUMIN 020/07/03
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,1,315,1,32,3,220,55,311,4,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,2,358,2,39,1,252,62,356,2,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,3,500,2,48,0,368,81,499,1,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,4,428,2,40,2,326,55,425,3,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,5,418,6,43,2,301,56,408,10,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,6,438,3,58,3,313,59,436,2,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
28,020/07/04,SEKOLAH KEBANGSAAN PANJI,7,522,2,57,2,392,69,522,0,0,PANCHOR ,UNDI BIASA,PANCHOR 020/07/04
