P.006_N.05_006/05/03_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/03,TEMIN ,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",4,461
P.006_N.05_006/05/04_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN ,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",1,351
P.006_N.05_006/05/04_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN ,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",2,399
P.006_N.05_006/05/04_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN ,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",3,399
P.006_N.05_006/05/04_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/04,FELDA LAKA SELATAN ,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",4,417
P.006_N.05_006/05/05_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/05,FELDA BATU LAPAN ,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",1,344
P.006_N.05_006/05/05_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/05,FELDA BATU LAPAN ,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",2,551
P.006_N.05_006/05/05_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/05,FELDA BATU LAPAN ,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",3,583
P.006_N.05_006/05/06_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",1,288
P.006_N.05_006/05/06_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",2,360
P.006_N.05_006/05/06_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",3,509
P.006_N.05_006/05/06_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",4,474
P.006_N.05_006/05/06_5,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",5,455
P.006_N.05_006/05/06_6,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/06,PEKAN BARU CHANGLUN ,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",6,421
