Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' DR. IBRAHIM ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF UST ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
29,023/16/01,SEKOLAH KEBANGSAAN LATI,1,286,0,208,0,64,13,285,1,0,LUBOK TAPAH ,UNDI BIASA,LUBOK TAPAH 023/16/01
29,023/16/01,SEKOLAH KEBANGSAAN LATI,2,372,4,312,0,42,13,371,1,0,LUBOK TAPAH ,UNDI BIASA,LUBOK TAPAH 023/16/01
29,023/16/01,SEKOLAH KEBANGSAAN LATI,3,349,1,275,1,47,23,347,2,0,LUBOK TAPAH ,UNDI BIASA,LUBOK TAPAH 023/16/01
29,023/16/01,SEKOLAH KEBANGSAAN LATI,4,426,2,336,0,61,27,426,0,0,LUBOK TAPAH ,UNDI BIASA,LUBOK TAPAH 023/16/01
30,023/16/02,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,1,306,6,141,1,131,20,299,7,0,NIBONG ,UNDI BIASA,NIBONG 023/16/02
30,023/16/02,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,2,360,7,188,0,127,30,352,8,0,NIBONG ,UNDI BIASA,NIBONG 023/16/02
30,023/16/02,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,3,304,6,161,1,109,24,301,3,0,NIBONG ,UNDI BIASA,NIBONG 023/16/02
30,023/16/02,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,4,359,4,198,1,117,35,355,4,0,NIBONG ,UNDI BIASA,NIBONG 023/16/02
31,023/16/03,SEKOLAH KEBANGSAAN TO' UBAN,1,305,15,167,0,100,16,298,7,0,PENGKALAN MACHANG ,UNDI BIASA,PENGKALAN MACHANG 023/16/03
32,023/16/04,SEKOLAH KEBANGSAAN BUKIT JARUM,1,352,16,152,0,160,17,345,7,0,KAMPUNG BUJOK ,UNDI BIASA,KAMPUNG BUJOK 023/16/04
32,023/16/04,SEKOLAH KEBANGSAAN BUKIT JARUM,2,465,27,252,1,154,22,456,9,0,KAMPUNG BUJOK ,UNDI BIASA,KAMPUNG BUJOK 023/16/04
32,023/16/04,SEKOLAH KEBANGSAAN BUKIT JARUM,3,472,19,282,0,145,23,469,3,0,KAMPUNG BUJOK ,UNDI BIASA,KAMPUNG BUJOK 023/16/04
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,1,264,6,136,6,94,18,260,4,0,REPEK ,UNDI BIASA,REPEK 023/16/05
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,2,306,3,175,0,98,28,304,2,0,REPEK ,UNDI BIASA,REPEK 023/16/05
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,3,502,7,281,0,159,49,496,6,0,REPEK ,UNDI BIASA,REPEK 023/16/05
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,4,421,5,246,2,129,36,418,3,0,REPEK ,UNDI BIASA,REPEK 023/16/05
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,5,434,10,277,1,118,25,431,3,0,REPEK ,UNDI BIASA,REPEK 023/16/05
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,6,450,2,273,1,133,40,449,1,0,REPEK ,UNDI BIASA,REPEK 023/16/05
33,023/16/05,SEKOLAH KEBANGSAAN SRI KIAMBANG,7,511,3,312,1,146,47,509,2,0,REPEK ,UNDI BIASA,REPEK 023/16/05
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,1,284,3,209,3,54,12,281,3,0,LATI ,UNDI BIASA,LATI 023/16/06
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,2,337,3,229,7,76,19,334,3,0,LATI ,UNDI BIASA,LATI 023/16/06
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,3,450,5,323,3,80,31,442,8,0,LATI ,UNDI BIASA,LATI 023/16/06
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,4,388,3,267,7,82,26,385,3,0,LATI ,UNDI BIASA,LATI 023/16/06
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,5,389,4,299,0,56,30,389,0,0,LATI ,UNDI BIASA,LATI 023/16/06
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,6,411,6,299,2,58,41,406,5,0,LATI ,UNDI BIASA,LATI 023/16/06
34,023/16/06,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,7,498,5,371,3,73,41,493,5,0,LATI ,UNDI BIASA,LATI 023/16/06
35,023/16/07,SEKOLAH KEBANGSAAN CHICHA TINGGI,1,292,4,166,1,109,10,290,2,0,CHICHA TINGGI ,UNDI BIASA,CHICHA TINGGI 023/16/07
35,023/16/07,SEKOLAH KEBANGSAAN CHICHA TINGGI,2,329,6,171,1,123,24,325,4,0,CHICHA TINGGI ,UNDI BIASA,CHICHA TINGGI 023/16/07
35,023/16/07,SEKOLAH KEBANGSAAN CHICHA TINGGI,3,455,2,268,3,151,29,453,2,0,CHICHA TINGGI ,UNDI BIASA,CHICHA TINGGI 023/16/07
35,023/16/07,SEKOLAH KEBANGSAAN CHICHA TINGGI,4,387,0,238,0,122,23,383,4,0,CHICHA TINGGI ,UNDI BIASA,CHICHA TINGGI 023/16/07
35,023/16/07,SEKOLAH KEBANGSAAN CHICHA TINGGI,5,480,1,291,1,152,29,474,5,1,CHICHA TINGGI ,UNDI BIASA,CHICHA TINGGI 023/16/07
36,023/16/08,SEKOLAH KEBANGSAAN KAMPONG BARU,1,310,5,154,1,126,19,305,5,0,CHERANG HANGUS ,UNDI BIASA,CHERANG HANGUS 023/16/08
36,023/16/08,SEKOLAH KEBANGSAAN KAMPONG BARU,2,330,2,207,0,107,13,329,1,0,CHERANG HANGUS ,UNDI BIASA,CHERANG HANGUS 023/16/08
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,1,255,4,128,2,103,13,250,5,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,2,324,7,174,2,117,19,319,5,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,3,436,7,247,3,155,20,432,4,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,4,383,7,223,0,121,28,379,4,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,5,379,11,244,2,93,28,378,1,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,6,354,10,227,4,86,27,354,0,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,7,444,11,285,0,108,38,442,2,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
37,023/16/09,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,8,494,5,330,1,123,34,493,1,0,TAMAN ,UNDI BIASA,TAMAN 023/16/09
38,023/16/10,SMU (A) DARUL SAADAH BATU KARANG,1,326,1,179,1,127,15,323,3,0,BATU KARANG ,UNDI BIASA,BATU KARANG 023/16/10
38,023/16/10,SMU (A) DARUL SAADAH BATU KARANG,2,339,1,203,1,124,6,335,4,0,BATU KARANG ,UNDI BIASA,BATU KARANG 023/16/10
38,023/16/10,SMU (A) DARUL SAADAH BATU KARANG,3,346,4,209,0,117,16,346,0,0,BATU KARANG ,UNDI BIASA,BATU KARANG 023/16/10
39,023/16/11,SEKOLAH KEBANGSAAN BUKIT PERAH,1,287,16,102,3,145,14,280,7,0,BUKIT TUKU ,UNDI BIASA,BUKIT TUKU 023/16/11
39,023/16/11,SEKOLAH KEBANGSAAN BUKIT PERAH,2,447,27,223,5,164,21,440,7,0,BUKIT TUKU ,UNDI BIASA,BUKIT TUKU 023/16/11
39,023/16/11,SEKOLAH KEBANGSAAN BUKIT PERAH,3,459,23,248,3,163,22,459,0,0,BUKIT TUKU ,UNDI BIASA,BUKIT TUKU 023/16/11
40,023/16/12,SEKOLAH KEBANGSAAN BAROH PIAL,1,352,6,163,3,166,10,348,4,0,BAROH PIAL ,UNDI BIASA,BAROH PIAL 023/16/12
40,023/16/12,SEKOLAH KEBANGSAAN BAROH PIAL,2,324,2,176,0,135,10,323,1,0,BAROH PIAL ,UNDI BIASA,BAROH PIAL 023/16/12
40,023/16/12,SEKOLAH KEBANGSAAN BAROH PIAL,3,322,4,156,2,156,3,321,1,0,BAROH PIAL ,UNDI BIASA,BAROH PIAL 023/16/12
41,023/16/13,SMU (A) AL-BALAGHUL MUBIN RONG CHENOK,1,127,1,72,0,50,3,126,1,0,CHANDAN ,UNDI BIASA,CHANDAN 023/16/13
,,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,170,61406,1216,37759,173,17123,4256,60527,668,211,END,END,END
