Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' DR. IBRAHIM ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF UST ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
6,023/14/03,SEKOLAH KEBANGSAAN KELAR,2,339,8,202,0,76,49,335,4,0,KELAR ,UNDI BIASA,KELAR 023/14/03
6,023/14/03,SEKOLAH KEBANGSAAN KELAR,3,407,13,249,0,82,58,402,5,0,KELAR ,UNDI BIASA,KELAR 023/14/03
6,023/14/03,SEKOLAH KEBANGSAAN KELAR,4,399,11,271,0,72,41,395,4,0,KELAR ,UNDI BIASA,KELAR 023/14/03
6,023/14/03,SEKOLAH KEBANGSAAN KELAR,5,492,6,332,0,100,53,491,1,0,KELAR ,UNDI BIASA,KELAR 023/14/03
7,023/14/04,SEKOLAH KEBANGSAAN KANGKONG,1,323,15,185,0,98,21,319,4,0,KANGKONG ,UNDI BIASA,KANGKONG 023/14/04
7,023/14/04,SEKOLAH KEBANGSAAN KANGKONG,2,380,6,260,2,72,40,380,0,0,KANGKONG ,UNDI BIASA,KANGKONG 023/14/04
7,023/14/04,SEKOLAH KEBANGSAAN KANGKONG,3,453,13,323,0,78,36,450,3,0,KANGKONG ,UNDI BIASA,KANGKONG 023/14/04
8,023/14/05,SEKOLAH  MENENGAH KEBANGSAAN KANGKONG,1,319,4,217,1,85,12,319,0,0,BINJAL ,UNDI BIASA,BINJAL 023/14/05
8,023/14/05,SEKOLAH  MENENGAH KEBANGSAAN KANGKONG,2,363,0,279,1,63,16,359,4,0,BINJAL ,UNDI BIASA,BINJAL 023/14/05
9,023/14/06,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,1,312,4,173,5,102,24,308,4,0,CHETOK ,UNDI BIASA,CHETOK 023/14/06
9,023/14/06,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,2,416,4,229,1,116,63,413,3,0,CHETOK ,UNDI BIASA,CHETOK 023/14/06
9,023/14/06,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,3,356,1,239,4,72,39,355,1,0,CHETOK ,UNDI BIASA,CHETOK 023/14/06
9,023/14/06,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,4,438,2,270,3,114,48,437,1,0,CHETOK ,UNDI BIASA,CHETOK 023/14/06
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,1,277,7,183,2,75,4,271,6,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,2,339,8,214,4,86,21,333,6,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,3,324,5,217,1,83,17,323,1,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,4,434,12,300,0,92,25,429,5,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,5,388,7,283,1,66,29,386,2,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,6,356,7,260,0,75,13,355,1,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,7,384,5,282,0,67,25,379,5,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,8,412,7,319,0,64,21,411,1,0,GELAM ,UNDI BIASA,GELAM 023/14/07
10,023/14/07,SEKOLAH KEBANGSAAN KUBANG CHENOK,9,474,10,342,0,91,27,470,4,0,GELAM ,UNDI BIASA,GELAM 023/14/07
11,023/14/08,SMU (A) TARBIAH DINIAH TOK UBAN,1,321,11,196,1,89,17,314,7,0,RASAL ,UNDI BIASA,RASAL 023/14/08
11,023/14/08,SMU (A) TARBIAH DINIAH TOK UBAN,2,342,6,233,0,81,17,337,5,0,RASAL ,UNDI BIASA,RASAL 023/14/08
12,023/14/09,SEKOLAH KEBANGSAAN CHETOK,1,325,6,227,1,76,11,321,4,0,GALOK ,UNDI BIASA,GALOK 023/14/09
12,023/14/09,SEKOLAH KEBANGSAAN CHETOK,2,347,11,232,0,69,33,345,2,0,GALOK ,UNDI BIASA,GALOK 023/14/09
12,023/14/09,SEKOLAH KEBANGSAAN CHETOK,3,478,8,360,0,58,46,472,6,0,GALOK ,UNDI BIASA,GALOK 023/14/09
12,023/14/09,SEKOLAH KEBANGSAAN CHETOK,4,443,7,339,0,58,35,439,4,0,GALOK ,UNDI BIASA,GALOK 023/14/09
12,023/14/09,SEKOLAH KEBANGSAAN CHETOK,5,503,16,360,2,87,35,500,3,0,GALOK ,UNDI BIASA,GALOK 023/14/09
13,023/14/10,SEKOLAH KEBANGSAAN BENDANG PAUH,1,327,11,206,1,83,24,325,2,0,BENDANG PAUH ,UNDI BIASA,BENDANG PAUH 023/14/10
13,023/14/10,SEKOLAH KEBANGSAAN BENDANG PAUH,2,382,9,254,0,89,26,378,4,0,BENDANG PAUH ,UNDI BIASA,BENDANG PAUH 023/14/10
14,023/14/11,SMU (A) MARDZIAH JABO CHETOK,1,222,2,130,1,58,26,217,5,0,JABO ,UNDI BIASA,JABO 023/14/11
14,023/14/11,SMU (A) MARDZIAH JABO CHETOK,2,318,6,220,1,58,30,315,3,0,JABO ,UNDI BIASA,JABO 023/14/11
14,023/14/11,SMU (A) MARDZIAH JABO CHETOK,3,327,4,220,0,62,40,326,1,0,JABO ,UNDI BIASA,JABO 023/14/11
15,023/14/12,SEKOLAH KEBANGSAAN BECHAH KELUBI,1,336,2,189,2,129,8,330,6,0,BECHAH KELUBI ,UNDI BIASA,BECHAH KELUBI 023/14/12
15,023/14/12,SEKOLAH KEBANGSAAN BECHAH KELUBI,2,347,2,211,0,120,14,347,0,0,BECHAH KELUBI ,UNDI BIASA,BECHAH KELUBI 023/14/12
15,023/14/12,SEKOLAH KEBANGSAAN BECHAH KELUBI,3,400,4,269,0,107,16,396,4,0,BECHAH KELUBI ,UNDI BIASA,BECHAH KELUBI 023/14/12
15,023/14/12,SEKOLAH KEBANGSAAN BECHAH KELUBI,4,371,1,241,0,106,18,366,5,0,BECHAH KELUBI ,UNDI BIASA,BECHAH KELUBI 023/14/12
15,023/14/12,SEKOLAH KEBANGSAAN BECHAH KELUBI,5,353,2,217,0,114,19,352,1,0,BECHAH KELUBI ,UNDI BIASA,BECHAH KELUBI 023/14/12
15,023/14/12,SEKOLAH KEBANGSAAN BECHAH KELUBI,6,423,5,275,1,118,23,422,1,0,BECHAH KELUBI ,UNDI BIASA,BECHAH KELUBI 023/14/12
