Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SYAHIR SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NOR AZMIZA MAMAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI ZU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ZAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
15,025/20/11,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,2,544,326,39,2,0,174,541,3,0,BERIS ,UNDI BIASA,BERIS 025/20/11
15,025/20/11,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,3,479,325,22,3,2,124,476,3,0,BERIS ,UNDI BIASA,BERIS 025/20/11
15,025/20/11,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,4,469,305,17,0,3,137,462,7,0,BERIS ,UNDI BIASA,BERIS 025/20/11
15,025/20/11,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,5,592,395,34,3,0,160,592,0,0,BERIS ,UNDI BIASA,BERIS 025/20/11
16,025/20/12,SEKOLAH KEBANGSAAN PA' PURA,1,372,259,13,2,1,93,368,4,0,TANJONG PAUH ,UNDI BIASA,TANJONG PAUH 025/20/12
16,025/20/12,SEKOLAH KEBANGSAAN PA' PURA,2,565,424,20,6,0,111,561,4,0,TANJONG PAUH ,UNDI BIASA,TANJONG PAUH 025/20/12
16,025/20/12,SEKOLAH KEBANGSAAN PA' PURA,3,475,362,5,7,0,95,469,6,0,TANJONG PAUH ,UNDI BIASA,TANJONG PAUH 025/20/12
16,025/20/12,SEKOLAH KEBANGSAAN PA' PURA,4,469,353,21,0,1,90,465,4,0,TANJONG PAUH ,UNDI BIASA,TANJONG PAUH 025/20/12
16,025/20/12,SEKOLAH KEBANGSAAN PA' PURA,5,587,419,17,5,0,144,585,2,0,TANJONG PAUH ,UNDI BIASA,TANJONG PAUH 025/20/12
17,025/20/13,SEKOLAH KEBANGSAAN KAMPONG CHAP,1,341,183,13,2,1,137,336,5,0,CHAP ,UNDI BIASA,CHAP 025/20/13
17,025/20/13,SEKOLAH KEBANGSAAN KAMPONG CHAP,2,535,340,21,8,0,159,528,0,7,CHAP ,UNDI BIASA,CHAP 025/20/13
17,025/20/13,SEKOLAH KEBANGSAAN KAMPONG CHAP,3,481,323,14,1,2,132,472,9,0,CHAP ,UNDI BIASA,CHAP 025/20/13
17,025/20/13,SEKOLAH KEBANGSAAN KAMPONG CHAP,4,553,368,19,3,0,160,550,3,0,CHAP ,UNDI BIASA,CHAP 025/20/13
18,025/20/14,SEKOLAH KEBANGSAAN BUKIT MARAK,1,334,194,18,1,1,118,332,2,0,BUKIT MARAK ,UNDI BIASA,BUKIT MARAK 025/20/14
18,025/20/14,SEKOLAH KEBANGSAAN BUKIT MARAK,2,432,279,20,2,0,128,429,3,0,BUKIT MARAK ,UNDI BIASA,BUKIT MARAK 025/20/14
18,025/20/14,SEKOLAH KEBANGSAAN BUKIT MARAK,3,373,266,23,3,0,80,372,1,0,BUKIT MARAK ,UNDI BIASA,BUKIT MARAK 025/20/14
18,025/20/14,SEKOLAH KEBANGSAAN BUKIT MARAK,4,385,274,25,2,0,82,383,2,0,BUKIT MARAK ,UNDI BIASA,BUKIT MARAK 025/20/14
18,025/20/14,SEKOLAH KEBANGSAAN BUKIT MARAK,5,461,317,33,1,0,103,454,7,0,BUKIT MARAK ,UNDI BIASA,BUKIT MARAK 025/20/14
19,025/20/15,SEKOLAH KEBANGSAAN CHANTUM,1,370,215,6,0,0,146,367,3,0,PAYA TERATAI ,UNDI BIASA,PAYA TERATAI 025/20/15
19,025/20/15,SEKOLAH KEBANGSAAN CHANTUM,2,490,330,21,1,0,134,486,4,0,PAYA TERATAI ,UNDI BIASA,PAYA TERATAI 025/20/15
19,025/20/15,SEKOLAH KEBANGSAAN CHANTUM,3,521,343,16,1,2,154,516,5,0,PAYA TERATAI ,UNDI BIASA,PAYA TERATAI 025/20/15
20,025/20/16,SEKOLAH KEBANGSAAN BEKELAM,1,302,130,14,3,0,149,296,6,0,BEKELAM ,UNDI BIASA,BEKELAM 025/20/16
20,025/20/16,SEKOLAH KEBANGSAAN BEKELAM,2,355,197,23,1,0,128,349,6,0,BEKELAM ,UNDI BIASA,BEKELAM 025/20/16
20,025/20/16,SEKOLAH KEBANGSAAN BEKELAM,3,406,242,30,1,0,128,401,5,0,BEKELAM ,UNDI BIASA,BEKELAM 025/20/16
20,025/20/16,SEKOLAH KEBANGSAAN BEKELAM,4,371,245,14,0,2,109,370,1,0,BEKELAM ,UNDI BIASA,BEKELAM 025/20/16
20,025/20/16,SEKOLAH KEBANGSAAN BEKELAM,5,422,239,24,2,0,153,418,4,0,BEKELAM ,UNDI BIASA,BEKELAM 025/20/16
21,025/21/01,SEKOLAH KEBANGSAAN KUBANG GOLOK,1,315,168,34,1,0,107,310,5,0,KUBANG GOLOK ,UNDI BIASA,KUBANG GOLOK 025/21/01
21,025/21/01,SEKOLAH KEBANGSAAN KUBANG GOLOK,2,313,168,31,1,1,108,309,4,0,KUBANG GOLOK ,UNDI BIASA,KUBANG GOLOK 025/21/01
21,025/21/01,SEKOLAH KEBANGSAAN KUBANG GOLOK,3,593,346,71,3,3,162,585,8,0,KUBANG GOLOK ,UNDI BIASA,KUBANG GOLOK 025/21/01
21,025/21/01,SEKOLAH KEBANGSAAN KUBANG GOLOK,4,503,311,43,0,1,141,496,7,0,KUBANG GOLOK ,UNDI BIASA,KUBANG GOLOK 025/21/01
21,025/21/01,SEKOLAH KEBANGSAAN KUBANG GOLOK,5,529,347,55,0,0,123,525,4,0,KUBANG GOLOK ,UNDI BIASA,KUBANG GOLOK 025/21/01
21,025/21/01,SEKOLAH KEBANGSAAN KUBANG GOLOK,6,581,363,64,1,0,148,576,5,0,KUBANG GOLOK ,UNDI BIASA,KUBANG GOLOK 025/21/01
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,1,329,195,12,3,0,118,328,1,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,2,316,174,18,0,0,123,315,1,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,3,568,348,37,2,2,175,564,4,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,4,517,340,26,2,1,142,511,6,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,5,490,345,22,2,1,103,473,17,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,6,507,355,23,2,0,115,495,12,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
22,025/21/02,SEKOLAH KEBANGSAAN PERUPOK,7,585,393,24,1,1,162,581,4,0,PERUPOK ,UNDI BIASA,PERUPOK 025/21/02
23,025/21/03,SEKOLAH MENENGAH KEBANGSAAN BACHOK,1,339,195,20,0,2,114,331,8,0,KAMPUNG SUNGAI ,UNDI BIASA,KAMPUNG SUNGAI 025/21/03
23,025/21/03,SEKOLAH MENENGAH KEBANGSAAN BACHOK,2,399,252,14,0,1,127,394,5,0,KAMPUNG SUNGAI ,UNDI BIASA,KAMPUNG SUNGAI 025/21/03
23,025/21/03,SEKOLAH MENENGAH KEBANGSAAN BACHOK,3,363,268,13,0,0,79,360,3,0,KAMPUNG SUNGAI ,UNDI BIASA,KAMPUNG SUNGAI 025/21/03
23,025/21/03,SEKOLAH MENENGAH KEBANGSAAN BACHOK,4,412,284,13,0,0,112,409,3,0,KAMPUNG SUNGAI ,UNDI BIASA,KAMPUNG SUNGAI 025/21/03
24,025/21/04,SEKOLAH KEBANGSAAN BACHOK,1,306,180,17,0,0,106,303,2,1,PANTAI DAMAT ,UNDI BIASA,PANTAI DAMAT 025/21/04
24,025/21/04,SEKOLAH KEBANGSAAN BACHOK,2,425,276,20,0,0,124,420,5,0,PANTAI DAMAT ,UNDI BIASA,PANTAI DAMAT 025/21/04
24,025/21/04,SEKOLAH KEBANGSAAN BACHOK,3,355,251,16,0,1,81,349,6,0,PANTAI DAMAT ,UNDI BIASA,PANTAI DAMAT 025/21/04
24,025/21/04,SEKOLAH KEBANGSAAN BACHOK,4,415,303,13,1,0,97,414,1,0,PANTAI DAMAT ,UNDI BIASA,PANTAI DAMAT 025/21/04
25,025/21/05,SEKOLAH KEBANGSAAN SERI KEMUDI,1,333,218,14,0,0,85,317,16,0,KAMPUNG KEMUDI ,UNDI BIASA,KAMPUNG KEMUDI 025/21/05
25,025/21/05,SEKOLAH KEBANGSAAN SERI KEMUDI,2,516,360,21,0,7,126,514,2,0,KAMPUNG KEMUDI ,UNDI BIASA,KAMPUNG KEMUDI 025/21/05
25,025/21/05,SEKOLAH KEBANGSAAN SERI KEMUDI,3,456,334,21,0,2,97,454,2,0,KAMPUNG KEMUDI ,UNDI BIASA,KAMPUNG KEMUDI 025/21/05
25,025/21/05,SEKOLAH KEBANGSAAN SERI KEMUDI,4,532,370,39,2,0,120,531,1,0,KAMPUNG KEMUDI ,UNDI BIASA,KAMPUNG KEMUDI 025/21/05
26,025/21/06,SEKOLAH MENENGAH KEBANGSAAN SRI NIPAH,1,328,204,12,0,13,97,326,2,0,KAMPUNG NIPAH ,UNDI BIASA,KAMPUNG NIPAH 025/21/06
26,025/21/06,SEKOLAH MENENGAH KEBANGSAAN SRI NIPAH,2,517,327,22,0,17,141,507,10,0,KAMPUNG NIPAH ,UNDI BIASA,KAMPUNG NIPAH 025/21/06
26,025/21/06,SEKOLAH MENENGAH KEBANGSAAN SRI NIPAH,3,429,306,13,0,6,98,423,6,0,KAMPUNG NIPAH ,UNDI BIASA,KAMPUNG NIPAH 025/21/06
26,025/21/06,SEKOLAH MENENGAH KEBANGSAAN SRI NIPAH,4,537,381,39,0,9,107,536,1,0,KAMPUNG NIPAH ,UNDI BIASA,KAMPUNG NIPAH 025/21/06
27,025/21/07,DEWAN MAJLIS DAERAH BACHOK,1,306,168,25,0,9,100,302,4,0,PANTAI IRAMA ,UNDI BIASA,PANTAI IRAMA 025/21/07
27,025/21/07,DEWAN MAJLIS DAERAH BACHOK,2,302,187,22,1,14,76,300,2,0,PANTAI IRAMA ,UNDI BIASA,PANTAI IRAMA 025/21/07
27,025/21/07,DEWAN MAJLIS DAERAH BACHOK,3,321,222,22,0,10,67,321,0,0,PANTAI IRAMA ,UNDI BIASA,PANTAI IRAMA 025/21/07
28,025/21/08,SEKOLAH MENENGAH KEBANGSAAN BADAK,1,336,161,11,0,1,156,329,7,0,PADANG CHINA ,UNDI BIASA,PADANG CHINA 025/21/08
28,025/21/08,SEKOLAH MENENGAH KEBANGSAAN BADAK,2,390,192,12,0,0,181,385,5,0,PADANG CHINA ,UNDI BIASA,PADANG CHINA 025/21/08
28,025/21/08,SEKOLAH MENENGAH KEBANGSAAN BADAK,3,341,214,10,0,0,115,339,2,0,PADANG CHINA ,UNDI BIASA,PADANG CHINA 025/21/08
28,025/21/08,SEKOLAH MENENGAH KEBANGSAAN BADAK,4,391,210,23,1,3,153,390,1,0,PADANG CHINA ,UNDI BIASA,PADANG CHINA 025/21/08
29,025/21/09,SEKOLAH KEBANGSAAN BADAK,1,379,257,10,0,1,106,374,5,0,KUAU ,UNDI BIASA,KUAU 025/21/09
29,025/21/09,SEKOLAH KEBANGSAAN BADAK,2,319,200,9,0,0,108,317,2,0,KUAU ,UNDI BIASA,KUAU 025/21/09
29,025/21/09,SEKOLAH KEBANGSAAN BADAK,3,332,238,11,1,1,81,332,0,0,KUAU ,UNDI BIASA,KUAU 025/21/09
30,025/21/10,SEKOLAH MENENGAH KEBANGSAAN BADAK,5,354,157,15,0,1,175,348,6,0,BADAK ,UNDI BIASA,BADAK 025/21/10
30,025/21/10,SEKOLAH MENENGAH KEBANGSAAN BADAK,6,492,248,29,1,1,209,488,4,0,BADAK ,UNDI BIASA,BADAK 025/21/10
30,025/21/10,SEKOLAH MENENGAH KEBANGSAAN BADAK,7,452,250,19,1,2,178,450,2,0,BADAK ,UNDI BIASA,BADAK 025/21/10
30,025/21/10,SEKOLAH MENENGAH KEBANGSAAN BADAK,8,515,294,34,0,1,185,514,1,0,BADAK ,UNDI BIASA,BADAK 025/21/10
31,025/21/11,SEKOLAH KEBANGSAAN TANGOK,1,352,201,11,1,1,133,347,5,0,MELAWI ,UNDI BIASA,MELAWI 025/21/11
31,025/21/11,SEKOLAH KEBANGSAAN TANGOK,2,449,254,17,1,1,172,445,4,0,MELAWI ,UNDI BIASA,MELAWI 025/21/11
31,025/21/11,SEKOLAH KEBANGSAAN TANGOK,3,408,249,17,3,1,136,406,2,0,MELAWI ,UNDI BIASA,MELAWI 025/21/11
31,025/21/11,SEKOLAH KEBANGSAAN TANGOK,4,457,269,21,3,0,164,457,0,0,MELAWI ,UNDI BIASA,MELAWI 025/21/11
32,025/21/12,SEKOLAH KEBANGSAAN SUNGAI DUA,1,371,274,11,2,3,76,366,5,0,KAMPUNG SUNGAI DUA ,UNDI BIASA,KAMPUNG SUNGAI DUA 025/21/12
32,025/21/12,SEKOLAH KEBANGSAAN SUNGAI DUA,2,380,280,9,2,5,82,378,2,0,KAMPUNG SUNGAI DUA ,UNDI BIASA,KAMPUNG SUNGAI DUA 025/21/12
32,025/21/12,SEKOLAH KEBANGSAAN SUNGAI DUA,3,421,321,13,3,4,79,420,1,0,KAMPUNG SUNGAI DUA ,UNDI BIASA,KAMPUNG SUNGAI DUA 025/21/12
33,025/21/13,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,1,343,151,18,1,0,166,336,7,0,TANGOK ,UNDI BIASA,TANGOK 025/21/13
33,025/21/13,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,2,433,249,17,0,0,163,429,4,0,TANGOK ,UNDI BIASA,TANGOK 025/21/13
33,025/21/13,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,3,360,211,10,1,0,133,355,5,0,TANGOK ,UNDI BIASA,TANGOK 025/21/13
33,025/21/13,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,4,346,204,19,2,0,119,344,2,0,TANGOK ,UNDI BIASA,TANGOK 025/21/13
33,025/21/13,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,5,432,271,16,3,0,142,432,0,0,TANGOK ,UNDI BIASA,TANGOK 025/21/13
34,025/21/14,SEKOLAH MENENGAH KEBANGSAAN (AGAMA) TOK BACHOK,1,343,177,26,7,3,128,341,2,0,RUSA ,UNDI BIASA,RUSA 025/21/14
34,025/21/14,SEKOLAH MENENGAH KEBANGSAAN (AGAMA) TOK BACHOK,2,482,264,28,11,1,173,477,5,0,RUSA ,UNDI BIASA,RUSA 025/21/14
