Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SYAHIR SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NOR AZMIZA MAMAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI ZU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ZAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
47,025/22/11,SEKOLAH MENENGAH KEBANGSAAN SRI GUNUNG,1,327,199,21,2,1,101,324,3,0,GUNONG ,UNDI BIASA,GUNONG 025/22/11
47,025/22/11,SEKOLAH MENENGAH KEBANGSAAN SRI GUNUNG,2,435,255,42,1,1,130,429,6,0,GUNONG ,UNDI BIASA,GUNONG 025/22/11
47,025/22/11,SEKOLAH MENENGAH KEBANGSAAN SRI GUNUNG,3,403,250,20,4,0,128,402,1,0,GUNONG ,UNDI BIASA,GUNONG 025/22/11
47,025/22/11,SEKOLAH MENENGAH KEBANGSAAN SRI GUNUNG,4,431,260,37,1,1,131,430,1,0,GUNONG ,UNDI BIASA,GUNONG 025/22/11
48,025/22/12,SEKOLAH KEBANGSAAN ALOR BAKAT,1,332,162,17,0,1,148,328,4,0,ALOR BAKAT ,UNDI BIASA,ALOR BAKAT 025/22/12
48,025/22/12,SEKOLAH KEBANGSAAN ALOR BAKAT,2,488,258,27,0,2,197,484,4,0,ALOR BAKAT ,UNDI BIASA,ALOR BAKAT 025/22/12
48,025/22/12,SEKOLAH KEBANGSAAN ALOR BAKAT,3,514,291,35,1,0,184,511,3,0,ALOR BAKAT ,UNDI BIASA,ALOR BAKAT 025/22/12
49,025/22/13,SEKOLAH KEBANGSAAN PAK BADOL,1,303,174,33,2,1,90,300,3,0,MAHLIGAI ,UNDI BIASA,MAHLIGAI 025/22/13
49,025/22/13,SEKOLAH KEBANGSAAN PAK BADOL,2,431,283,40,2,1,99,425,6,0,MAHLIGAI ,UNDI BIASA,MAHLIGAI 025/22/13
49,025/22/13,SEKOLAH KEBANGSAAN PAK BADOL,3,334,255,27,1,0,50,333,1,0,MAHLIGAI ,UNDI BIASA,MAHLIGAI 025/22/13
49,025/22/13,SEKOLAH KEBANGSAAN PAK BADOL,4,366,283,21,2,0,59,365,1,0,MAHLIGAI ,UNDI BIASA,MAHLIGAI 025/22/13
49,025/22/13,SEKOLAH KEBANGSAAN PAK BADOL,5,415,330,29,0,2,53,414,1,0,MAHLIGAI ,UNDI BIASA,MAHLIGAI 025/22/13
50,025/22/14,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,1,328,179,19,3,2,123,326,2,0,PAK BADOL ,UNDI BIASA,PAK BADOL 025/22/14
50,025/22/14,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,2,389,263,16,2,0,107,388,1,0,PAK BADOL ,UNDI BIASA,PAK BADOL 025/22/14
50,025/22/14,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,3,344,240,22,2,3,74,341,3,0,PAK BADOL ,UNDI BIASA,PAK BADOL 025/22/14
50,025/22/14,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,4,397,257,23,3,0,114,397,0,0,PAK BADOL ,UNDI BIASA,PAK BADOL 025/22/14
51,025/22/15,SEKOLAH KEBANGSAAN KOLAM,1,344,195,11,1,2,133,342,2,0,SERDANG ,UNDI BIASA,SERDANG 025/22/15
51,025/22/15,SEKOLAH KEBANGSAAN KOLAM,2,516,340,12,1,3,155,511,5,0,SERDANG ,UNDI BIASA,SERDANG 025/22/15
52,025/22/16,SMU (A) DARUL ULUM MUHAMMADIAH KOLAM,1,349,196,10,1,0,137,344,5,0,KOLAM ,UNDI BIASA,KOLAM 025/22/16
52,025/22/16,SMU (A) DARUL ULUM MUHAMMADIAH KOLAM,2,490,319,18,1,1,148,487,3,0,KOLAM ,UNDI BIASA,KOLAM 025/22/16
52,025/22/16,SMU (A) DARUL ULUM MUHAMMADIAH KOLAM,3,492,322,23,0,1,145,491,1,0,KOLAM ,UNDI BIASA,KOLAM 025/22/16
53,025/22/17,SEKOLAH KEBANGSAAN KUBANG TELAGA,1,369,204,9,1,0,154,368,1,0,KUBANG TELAGA ,UNDI BIASA,KUBANG TELAGA 025/22/17
53,025/22/17,SEKOLAH KEBANGSAAN KUBANG TELAGA,2,313,206,8,2,0,96,312,1,0,KUBANG TELAGA ,UNDI BIASA,KUBANG TELAGA 025/22/17
53,025/22/17,SEKOLAH KEBANGSAAN KUBANG TELAGA,3,356,231,8,0,0,117,356,0,0,KUBANG TELAGA ,UNDI BIASA,KUBANG TELAGA 025/22/17
54,025/22/18,SEKOLAH KEBANGSAAN BAKONG,1,354,222,7,4,0,117,350,4,0,KAMPUNG BAKONG ,UNDI BIASA,KAMPUNG BAKONG 025/22/18
54,025/22/18,SEKOLAH KEBANGSAAN BAKONG,2,444,297,12,5,2,126,442,2,0,KAMPUNG BAKONG ,UNDI BIASA,KAMPUNG BAKONG 025/22/18
54,025/22/18,SEKOLAH KEBANGSAAN BAKONG,3,474,343,6,4,0,117,470,4,0,KAMPUNG BAKONG ,UNDI BIASA,KAMPUNG BAKONG 025/22/18
,,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,215,91192,57496,4385,423,276,27333,89913,1012,267,END,END,END
