Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR.WAN AHMAD KAMIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ DATO' TUAN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
38,024/19/07,SEKOLAH KEBANGSAAN WAKAF STAN,2,372,28,3,59,276,366,6,0,"KAMPUNG WAKAF STAN
",UNDI BIASA,"KAMPUNG WAKAF STAN
024/19/07"
38,024/19/07,SEKOLAH KEBANGSAAN WAKAF STAN,3,457,40,3,60,352,455,2,0,"KAMPUNG WAKAF STAN
",UNDI BIASA,"KAMPUNG WAKAF STAN
024/19/07"
38,024/19/07,SEKOLAH KEBANGSAAN WAKAF STAN,4,399,35,3,58,301,397,2,0,"KAMPUNG WAKAF STAN
",UNDI BIASA,"KAMPUNG WAKAF STAN
024/19/07"
38,024/19/07,SEKOLAH KEBANGSAAN WAKAF STAN,5,399,43,3,60,291,397,2,0,"KAMPUNG WAKAF STAN
",UNDI BIASA,"KAMPUNG WAKAF STAN
024/19/07"
38,024/19/07,SEKOLAH KEBANGSAAN WAKAF STAN,6,419,65,4,60,290,419,0,0,"KAMPUNG WAKAF STAN
",UNDI BIASA,"KAMPUNG WAKAF STAN
024/19/07"
38,024/19/07,SEKOLAH KEBANGSAAN WAKAF STAN,7,531,61,7,71,391,530,1,0,"KAMPUNG WAKAF STAN
",UNDI BIASA,"KAMPUNG WAKAF STAN
024/19/07"
39,024/19/08,SMU (A) AL-YUNUSIAH BANGGU,1,339,35,4,82,212,333,6,0,BINJAI ,UNDI BIASA,BINJAI 024/19/08
39,024/19/08,SMU (A) AL-YUNUSIAH BANGGU,2,381,39,2,73,266,380,1,0,BINJAI ,UNDI BIASA,BINJAI 024/19/08
39,024/19/08,SMU (A) AL-YUNUSIAH BANGGU,3,463,37,3,83,338,461,2,0,BINJAI ,UNDI BIASA,BINJAI 024/19/08
39,024/19/08,SMU (A) AL-YUNUSIAH BANGGU,4,410,39,0,60,309,408,2,0,BINJAI ,UNDI BIASA,BINJAI 024/19/08
39,024/19/08,SMU (A) AL-YUNUSIAH BANGGU,5,414,42,2,50,318,412,2,0,BINJAI ,UNDI BIASA,BINJAI 024/19/08
39,024/19/08,SMU (A) AL-YUNUSIAH BANGGU,6,538,58,4,78,394,534,4,0,BINJAI ,UNDI BIASA,BINJAI 024/19/08
40,024/19/09,SEKOLAH KEBANGSAAN BANGGU,1,353,21,8,63,260,352,1,0,LUBOK PUKOL ,UNDI BIASA,LUBOK PUKOL 024/19/09
40,024/19/09,SEKOLAH KEBANGSAAN BANGGU,2,469,30,10,79,345,464,4,1,LUBOK PUKOL ,UNDI BIASA,LUBOK PUKOL 024/19/09
40,024/19/09,SEKOLAH KEBANGSAAN BANGGU,3,441,22,6,55,350,433,8,0,LUBOK PUKOL ,UNDI BIASA,LUBOK PUKOL 024/19/09
40,024/19/09,SEKOLAH KEBANGSAAN BANGGU,4,416,27,6,61,318,412,4,0,LUBOK PUKOL ,UNDI BIASA,LUBOK PUKOL 024/19/09
40,024/19/09,SEKOLAH KEBANGSAAN BANGGU,5,478,26,6,60,385,477,1,0,LUBOK PUKOL ,UNDI BIASA,LUBOK PUKOL 024/19/09
41,024/19/10,SEKOLAH KEBANGSAAN BANGGU,6,248,12,2,83,144,241,7,0,BANGGU ,UNDI BIASA,BANGGU 024/19/10
41,024/19/10,SEKOLAH KEBANGSAAN BANGGU,7,428,33,2,100,292,427,1,0,BANGGU ,UNDI BIASA,BANGGU 024/19/10
41,024/19/10,SEKOLAH KEBANGSAAN BANGGU,8,353,13,2,84,251,350,3,0,BANGGU ,UNDI BIASA,BANGGU 024/19/10
41,024/19/10,SEKOLAH KEBANGSAAN BANGGU,9,419,25,2,84,308,419,0,0,BANGGU ,UNDI BIASA,BANGGU 024/19/10
42,024/19/11,SEKOLAH KEBANGSAAN MENTERA,1,314,14,4,81,211,310,4,0,MENTERA ,UNDI BIASA,MENTERA 024/19/11
42,024/19/11,SEKOLAH KEBANGSAAN MENTERA,2,463,28,1,133,301,463,0,0,MENTERA ,UNDI BIASA,MENTERA 024/19/11
42,024/19/11,SEKOLAH KEBANGSAAN MENTERA,3,397,21,4,83,286,394,3,0,MENTERA ,UNDI BIASA,MENTERA 024/19/11
42,024/19/11,SEKOLAH KEBANGSAAN MENTERA,4,479,30,0,109,335,474,5,0,MENTERA ,UNDI BIASA,MENTERA 024/19/11
43,024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),1,302,45,6,49,196,296,6,0,HUDA ,UNDI BIASA,HUDA 024/19/12
43,024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),2,356,61,11,45,238,355,1,0,HUDA ,UNDI BIASA,HUDA 024/19/12
43,024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),3,438,94,5,66,273,438,0,0,HUDA ,UNDI BIASA,HUDA 024/19/12
43,024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),4,444,109,3,59,273,444,0,0,HUDA ,UNDI BIASA,HUDA 024/19/12
43,024/19/12,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),5,569,137,7,58,364,566,3,0,HUDA ,UNDI BIASA,HUDA 024/19/12
,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,197,82502,10236,687,14807,55654,81384,775,343,END,END,END
