Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL AZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' KAK TAZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ASRI ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI WAN JO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CHE LAH (DCL),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
47,019/04/04,SMU (A) TARBIAH ISLAMIAH CHABANG EMPAT,5,457,1,262,0,32,160,455,2,0,KAMPUNG PERIOK ,UNDI BIASA,KAMPUNG PERIOK 019/04/04
48,019/04/05,SMU (A) TARBIAH DINIAH BUNUT SARANG BURUNG,1,350,1,213,3,10,113,340,10,0,BUNUT SARANG BURONG ,UNDI BIASA,BUNUT SARANG BURONG 019/04/05
48,019/04/05,SMU (A) TARBIAH DINIAH BUNUT SARANG BURUNG,2,421,1,262,4,16,133,416,5,0,BUNUT SARANG BURONG ,UNDI BIASA,BUNUT SARANG BURONG 019/04/05
48,019/04/05,SMU (A) TARBIAH DINIAH BUNUT SARANG BURUNG,3,356,0,217,0,18,118,353,3,0,BUNUT SARANG BURONG ,UNDI BIASA,BUNUT SARANG BURONG 019/04/05
48,019/04/05,SMU (A) TARBIAH DINIAH BUNUT SARANG BURUNG,4,412,1,287,1,12,110,411,1,0,BUNUT SARANG BURONG ,UNDI BIASA,BUNUT SARANG BURONG 019/04/05
49,019/04/06,SEKOLAH KEBANGSAAN KEBAKAT JAYA,1,335,2,149,6,52,117,326,9,0,KEBAKAT ,UNDI BIASA,KEBAKAT 019/04/06
49,019/04/06,SEKOLAH KEBANGSAAN KEBAKAT JAYA,2,369,0,168,2,65,130,365,4,0,KEBAKAT ,UNDI BIASA,KEBAKAT 019/04/06
49,019/04/06,SEKOLAH KEBANGSAAN KEBAKAT JAYA,3,531,1,274,4,77,171,527,4,0,KEBAKAT ,UNDI BIASA,KEBAKAT 019/04/06
49,019/04/06,SEKOLAH KEBANGSAAN KEBAKAT JAYA,4,480,0,281,3,59,132,475,5,0,KEBAKAT ,UNDI BIASA,KEBAKAT 019/04/06
49,019/04/06,SEKOLAH KEBANGSAAN KEBAKAT JAYA,5,493,0,274,4,87,126,491,2,0,KEBAKAT ,UNDI BIASA,KEBAKAT 019/04/06
49,019/04/06,SEKOLAH KEBANGSAAN KEBAKAT JAYA,6,550,2,303,0,96,146,547,3,0,KEBAKAT ,UNDI BIASA,KEBAKAT 019/04/06
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,1,328,4,166,5,44,101,320,8,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,2,355,1,178,1,54,116,350,5,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,3,464,4,244,1,77,133,459,5,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,4,446,1,275,0,70,99,445,1,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,5,405,3,238,1,62,96,400,5,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,6,419,1,258,0,62,98,419,0,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
50,019/04/07,SEKOLAH KEBANGSAAN CHENDERONG BATU,7,509,2,307,0,74,121,504,5,0,CHENDERONG BATU ,UNDI BIASA,CHENDERONG BATU 019/04/07
51,019/04/08,SEKOLAH KEBANGSAAN KUBANG BATANG,1,270,2,119,1,11,135,268,2,0,KAMPUNG KUBANG BATANG ,UNDI BIASA,KAMPUNG KUBANG BATANG 019/04/08
51,019/04/08,SEKOLAH KEBANGSAAN KUBANG BATANG,2,331,1,132,0,13,183,329,2,0,KAMPUNG KUBANG BATANG ,UNDI BIASA,KAMPUNG KUBANG BATANG 019/04/08
51,019/04/08,SEKOLAH KEBANGSAAN KUBANG BATANG,3,471,0,225,4,20,215,464,7,0,KAMPUNG KUBANG BATANG ,UNDI BIASA,KAMPUNG KUBANG BATANG 019/04/08
51,019/04/08,SEKOLAH KEBANGSAAN KUBANG BATANG,4,469,1,264,2,14,183,464,5,0,KAMPUNG KUBANG BATANG ,UNDI BIASA,KAMPUNG KUBANG BATANG 019/04/08
51,019/04/08,SEKOLAH KEBANGSAAN KUBANG BATANG,5,553,1,292,1,20,231,545,6,2,KAMPUNG KUBANG BATANG ,UNDI BIASA,KAMPUNG KUBANG BATANG 019/04/08
52,019/04/09,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,4,246,2,117,1,28,96,244,2,0,CHABANG EMPAT ,UNDI BIASA,CHABANG EMPAT 019/04/09
52,019/04/09,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,5,308,1,151,1,55,99,307,1,0,CHABANG EMPAT ,UNDI BIASA,CHABANG EMPAT 019/04/09
52,019/04/09,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,6,514,5,279,1,68,159,512,2,0,CHABANG EMPAT ,UNDI BIASA,CHABANG EMPAT 019/04/09
52,019/04/09,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,7,490,1,308,0,49,129,487,3,0,CHABANG EMPAT ,UNDI BIASA,CHABANG EMPAT 019/04/09
52,019/04/09,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,8,540,1,336,0,52,146,535,5,0,CHABANG EMPAT ,UNDI BIASA,CHABANG EMPAT 019/04/09
53,019/04/10,SEKOLAH KEBANGSAAN CHABANG EMPAT,1,316,2,208,3,4,95,312,4,0,KAMPUNG JAL BESAR ,UNDI BIASA,KAMPUNG JAL BESAR 019/04/10
53,019/04/10,SEKOLAH KEBANGSAAN CHABANG EMPAT,2,473,1,310,1,11,141,464,9,0,KAMPUNG JAL BESAR ,UNDI BIASA,KAMPUNG JAL BESAR 019/04/10
53,019/04/10,SEKOLAH KEBANGSAAN CHABANG EMPAT,3,445,6,293,1,17,123,440,5,0,KAMPUNG JAL BESAR ,UNDI BIASA,KAMPUNG JAL BESAR 019/04/10
53,019/04/10,SEKOLAH KEBANGSAAN CHABANG EMPAT,4,471,0,313,3,20,134,470,1,0,KAMPUNG JAL BESAR ,UNDI BIASA,KAMPUNG JAL BESAR 019/04/10
54,019/04/11,SEKOLAH KEBANGSAAN PADANG MANDOL,4,323,0,151,2,12,144,309,14,0,JAL KECHIL ,UNDI BIASA,JAL KECHIL 019/04/11
54,019/04/11,SEKOLAH KEBANGSAAN PADANG MANDOL,5,455,1,254,1,20,178,454,1,0,JAL KECHIL ,UNDI BIASA,JAL KECHIL 019/04/11
54,019/04/11,SEKOLAH KEBANGSAAN PADANG MANDOL,6,480,3,281,0,22,171,477,3,0,JAL KECHIL ,UNDI BIASA,JAL KECHIL 019/04/11
