Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL AZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' KAK TAZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ASRI ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI WAN JO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CHE LAH (DCL),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
6,019/01/01,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),6,441,0,248,0,42,148,438,3,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 019/01/01
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),1,144,1,85,0,10,43,139,5,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),2,170,1,98,2,10,55,166,4,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),3,230,0,138,2,8,81,229,1,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),4,413,1,255,2,34,115,407,6,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),5,426,0,267,4,29,112,412,14,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),6,437,0,303,2,29,97,431,6,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),7,462,0,309,1,25,118,453,9,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
7,019/01/02,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),8,531,0,381,0,31,116,528,3,0,KAMPUNG KETIL ,UNDI BIASA,KAMPUNG KETIL 019/01/02
8,019/01/03,SMU (A) MEHELIAH GETING,1,214,0,140,1,3,62,206,8,0,KAMPUNG TEBING ,UNDI BIASA,KAMPUNG TEBING 019/01/03
8,019/01/03,SMU (A) MEHELIAH GETING,2,281,1,193,0,7,77,278,3,0,KAMPUNG TEBING ,UNDI BIASA,KAMPUNG TEBING 019/01/03
8,019/01/03,SMU (A) MEHELIAH GETING,3,467,0,341,1,9,113,464,3,0,KAMPUNG TEBING ,UNDI BIASA,KAMPUNG TEBING 019/01/03
8,019/01/03,SMU (A) MEHELIAH GETING,4,528,0,413,0,17,94,524,4,0,KAMPUNG TEBING ,UNDI BIASA,KAMPUNG TEBING 019/01/03
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),1,187,2,128,1,5,45,181,6,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),2,286,1,194,0,8,78,281,5,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),3,498,2,347,15,2,127,493,5,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),4,449,0,319,5,17,101,442,7,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),5,459,0,345,1,19,91,456,3,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),6,474,0,366,1,27,77,471,3,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),7,484,0,371,0,20,87,478,6,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
9,019/01/04,SEKOLAH KEBANGSAAN GETING (1),8,550,0,418,0,16,113,547,3,0,KAMPUNG GETING ,UNDI BIASA,KAMPUNG GETING 019/01/04
10,019/01/05,SEKOLAH KEBANGSAAN SIMPANGAN,1,204,1,73,0,7,118,199,5,0,SIMPANGAN ,UNDI BIASA,SIMPANGAN 019/01/05
10,019/01/05,SEKOLAH KEBANGSAAN SIMPANGAN,2,294,0,118,1,14,161,294,0,0,SIMPANGAN ,UNDI BIASA,SIMPANGAN 019/01/05
10,019/01/05,SEKOLAH KEBANGSAAN SIMPANGAN,3,492,0,211,1,39,236,487,5,0,SIMPANGAN ,UNDI BIASA,SIMPANGAN 019/01/05
10,019/01/05,SEKOLAH KEBANGSAAN SIMPANGAN,4,549,0,270,0,40,233,543,6,0,SIMPANGAN ,UNDI BIASA,SIMPANGAN 019/01/05
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,1,266,0,159,3,5,94,261,5,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,2,336,2,199,3,12,118,334,2,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,3,475,0,316,3,17,130,466,9,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,4,405,0,289,1,8,101,399,6,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,5,409,0,291,0,13,100,404,5,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,6,404,0,283,0,12,107,402,2,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,7,445,0,312,1,25,105,443,2,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
11,019/01/06,MAKTAB RENDAH SAINS MARA TUMPAT,8,494,1,351,2,28,112,494,0,0,TUJOH ,UNDI BIASA,TUJOH 019/01/06
12,019/01/07,SEKOLAH KEBANGSAAN BUNOHAN,1,291,1,176,1,7,102,287,4,0,TELAGA BATA ,UNDI BIASA,TELAGA BATA 019/01/07
12,019/01/07,SEKOLAH KEBANGSAAN BUNOHAN,2,489,1,293,2,24,166,486,3,0,TELAGA BATA ,UNDI BIASA,TELAGA BATA 019/01/07
12,019/01/07,SEKOLAH KEBANGSAAN BUNOHAN,3,452,0,312,4,19,114,449,3,0,TELAGA BATA ,UNDI BIASA,TELAGA BATA 019/01/07
12,019/01/07,SEKOLAH KEBANGSAAN BUNOHAN,4,481,0,340,1,16,120,477,4,0,TELAGA BATA ,UNDI BIASA,TELAGA BATA 019/01/07
13,019/01/08,SEKOLAH KEBANGSAAN BUNOHAN,5,286,2,122,1,8,149,282,4,0,BUNOHAN ,UNDI BIASA,BUNOHAN 019/01/08
13,019/01/08,SEKOLAH KEBANGSAAN BUNOHAN,6,412,2,203,3,13,188,409,3,0,BUNOHAN ,UNDI BIASA,BUNOHAN 019/01/08
13,019/01/08,SEKOLAH KEBANGSAAN BUNOHAN,7,389,2,215,1,12,156,386,3,0,BUNOHAN ,UNDI BIASA,BUNOHAN 019/01/08
13,019/01/08,SEKOLAH KEBANGSAAN BUNOHAN,8,443,0,252,2,13,161,428,15,0,BUNOHAN ,UNDI BIASA,BUNOHAN 019/01/08
14,019/01/09,SEKOLAH KEBANGSAAN SRI NETING,1,272,6,78,2,31,151,268,4,0,JUBAKAR DARAT ,UNDI BIASA,JUBAKAR DARAT 019/01/09
14,019/01/09,SEKOLAH KEBANGSAAN SRI NETING,2,302,2,60,4,126,109,301,1,0,JUBAKAR DARAT ,UNDI BIASA,JUBAKAR DARAT 019/01/09
14,019/01/09,SEKOLAH KEBANGSAAN SRI NETING,3,280,3,37,3,154,82,279,1,0,JUBAKAR DARAT ,UNDI BIASA,JUBAKAR DARAT 019/01/09
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,1,196,0,113,0,1,80,194,2,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,2,249,1,125,1,5,112,244,5,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,3,418,0,238,1,4,171,414,4,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,4,439,0,274,0,14,149,437,2,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,5,439,1,279,0,6,151,437,2,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,6,438,1,281,0,7,148,437,1,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
15,019/01/10,SEKOLAH KEBANGSAAN BENDANG PA' YONG,7,503,0,335,0,3,162,500,3,0,KAMPUNG BENDANG PAK YONG ,UNDI BIASA,KAMPUNG BENDANG PAK YONG 019/01/10
16,019/01/11,SEKOLAH KEBANGSAAN TELUK JERING,1,304,0,76,0,6,218,300,4,0,KAMPUNG TELOK JERING ,UNDI BIASA,KAMPUNG TELOK JERING 019/01/11
16,019/01/11,SEKOLAH KEBANGSAAN TELUK JERING,2,395,0,146,2,11,235,394,1,0,KAMPUNG TELOK JERING ,UNDI BIASA,KAMPUNG TELOK JERING 019/01/11
17,019/01/12,SEKOLAH MENENGAH KEBANGSAAN GETING,1,311,0,184,2,10,100,296,15,0,KEDAI GETING ,UNDI BIASA,KEDAI GETING 019/01/12
17,019/01/12,SEKOLAH MENENGAH KEBANGSAAN GETING,2,471,1,342,0,12,106,461,10,0,KEDAI GETING ,UNDI BIASA,KEDAI GETING 019/01/12
17,019/01/12,SEKOLAH MENENGAH KEBANGSAAN GETING,3,443,0,334,1,14,90,439,4,0,KEDAI GETING ,UNDI BIASA,KEDAI GETING 019/01/12
17,019/01/12,SEKOLAH MENENGAH KEBANGSAAN GETING,4,477,1,341,0,9,125,476,1,0,KEDAI GETING ,UNDI BIASA,KEDAI GETING 019/01/12
18,019/02/01,SEKOLAH KEBANGSAAN SUNGAI TAPANG,1,295,0,189,0,16,84,289,6,0,JUBAKAR PANTAI ,UNDI BIASA,JUBAKAR PANTAI 019/02/01
18,019/02/01,SEKOLAH KEBANGSAAN SUNGAI TAPANG,2,323,2,222,1,18,76,319,4,0,JUBAKAR PANTAI ,UNDI BIASA,JUBAKAR PANTAI 019/02/01
18,019/02/01,SEKOLAH KEBANGSAAN SUNGAI TAPANG,3,411,0,290,3,10,106,409,2,0,JUBAKAR PANTAI ,UNDI BIASA,JUBAKAR PANTAI 019/02/01
18,019/02/01,SEKOLAH KEBANGSAAN SUNGAI TAPANG,4,388,0,280,1,10,95,386,2,0,JUBAKAR PANTAI ,UNDI BIASA,JUBAKAR PANTAI 019/02/01
18,019/02/01,SEKOLAH KEBANGSAAN SUNGAI TAPANG,5,399,3,285,1,19,89,397,2,0,JUBAKAR PANTAI ,UNDI BIASA,JUBAKAR PANTAI 019/02/01
18,019/02/01,SEKOLAH KEBANGSAAN SUNGAI TAPANG,6,466,1,350,1,17,96,465,1,0,JUBAKAR PANTAI ,UNDI BIASA,JUBAKAR PANTAI 019/02/01
19,019/02/02,SEKOLAH KEBANGSAAN TUMPAT,1,240,3,147,0,14,68,232,8,0,DALAM RHU ,UNDI BIASA,DALAM RHU 019/02/02
19,019/02/02,SEKOLAH KEBANGSAAN TUMPAT,2,286,2,202,1,18,62,285,1,0,DALAM RHU ,UNDI BIASA,DALAM RHU 019/02/02
19,019/02/02,SEKOLAH KEBANGSAAN TUMPAT,3,395,0,282,1,13,99,395,0,0,DALAM RHU ,UNDI BIASA,DALAM RHU 019/02/02
19,019/02/02,SEKOLAH KEBANGSAAN TUMPAT,4,367,0,279,2,24,59,364,3,0,DALAM RHU ,UNDI BIASA,DALAM RHU 019/02/02
19,019/02/02,SEKOLAH KEBANGSAAN TUMPAT,5,371,2,287,2,13,67,371,0,0,DALAM RHU ,UNDI BIASA,DALAM RHU 019/02/02
19,019/02/02,SEKOLAH KEBANGSAAN TUMPAT,6,432,0,319,3,17,91,430,2,0,DALAM RHU ,UNDI BIASA,DALAM RHU 019/02/02
20,019/02/03,SEKOLAH KEBANGSAAN TUMPAT (1),1,222,1,98,2,29,91,221,1,0,BANDAR TUMPAT ,UNDI BIASA,BANDAR TUMPAT 019/02/03
20,019/02/03,SEKOLAH KEBANGSAAN TUMPAT (1),2,281,0,131,3,48,97,279,2,0,BANDAR TUMPAT ,UNDI BIASA,BANDAR TUMPAT 019/02/03
