Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",3,520,336,37,32,111,516,4,0,BUKIT KAYU HITAM ,UNDI BIASA,BUKIT KAYU HITAM 006/05/01
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",4,505,377,36,22,68,503,2,0,BUKIT KAYU HITAM ,UNDI BIASA,BUKIT KAYU HITAM 006/05/01
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",5,568,439,49,21,58,567,1,0,BUKIT KAYU HITAM ,UNDI BIASA,BUKIT KAYU HITAM 006/05/01
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",1,372,131,28,28,176,363,9,0,FELDA BUKIT TANGGA ,UNDI BIASA,FELDA BUKIT TANGGA 006/05/02
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",2,367,184,27,25,124,360,7,0,FELDA BUKIT TANGGA ,UNDI BIASA,FELDA BUKIT TANGGA 006/05/02
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",3,395,243,25,39,83,390,5,0,FELDA BUKIT TANGGA ,UNDI BIASA,FELDA BUKIT TANGGA 006/05/02
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",4,358,248,17,21,70,356,2,0,FELDA BUKIT TANGGA ,UNDI BIASA,FELDA BUKIT TANGGA 006/05/02
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",5,409,290,26,17,76,409,0,0,FELDA BUKIT TANGGA ,UNDI BIASA,FELDA BUKIT TANGGA 006/05/02
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",1,352,205,37,37,62,341,11,0,TEMIN ,UNDI BIASA,TEMIN 006/05/03
6,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",2,367,249,57,24,36,366,1,0,TEMIN ,UNDI BIASA,TEMIN 006/05/03
