Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
9,022/11/05,SEKOLAH KEBANGSAAN BUNUT SUSU,4,299,29,154,104,6,293,6,0,BUNUT SUSU ,UNDI BIASA,BUNUT SUSU 022/11/05
9,022/11/05,SEKOLAH KEBANGSAAN BUNUT SUSU,5,440,50,269,109,4,432,8,0,BUNUT SUSU ,UNDI BIASA,BUNUT SUSU 022/11/05
9,022/11/05,SEKOLAH KEBANGSAAN BUNUT SUSU,6,391,32,289,65,1,387,4,0,BUNUT SUSU ,UNDI BIASA,BUNUT SUSU 022/11/05
9,022/11/05,SEKOLAH KEBANGSAAN BUNUT SUSU,7,485,66,319,93,3,481,4,0,BUNUT SUSU ,UNDI BIASA,BUNUT SUSU 022/11/05
10,022/11/06,SEKOLAH KEBANGSAAN BECHAH DURIAN,1,348,26,216,99,2,343,5,0,BECHAH DURIAN ,UNDI BIASA,BECHAH DURIAN 022/11/06
10,022/11/06,SEKOLAH KEBANGSAAN BECHAH DURIAN,2,320,16,219,81,4,320,0,0,BECHAH DURIAN ,UNDI BIASA,BECHAH DURIAN 022/11/06
10,022/11/06,SEKOLAH KEBANGSAAN BECHAH DURIAN,3,386,43,251,91,1,386,0,0,BECHAH DURIAN ,UNDI BIASA,BECHAH DURIAN 022/11/06
11,022/11/07,SMU (A) AL-ULUM  PADANG EMBUN,1,343,31,209,85,8,333,10,0,PADANG EMBON ,UNDI BIASA,PADANG EMBON 022/11/07
11,022/11/07,SMU (A) AL-ULUM  PADANG EMBUN,2,470,43,334,84,4,465,5,0,PADANG EMBON ,UNDI BIASA,PADANG EMBON 022/11/07
11,022/11/07,SMU (A) AL-ULUM  PADANG EMBUN,3,453,28,339,69,14,450,3,0,PADANG EMBON ,UNDI BIASA,PADANG EMBON 022/11/07
11,022/11/07,SMU (A) AL-ULUM  PADANG EMBUN,4,500,36,397,58,5,496,4,0,PADANG EMBON ,UNDI BIASA,PADANG EMBON 022/11/07
12,022/11/08,SEKOLAH MENENGAH KEBANGSAAN TENDONG,1,346,28,223,80,6,337,9,0,KAMPUNG PALOH ,UNDI BIASA,KAMPUNG PALOH 022/11/08
12,022/11/08,SEKOLAH MENENGAH KEBANGSAAN TENDONG,2,481,44,346,80,8,478,3,0,KAMPUNG PALOH ,UNDI BIASA,KAMPUNG PALOH 022/11/08
12,022/11/08,SEKOLAH MENENGAH KEBANGSAAN TENDONG,3,552,47,383,111,10,551,1,0,KAMPUNG PALOH ,UNDI BIASA,KAMPUNG PALOH 022/11/08
13,022/11/09,KOLEJ VOKASIONAL PASIR MAS,1,339,27,180,116,5,328,11,0,HUTAN CHENGAL ,UNDI BIASA,HUTAN CHENGAL 022/11/09
