Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI RAHIMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MARZUANI ARDILA ARIFFIN (GEE),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJ JEN DATO HJ KHLIR (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HANEEF IBRAHIM (ABE HANEEF),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
14,026/24/02,SEKOLAH KEBANGSAAN BULOH POH,1,369,22,129,211,2,364,5,0,BULOH POH ,UNDI BIASA,BULOH POH 026/24/02
14,026/24/02,SEKOLAH KEBANGSAAN BULOH POH,2,521,33,140,338,1,512,9,0,BULOH POH ,UNDI BIASA,BULOH POH 026/24/02
14,026/24/02,SEKOLAH KEBANGSAAN BULOH POH,3,505,34,121,348,1,504,1,0,BULOH POH ,UNDI BIASA,BULOH POH 026/24/02
15,026/24/03,SEKOLAH KEBANGSAAN KADOK,1,343,23,122,189,2,336,7,0,BERANGAN ,UNDI BIASA,BERANGAN 026/24/03
15,026/24/03,SEKOLAH KEBANGSAAN KADOK,2,365,28,103,230,1,362,3,0,BERANGAN ,UNDI BIASA,BERANGAN 026/24/03
15,026/24/03,SEKOLAH KEBANGSAAN KADOK,3,390,31,78,279,1,389,1,0,BERANGAN ,UNDI BIASA,BERANGAN 026/24/03
16,026/24/04,SEKOLAH KEBANGSAAN PEROL,1,324,27,100,187,0,314,10,0,PEROL ,UNDI BIASA,PEROL 026/24/04
16,026/24/04,SEKOLAH KEBANGSAAN PEROL,2,344,39,91,208,2,340,4,0,PEROL ,UNDI BIASA,PEROL 026/24/04
16,026/24/04,SEKOLAH KEBANGSAAN PEROL,3,493,54,128,303,2,487,6,0,PEROL ,UNDI BIASA,PEROL 026/24/04
16,026/24/04,SEKOLAH KEBANGSAAN PEROL,4,513,60,111,335,3,509,4,0,PEROL ,UNDI BIASA,PEROL 026/24/04
16,026/24/04,SEKOLAH KEBANGSAAN PEROL,5,581,74,120,382,1,577,4,0,PEROL ,UNDI BIASA,PEROL 026/24/04
17,026/24/05,SEKOLAH MENENGAH KEBANGSAAN KADOK,1,355,15,87,243,2,347,8,0,KADOK ,UNDI BIASA,KADOK 026/24/05
17,026/24/05,SEKOLAH MENENGAH KEBANGSAAN KADOK,2,370,27,89,252,2,370,0,0,KADOK ,UNDI BIASA,KADOK 026/24/05
17,026/24/05,SEKOLAH MENENGAH KEBANGSAAN KADOK,3,413,17,81,309,1,408,4,1,KADOK ,UNDI BIASA,KADOK 026/24/05
