Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI RAHIMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MARZUANI ARDILA ARIFFIN (GEE),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJ JEN DATO HJ KHLIR (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HANEEF IBRAHIM (ABE HANEEF),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,5,483,44,109,322,4,479,4,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,6,415,33,101,275,2,411,4,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,7,403,40,94,265,2,401,2,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,8,401,48,84,267,1,400,1,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,9,439,53,104,280,1,438,1,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,10,522,80,93,345,2,520,1,1,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,11,583,72,105,400,4,581,2,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
30,026/25/09,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HWA,1,321,18,125,163,10,316,5,0,SETEK ,UNDI BIASA,SETEK 026/25/09
30,026/25/09,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HWA,2,358,7,108,224,10,349,9,0,SETEK ,UNDI BIASA,SETEK 026/25/09
30,026/25/09,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HWA,3,396,14,115,245,8,382,14,0,SETEK ,UNDI BIASA,SETEK 026/25/09
31,026/25/10,SEKOLAH KEBANGSAAN BANGGOL SAMAN,1,371,13,143,205,3,364,7,0,KAMPUNG BATU TINGGI ,UNDI BIASA,KAMPUNG BATU TINGGI 026/25/10
31,026/25/10,SEKOLAH KEBANGSAAN BANGGOL SAMAN,2,521,13,171,331,1,516,5,0,KAMPUNG BATU TINGGI ,UNDI BIASA,KAMPUNG BATU TINGGI 026/25/10
31,026/25/10,SEKOLAH KEBANGSAAN BANGGOL SAMAN,3,542,13,165,355,4,537,5,0,KAMPUNG BATU TINGGI ,UNDI BIASA,KAMPUNG BATU TINGGI 026/25/10
32,026/25/11,SEKOLAH KEBANGSAAN DESA PAHLAWAN,1,334,15,107,207,1,330,4,0,KAMPUNG SOKOR ,UNDI BIASA,KAMPUNG SOKOR 026/25/11
32,026/25/11,SEKOLAH KEBANGSAAN DESA PAHLAWAN,2,502,18,129,347,1,495,7,0,KAMPUNG SOKOR ,UNDI BIASA,KAMPUNG SOKOR 026/25/11
32,026/25/11,SEKOLAH KEBANGSAAN DESA PAHLAWAN,3,435,13,85,332,0,430,5,0,KAMPUNG SOKOR ,UNDI BIASA,KAMPUNG SOKOR 026/25/11
32,026/25/11,SEKOLAH KEBANGSAAN DESA PAHLAWAN,4,407,17,90,296,1,404,3,0,KAMPUNG SOKOR ,UNDI BIASA,KAMPUNG SOKOR 026/25/11
32,026/25/11,SEKOLAH KEBANGSAAN DESA PAHLAWAN,5,434,26,104,301,1,432,2,0,KAMPUNG SOKOR ,UNDI BIASA,KAMPUNG SOKOR 026/25/11
32,026/25/11,SEKOLAH KEBANGSAAN DESA PAHLAWAN,6,505,33,82,384,2,501,4,0,KAMPUNG SOKOR ,UNDI BIASA,KAMPUNG SOKOR 026/25/11
,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,150,64060,4662,17435,40542,223,62862,900,298,END,END,END
