Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
36,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,3.0,455,28,413,9,450,5,0,BUNGA RAYA ,UNDI BIASA
36,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,4.0,461,18,440,3,461,0,0,BUNGA RAYA ,UNDI BIASA
37,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,1.0,186,34,145,3,182,4,0,BUKIT CHINA ,UNDI BIASA
37,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,2.0,438,66,361,8,435,3,0,BUKIT CHINA ,UNDI BIASA
37,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,3.0,468,56,405,5,466,2,0,BUKIT CHINA ,UNDI BIASA
37,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,4.0,479,65,403,4,472,7,0,BUKIT CHINA ,UNDI BIASA
37,138/22/02,SEKOLAH KEBANGSAAN BUKIT CHINA,5.0,460,73,381,5,459,1,0,BUKIT CHINA ,UNDI BIASA
38,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,1.0,243,41,195,2,238,5,0,BUKIT GEDONG ,UNDI BIASA
38,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,2.0,448,59,378,2,439,9,0,BUKIT GEDONG ,UNDI BIASA
38,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,3.0,449,58,390,0,448,1,0,BUKIT GEDONG ,UNDI BIASA
38,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,4.0,429,39,384,5,428,1,0,BUKIT GEDONG ,UNDI BIASA
38,138/22/03,SEKOLAH KEBANGSAAN SERI BANDAR,5.0,445,41,400,4,445,0,0,BUKIT GEDONG ,UNDI BIASA
39,138/22/04,SEKOLAH MENENGAH KEBANGSAAN ST. FRANCIS,1.0,214,32,170,7,209,5,0,BANDAR KABA ,UNDI BIASA
39,138/22/04,SEKOLAH MENENGAH KEBANGSAAN ST. FRANCIS,2.0,522,65,447,7,519,3,0,BANDAR KABA ,UNDI BIASA
39,138/22/04,SEKOLAH MENENGAH KEBANGSAAN ST. FRANCIS,3.0,496,85,404,7,496,0,0,BANDAR KABA ,UNDI BIASA
40,138/22/05,SEKOLAH MENENGAH KEBANGSAAN INFANT JESUS CONVENT,1.0,255,38,207,2,247,8,0,BANDAR HILIR TENGAH ,UNDI BIASA
40,138/22/05,SEKOLAH MENENGAH KEBANGSAAN INFANT JESUS CONVENT,2.0,517,40,465,8,513,4,0,BANDAR HILIR TENGAH ,UNDI BIASA
40,138/22/05,SEKOLAH MENENGAH KEBANGSAAN INFANT JESUS CONVENT,3.0,515,29,483,3,515,0,0,BANDAR HILIR TENGAH ,UNDI BIASA
41,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,1.0,255,75,164,11,250,5,0,LORONG PANJANG ,UNDI BIASA
41,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,2.0,448,83,361,2,446,2,0,LORONG PANJANG ,UNDI BIASA
41,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,3.0,456,75,370,4,449,7,0,LORONG PANJANG ,UNDI BIASA
41,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,4.0,461,74,381,3,458,3,0,LORONG PANJANG ,UNDI BIASA
41,138/22/06,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 2,5.0,444,88,350,5,443,1,0,LORONG PANJANG ,UNDI BIASA
42,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,1.0,221,41,174,2,217,4,0,KG BANDAR HILIR ,UNDI BIASA
42,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,2.0,406,53,345,3,401,4,1,KG BANDAR HILIR ,UNDI BIASA
42,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,3.0,407,42,363,2,407,0,0,KG BANDAR HILIR ,UNDI BIASA
42,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,4.0,431,46,379,6,431,0,0,KG BANDAR HILIR ,UNDI BIASA
42,138/22/07,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 2,5.0,397,47,347,1,395,2,0,KG BANDAR HILIR ,UNDI BIASA
43,138/22/08,SEKOLAH KEBANGSAAN CONVENT INFANT JESUS 1,1.0,297,17,277,2,296,1,0,MELAKA RAYA ,UNDI BIASA
44,138/22/09,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,7.0,283,46,226,4,276,7,0,PERKAMPUNGAN PORTUGIS ,UNDI BIASA
44,138/22/09,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,8.0,578,60,511,3,574,4,0,PERKAMPUNGAN PORTUGIS ,UNDI BIASA
44,138/22/09,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,9.0,535,31,497,5,533,2,0,PERKAMPUNGAN PORTUGIS ,UNDI BIASA
45,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,1.0,194,38,149,3,190,4,0,UJONG PASIR PANTAI ,UNDI BIASA
45,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,2.0,458,56,397,3,456,2,0,UJONG PASIR PANTAI ,UNDI BIASA
45,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,3.0,485,34,448,1,483,2,0,UJONG PASIR PANTAI ,UNDI BIASA
45,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,4.0,479,26,450,3,479,0,0,UJONG PASIR PANTAI ,UNDI BIASA
45,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,5.0,462,16,441,2,459,3,0,UJONG PASIR PANTAI ,UNDI BIASA
45,138/22/10,SEKOLAH MENENGAH KEBANGSAAN CANOSSA CONVENT,6.0,471,13,453,4,470,1,0,UJONG PASIR PANTAI ,UNDI BIASA
46,138/23/01,SEKOLAH KEBANGSAAN UJONG PASIR,1.0,228,46,175,2,223,5,0,UJONG PASIR DARAT ,UNDI BIASA
46,138/23/01,SEKOLAH KEBANGSAAN UJONG PASIR,2.0,484,109,364,2,475,8,1,UJONG PASIR DARAT ,UNDI BIASA
46,138/23/01,SEKOLAH KEBANGSAAN UJONG PASIR,3.0,475,110,352,8,470,5,0,UJONG PASIR DARAT ,UNDI BIASA
46,138/23/01,SEKOLAH KEBANGSAAN UJONG PASIR,4.0,449,96,347,4,447,2,0,UJONG PASIR DARAT ,UNDI BIASA
46,138/23/01,SEKOLAH KEBANGSAAN UJONG PASIR,5.0,454,113,337,3,453,1,0,UJONG PASIR DARAT ,UNDI BIASA
47,138/23/02,BANGUNAN SERBAGUNA JKKK TAMAN MAY LIAN,1.0,259,70,180,1,251,8,0,KAMPUNG UJONG PASIR ,UNDI BIASA
47,138/23/02,BANGUNAN SERBAGUNA JKKK TAMAN MAY LIAN,2.0,503,75,422,1,498,5,0,KAMPUNG UJONG PASIR ,UNDI BIASA
47,138/23/02,BANGUNAN SERBAGUNA JKKK TAMAN MAY LIAN,3.0,499,41,450,6,497,2,0,KAMPUNG UJONG PASIR ,UNDI BIASA
47,138/23/02,BANGUNAN SERBAGUNA JKKK TAMAN MAY LIAN,4.0,499,36,459,3,498,0,1,KAMPUNG UJONG PASIR ,UNDI BIASA
48,138/23/03,SEKOLAH KEBANGSAAN PADANG TEMU,1.0,287,179,92,6,277,10,0,PADANG TEMU ,UNDI BIASA
48,138/23/03,SEKOLAH KEBANGSAAN PADANG TEMU,2.0,579,293,258,9,560,19,0,PADANG TEMU ,UNDI BIASA
48,138/23/03,SEKOLAH KEBANGSAAN PADANG TEMU,3.0,533,236,264,8,508,25,0,PADANG TEMU ,UNDI BIASA
48,138/23/03,SEKOLAH KEBANGSAAN PADANG TEMU,4.0,504,219,264,11,494,0,10,PADANG TEMU ,UNDI BIASA
48,138/23/03,SEKOLAH KEBANGSAAN PADANG TEMU,5.0,498,164,310,10,484,14,0,PADANG TEMU ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,1.0,279,204,62,3,269,10,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,2.0,591,391,173,7,571,20,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,3.0,586,352,207,12,571,15,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,4.0,560,311,219,10,540,20,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,5.0,539,273,244,8,525,14,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,6.0,527,269,228,13,510,17,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,7.0,527,227,278,10,515,12,0,ALAI ,UNDI BIASA
49,138/23/04,SEKOLAH KEBANGSAAN ALAI,8.0,531,245,266,9,520,11,0,ALAI ,UNDI BIASA
50,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,1.0,294,190,80,11,281,13,0,KG TELOK MAS ,UNDI BIASA
50,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,2.0,550,307,203,7,517,33,0,KG TELOK MAS ,UNDI BIASA
50,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,3.0,536,283,212,14,509,27,0,KG TELOK MAS ,UNDI BIASA
50,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,4.0,517,277,212,10,499,18,0,KG TELOK MAS ,UNDI BIASA
50,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,5.0,496,222,236,14,472,24,0,KG TELOK MAS ,UNDI BIASA
50,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,6.0,480,208,223,22,453,27,0,KG TELOK MAS ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,1.0,282,169,91,3,263,19,0,PERNU ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,2.0,624,323,241,27,591,33,0,PERNU ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,3.0,588,234,295,24,553,35,0,PERNU ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,4.0,592,244,298,19,561,31,0,PERNU ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,5.0,567,216,308,20,544,23,0,PERNU ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,6.0,542,182,323,22,527,15,0,PERNU ,UNDI BIASA
51,138/23/06,SEKOLAH KEBANGSAAN PERNU,7.0,541,189,306,32,527,14,0,PERNU ,UNDI BIASA
