Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,8.0,568,29,533,5,567,1,0,MALIM JAYA ,UNDI BIASA
9,138/19/04,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,9.0,582,44,530,3,577,2,3,MALIM JAYA ,UNDI BIASA
10,138/19/05,SEKOLAH KEBANGSAAN MALIM,1.0,275,105,157,4,266,9,0,BERTAM ,UNDI BIASA
10,138/19/05,SEKOLAH KEBANGSAAN MALIM,2.0,602,203,382,10,595,7,0,BERTAM ,UNDI BIASA
10,138/19/05,SEKOLAH KEBANGSAAN MALIM,3.0,586,133,442,6,581,5,0,BERTAM ,UNDI BIASA
10,138/19/05,SEKOLAH KEBANGSAAN MALIM,4.0,573,129,436,2,567,6,0,BERTAM ,UNDI BIASA
10,138/19/05,SEKOLAH KEBANGSAAN MALIM,5.0,571,126,441,1,568,3,0,BERTAM ,UNDI BIASA
10,138/19/05,SEKOLAH KEBANGSAAN MALIM,6.0,571,103,459,6,568,3,0,BERTAM ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,10.0,279,52,217,4,273,6,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,11.0,551,158,378,7,543,8,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,12.0,573,156,410,6,572,1,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,13.0,569,97,465,5,567,2,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,14.0,553,131,411,8,550,2,1,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,15.0,542,116,423,3,542,0,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,16.0,533,132,394,3,529,4,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,17.0,537,125,404,6,535,2,0,TAMAN ASEAN ,UNDI BIASA
11,138/19/06,SEKOLAH JENIS KEBANGSAAN (CINA) MALIM,18.0,556,124,420,9,553,2,1,TAMAN ASEAN ,UNDI BIASA
12,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,1.0,296,126,157,3,286,10,0,KAMPUNG PADANG ,UNDI BIASA
12,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,2.0,459,199,247,7,453,6,0,KAMPUNG PADANG ,UNDI BIASA
12,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,3.0,448,162,280,2,444,4,0,KAMPUNG PADANG ,UNDI BIASA
12,138/19/07,SEK. REN. AGAMA JAIM KAMPUNG PADANG,4.0,441,202,235,1,438,3,0,KAMPUNG PADANG ,UNDI BIASA
13,138/19/08,SEKOLAH KEBANGSAAN BACHANG,1.0,279,115,158,2,275,3,1,BAKAR BATU ,UNDI BIASA
13,138/19/08,SEKOLAH KEBANGSAAN BACHANG,2.0,594,235,349,5,589,5,0,BAKAR BATU ,UNDI BIASA
13,138/19/08,SEKOLAH KEBANGSAAN BACHANG,3.0,556,186,350,9,545,11,0,BAKAR BATU ,UNDI BIASA
13,138/19/08,SEKOLAH KEBANGSAAN BACHANG,4.0,516,229,270,9,508,8,0,BAKAR BATU ,UNDI BIASA
14,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,1.0,231,79,142,5,226,5,0,LIMBONGAN ,UNDI BIASA
14,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,2.0,526,189,328,4,521,4,1,LIMBONGAN ,UNDI BIASA
14,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,3.0,538,192,328,5,525,13,0,LIMBONGAN ,UNDI BIASA
14,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,4.0,493,161,324,4,489,4,0,LIMBONGAN ,UNDI BIASA
14,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,5.0,495,169,322,1,492,3,0,LIMBONGAN ,UNDI BIASA
14,138/19/09,SEKOLAH KEBANGSAAN TENGKERA 1,6.0,463,157,299,5,461,2,0,LIMBONGAN ,UNDI BIASA
15,138/20/01,SEKOLAH MENENGAH KEBANGSAAN TUN TUAH,1.0,284,77,195,8,280,4,0,KESIDANG INDAH ,UNDI BIASA
15,138/20/01,SEKOLAH MENENGAH KEBANGSAAN TUN TUAH,2.0,557,112,436,4,552,5,0,KESIDANG INDAH ,UNDI BIASA
15,138/20/01,SEKOLAH MENENGAH KEBANGSAAN TUN TUAH,3.0,536,81,443,8,532,4,0,KESIDANG INDAH ,UNDI BIASA
15,138/20/01,SEKOLAH MENENGAH KEBANGSAAN TUN TUAH,4.0,520,72,433,11,516,4,0,KESIDANG INDAH ,UNDI BIASA
15,138/20/01,SEKOLAH MENENGAH KEBANGSAAN TUN TUAH,5.0,523,94,419,8,521,2,0,KESIDANG INDAH ,UNDI BIASA
15,138/20/01,SEKOLAH MENENGAH KEBANGSAAN TUN TUAH,6.0,515,107,396,10,513,2,0,KESIDANG INDAH ,UNDI BIASA
16,138/20/02,SEKOLAH MENENGAH KEBANGSAAN TINGGI CINA MELAKA,1.0,266,43,211,8,262,4,0,TUN PERAK ,UNDI BIASA
16,138/20/02,SEKOLAH MENENGAH KEBANGSAAN TINGGI CINA MELAKA,2.0,453,61,386,4,451,2,0,TUN PERAK ,UNDI BIASA
16,138/20/02,SEKOLAH MENENGAH KEBANGSAAN TINGGI CINA MELAKA,3.0,450,61,376,12,449,1,0,TUN PERAK ,UNDI BIASA
17,138/20/03,SEKOLAH MENENGAH KEBANGSAAN NOTRE DAME CONVENT,1.0,294,49,236,5,290,4,0,KAMPUNG ENAM ,UNDI BIASA
17,138/20/03,SEKOLAH MENENGAH KEBANGSAAN NOTRE DAME CONVENT,2.0,515,66,443,4,513,2,0,KAMPUNG ENAM ,UNDI BIASA
18,138/20/04,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,1.0,243,69,165,5,239,4,0,PENGKALAN RAMA PANTAI ,UNDI BIASA
18,138/20/04,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,2.0,470,130,331,6,467,3,0,PENGKALAN RAMA PANTAI ,UNDI BIASA
18,138/20/04,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,3.0,475,119,341,2,462,13,0,PENGKALAN RAMA PANTAI ,UNDI BIASA
18,138/20/04,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,4.0,463,143,310,8,461,1,1,PENGKALAN RAMA PANTAI ,UNDI BIASA
18,138/20/04,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,5.0,439,149,280,3,432,7,0,PENGKALAN RAMA PANTAI ,UNDI BIASA
19,138/20/05,SEK. REN. AGAMA JAIM TENGKERA,1.0,303,88,201,3,292,11,0,KENANGA SEKSYEN 1 ,UNDI BIASA
19,138/20/05,SEK. REN. AGAMA JAIM TENGKERA,2.0,368,76,280,4,360,8,0,KENANGA SEKSYEN 1 ,UNDI BIASA
19,138/20/05,SEK. REN. AGAMA JAIM TENGKERA,3.0,376,110,255,4,369,7,0,KENANGA SEKSYEN 1 ,UNDI BIASA
20,138/20/06,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,1.0,251,43,204,3,250,1,0,KENANGA SEKSYEN 2 ,UNDI BIASA
20,138/20/06,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,2.0,455,58,392,5,455,0,0,KENANGA SEKSYEN 2 ,UNDI BIASA
20,138/20/06,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,3.0,447,53,389,4,446,1,0,KENANGA SEKSYEN 2 ,UNDI BIASA
