Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK ABDUL RAZAK BIN ABDUL RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FENDI AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) UST ROSAZLI MD YASIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,1.0,279,197,46,28,271,8,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,2.0,591,368,135,78,581,10,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,3.0,586,305,169,108,582,4,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,4.0,560,265,177,107,549,11,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,5.0,539,240,179,119,538,1,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,6.0,527,229,187,108,524,3,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,7.0,527,193,214,119,526,1,0,ALAI ,UNDI BIASA
6,138/23/04,SEKOLAH KEBANGSAAN ALAI,8.0,531,208,214,108,530,1,0,ALAI ,UNDI BIASA
7,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,1.0,294,173,60,56,289,5,0,KG TELOK MAS ,UNDI BIASA
7,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,2.0,550,268,158,114,540,10,0,KG TELOK MAS ,UNDI BIASA
7,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,3.0,536,247,146,139,532,4,0,KG TELOK MAS ,UNDI BIASA
7,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,4.0,517,231,158,126,515,2,0,KG TELOK MAS ,UNDI BIASA
7,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,5.0,496,188,170,136,494,2,0,KG TELOK MAS ,UNDI BIASA
7,138/23/05,SEKOLAH MENENGAH KEBANGSAAN TELOK MAS,6.0,480,174,161,143,478,2,0,KG TELOK MAS ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,1.0,282,166,73,37,276,6,0,PERNU ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,2.0,624,280,198,136,614,10,0,PERNU ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,3.0,588,183,221,179,583,5,0,PERNU ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,4.0,592,187,248,155,590,2,0,PERNU ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,5.0,567,169,203,191,563,4,0,PERNU ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,6.0,542,141,244,155,540,2,0,PERNU ,UNDI BIASA
8,138/23/06,SEKOLAH KEBANGSAAN PERNU,7.0,541,150,223,167,540,1,0,PERNU ,UNDI BIASA
