Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI IR. IDRIS HARON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD LOKMAN ABDUL GANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
2,136/11/00,DEWAN BORHAN,4.0,347,202,123,325,22,0,UNDI AWAL ,UNDI AWAL
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,1.0,283,156,117,273,10,0,BUKIT TERENDAK ,UNDI BIASA
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,2.0,579,310,261,571,8,0,BUKIT TERENDAK ,UNDI BIASA
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,3.0,547,290,253,543,4,0,BUKIT TERENDAK ,UNDI BIASA
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,4.0,503,211,286,497,6,0,BUKIT TERENDAK ,UNDI BIASA
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,5.0,506,201,299,500,6,0,BUKIT TERENDAK ,UNDI BIASA
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,6.0,506,200,299,499,7,0,BUKIT TERENDAK ,UNDI BIASA
3,136/11/01,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI UDANG,7.0,497,224,269,493,4,0,BUKIT TERENDAK ,UNDI BIASA
4,136/11/02,SEKOLAH KEBANGSAAN SUNGAI UDANG,1.0,280,198,79,277,3,0,PEKAN SUNGAI UDANG ,UNDI BIASA
4,136/11/02,SEKOLAH KEBANGSAAN SUNGAI UDANG,2.0,529,270,252,522,7,0,PEKAN SUNGAI UDANG ,UNDI BIASA
4,136/11/02,SEKOLAH KEBANGSAAN SUNGAI UDANG,3.0,501,253,240,493,8,0,PEKAN SUNGAI UDANG ,UNDI BIASA
5,136/11/03,SEK REN AGAMA (JAIM) AN-NURIAH,1.0,304,217,66,283,21,0,PAYA RUMPUT JAYA ,UNDI BIASA
5,136/11/03,SEK REN AGAMA (JAIM) AN-NURIAH,2.0,556,341,198,539,17,0,PAYA RUMPUT JAYA ,UNDI BIASA
5,136/11/03,SEK REN AGAMA (JAIM) AN-NURIAH,3.0,539,277,251,528,11,0,PAYA RUMPUT JAYA ,UNDI BIASA
6,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,1.0,297,119,170,289,8,0,BERTAM HULU ,UNDI BIASA
6,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,2.0,602,261,318,579,22,1,BERTAM HULU ,UNDI BIASA
6,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,3.0,575,224,346,570,5,0,BERTAM HULU ,UNDI BIASA
6,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,4.0,546,198,341,539,7,0,BERTAM HULU ,UNDI BIASA
6,136/11/04,SEKOLAH KEBANGSAAN BERTAM HULU,5.0,515,201,313,514,1,0,BERTAM HULU ,UNDI BIASA
