Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YUNUS BIN HITAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI ADLY BIN ZAHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAT PUHAT BIN BEDOL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,137/17/07,KOLEJ VOKASIONAL MELAKA TENGAH,2.0,598,238,312,44,594,4,0,TAMAN TUN RAHAH ,UNDI BIASA
9,137/17/07,KOLEJ VOKASIONAL MELAKA TENGAH,3.0,575,191,302,79,572,3,0,TAMAN TUN RAHAH ,UNDI BIASA
9,137/17/07,KOLEJ VOKASIONAL MELAKA TENGAH,4.0,560,180,315,63,558,2,0,TAMAN TUN RAHAH ,UNDI BIASA
9,137/17/07,KOLEJ VOKASIONAL MELAKA TENGAH,5.0,535,170,297,64,531,3,1,TAMAN TUN RAHAH ,UNDI BIASA
9,137/17/07,KOLEJ VOKASIONAL MELAKA TENGAH,6.0,539,190,295,51,536,3,0,TAMAN TUN RAHAH ,UNDI BIASA
10,137/17/08,SEKOLAH KEBANGSAAN DATO' DEMANG HUSSIN,1.0,312,195,76,39,310,2,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEKOLAH KEBANGSAAN DATO' DEMANG HUSSIN,2.0,476,228,176,71,475,1,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEKOLAH KEBANGSAAN DATO' DEMANG HUSSIN,3.0,455,202,169,82,453,2,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEKOLAH KEBANGSAAN DATO' DEMANG HUSSIN,4.0,435,174,186,72,432,3,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEKOLAH KEBANGSAAN DATO' DEMANG HUSSIN,5.0,441,191,185,62,438,3,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,1.0,304,158,104,30,292,12,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,2.0,609,287,243,75,605,4,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,3.0,582,237,248,89,574,7,1,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,4.0,552,212,243,96,551,1,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,5.0,512,195,231,81,507,3,2,KAMPUNG BUKIT KATIL ,UNDI BIASA
10,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,6.0,529,214,247,63,524,5,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
