Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ OTHMAN CHE MEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SIMON OOI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KEE CHYE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN HOCK HUAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KO HUNG WENG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
11,015/28/09,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ISMAIL, SUNGAI PETANI",1.0,319,89,97,1,0,129,316,3,0,TAMAN DELIMA ,UNDI BIASA
11,015/28/09,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ISMAIL, SUNGAI PETANI",2.0,601,215,250,0,2,126,593,8,0,TAMAN DELIMA ,UNDI BIASA
11,015/28/09,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ISMAIL, SUNGAI PETANI",3.0,506,206,197,1,0,101,505,1,0,TAMAN DELIMA ,UNDI BIASA
11,015/28/09,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ISMAIL, SUNGAI PETANI",4.0,544,257,218,2,0,67,544,0,0,TAMAN DELIMA ,UNDI BIASA
12,015/28/10,"SEKOLAH KEBANGSAAN TUNKU ISMAIL, BAKAR ARANG",1.0,278,36,156,2,0,83,277,1,0,TAMAN INTAN ,UNDI BIASA
12,015/28/10,"SEKOLAH KEBANGSAAN TUNKU ISMAIL, BAKAR ARANG",2.0,567,97,345,1,1,119,563,4,0,TAMAN INTAN ,UNDI BIASA
12,015/28/10,"SEKOLAH KEBANGSAAN TUNKU ISMAIL, BAKAR ARANG",3.0,555,117,355,0,1,80,553,2,0,TAMAN INTAN ,UNDI BIASA
12,015/28/10,"SEKOLAH KEBANGSAAN TUNKU ISMAIL, BAKAR ARANG",4.0,518,84,370,0,0,62,516,2,0,TAMAN INTAN ,UNDI BIASA
12,015/28/10,"SEKOLAH KEBANGSAAN TUNKU ISMAIL, BAKAR ARANG",5.0,491,111,337,1,0,42,491,0,0,TAMAN INTAN ,UNDI BIASA
12,015/28/10,"SEKOLAH KEBANGSAAN TUNKU ISMAIL, BAKAR ARANG",6.0,490,133,305,0,0,52,490,0,0,TAMAN INTAN ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",1.0,212,7,152,2,1,43,205,7,0,BAKAR ARANG ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",2.0,510,56,355,2,0,89,502,8,0,BAKAR ARANG ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",3.0,512,52,380,0,0,79,511,1,0,BAKAR ARANG ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",4.0,518,66,379,0,0,72,517,1,0,BAKAR ARANG ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",5.0,496,73,368,1,1,52,495,1,0,BAKAR ARANG ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",6.0,483,126,296,1,0,57,480,3,0,BAKAR ARANG ,UNDI BIASA
13,015/28/11,"SEKOLAH MENENGAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",7.0,456,129,281,0,0,44,454,2,0,BAKAR ARANG ,UNDI BIASA
14,015/28/12,"SEKOLAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",1.0,261,24,166,0,0,66,256,5,0,TAMAN ARKED ,UNDI BIASA
14,015/28/12,"SEKOLAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",2.0,450,129,210,0,1,106,446,4,0,TAMAN ARKED ,UNDI BIASA
14,015/28/12,"SEKOLAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",3.0,418,127,222,0,0,69,418,0,0,TAMAN ARKED ,UNDI BIASA
14,015/28/12,"SEKOLAH KEBANGSAAN  BAKAR ARANG, BAKAR ARANG",4.0,393,193,166,0,0,34,393,0,0,TAMAN ARKED ,UNDI BIASA
15,015/28/13,"SEKOLAH MENENGAH KEBANGSAAN CHE TOM, SUNGAI PETANI",1.0,274,19,184,2,0,66,271,3,0,TAMAN MAKMUR ,UNDI BIASA
15,015/28/13,"SEKOLAH MENENGAH KEBANGSAAN CHE TOM, SUNGAI PETANI",2.0,427,31,326,1,2,65,425,2,0,TAMAN MAKMUR ,UNDI BIASA
15,015/28/13,"SEKOLAH MENENGAH KEBANGSAAN CHE TOM, SUNGAI PETANI",3.0,426,32,338,0,2,53,425,1,0,TAMAN MAKMUR ,UNDI BIASA
15,015/28/13,"SEKOLAH MENENGAH KEBANGSAAN CHE TOM, SUNGAI PETANI",4.0,412,31,331,0,1,44,407,3,2,TAMAN MAKMUR ,UNDI BIASA
15,015/28/13,"SEKOLAH MENENGAH KEBANGSAAN CHE TOM, SUNGAI PETANI",5.0,394,53,311,1,1,28,394,0,0,TAMAN MAKMUR ,UNDI BIASA
16,015/28/14,"SEKOLAH KEBANGSAAN SUNGAI PASIR, SUNGAI PASIR",1.0,297,102,55,0,0,134,291,6,0,SUNGAI PASIR ,UNDI BIASA
16,015/28/14,"SEKOLAH KEBANGSAAN SUNGAI PASIR, SUNGAI PASIR",2.0,420,203,94,0,0,122,419,1,0,SUNGAI PASIR ,UNDI BIASA
16,015/28/14,"SEKOLAH KEBANGSAAN SUNGAI PASIR, SUNGAI PASIR",3.0,377,199,99,0,0,78,376,1,0,SUNGAI PASIR ,UNDI BIASA
17,015/28/15,"SEKOLAH KEBANGSAAN TAMAN INTAN, SUNGAI PETANI",1.0,310,133,55,0,0,110,298,12,0,TAMAN NILAM ,UNDI BIASA
17,015/28/15,"SEKOLAH KEBANGSAAN TAMAN INTAN, SUNGAI PETANI",2.0,479,214,151,0,0,109,474,5,0,TAMAN NILAM ,UNDI BIASA
17,015/28/15,"SEKOLAH KEBANGSAAN TAMAN INTAN, SUNGAI PETANI",3.0,433,230,131,0,0,69,430,2,1,TAMAN NILAM ,UNDI BIASA
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",1.0,268,47,128,0,0,85,260,8,0,TAMAN SEJATI INDAH ,UNDI BIASA
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",2.0,538,119,281,3,0,131,534,4,0,TAMAN SEJATI INDAH ,UNDI BIASA
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",3.0,553,117,328,0,0,96,541,12,0,TAMAN SEJATI INDAH ,UNDI BIASA
18,015/28/16,"SEKOLAH KEBANGSAAN SERI GEDONG, SUNGAI PETANI",4.0,505,107,320,4,0,69,500,5,0,TAMAN SEJATI INDAH ,UNDI BIASA
