Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZULHAZMI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI HJ MUKHRIZ TUN MAHATHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMINUDDIN BIN OMAR (PAK TAM),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",3.0,496,89,282,122,493,3,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
11,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",4.0,452,79,317,56,452,0,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
11,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",5.0,474,97,328,48,473,1,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
12,006/06/10,"SEKOLAH MENENGAH KEBANGSAAN PAYA KEMUNTING, JITRA",1.0,269,33,135,97,265,4,0,KAMPUNG BATU 13 ,UNDI BIASA
12,006/06/10,"SEKOLAH MENENGAH KEBANGSAAN PAYA KEMUNTING, JITRA",2.0,504,73,333,95,501,3,0,KAMPUNG BATU 13 ,UNDI BIASA
13,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",1.0,290,28,182,78,288,2,0,TAMAN JITRA ,UNDI BIASA
13,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",2.0,496,58,349,83,490,6,0,TAMAN JITRA ,UNDI BIASA
13,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",3.0,466,61,342,59,462,4,0,TAMAN JITRA ,UNDI BIASA
13,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",4.0,450,78,349,22,449,1,0,TAMAN JITRA ,UNDI BIASA
14,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",1.0,285,43,127,109,279,6,0,PANTAI HALBAN ,UNDI BIASA
14,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",2.0,518,84,306,125,515,3,0,PANTAI HALBAN ,UNDI BIASA
14,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",3.0,499,71,345,80,496,3,0,PANTAI HALBAN ,UNDI BIASA
14,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",4.0,434,54,321,59,434,0,0,PANTAI HALBAN ,UNDI BIASA
14,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",5.0,438,67,321,49,437,1,0,PANTAI HALBAN ,UNDI BIASA
14,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",6.0,469,82,341,44,467,2,0,PANTAI HALBAN ,UNDI BIASA
15,006/06/13,"SEKOLAH KEBANGSAAN JITRA 2, JITRA",1.0,260,35,165,56,256,4,0,KAMPUNG TOK KESOP ,UNDI BIASA
15,006/06/13,"SEKOLAH KEBANGSAAN JITRA 2, JITRA",2.0,459,64,296,98,458,1,0,KAMPUNG TOK KESOP ,UNDI BIASA
15,006/06/13,"SEKOLAH KEBANGSAAN JITRA 2, JITRA",3.0,423,90,282,50,422,1,0,KAMPUNG TOK KESOP ,UNDI BIASA
16,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",1.0,247,50,104,86,240,7,0,TANAH MERAH ,UNDI BIASA
16,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",2.0,601,160,273,162,595,6,0,TANAH MERAH ,UNDI BIASA
16,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",3.0,551,163,303,83,549,2,0,TANAH MERAH ,UNDI BIASA
16,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",4.0,529,192,259,76,527,2,0,TANAH MERAH ,UNDI BIASA
17,006/06/15,"SEKOLAH KEBANGSAAN TELOK MALEK, JITRA",1.0,306,80,96,124,300,6,0,KAMPUNG TELOK MALIK ,UNDI BIASA
17,006/06/15,"SEKOLAH KEBANGSAAN TELOK MALEK, JITRA",2.0,485,164,179,140,483,2,0,KAMPUNG TELOK MALIK ,UNDI BIASA
17,006/06/15,"SEKOLAH KEBANGSAAN TELOK MALEK, JITRA",3.0,447,119,220,107,446,1,0,KAMPUNG TELOK MALIK ,UNDI BIASA
18,006/06/16,"SEKOLAH KEBANGSAAN PADANG PEKAN, JITRA",1.0,306,104,93,106,303,3,0,KAMPUNG NAGA ,UNDI BIASA
18,006/06/16,"SEKOLAH KEBANGSAAN PADANG PEKAN, JITRA",2.0,598,144,272,177,593,5,0,KAMPUNG NAGA ,UNDI BIASA
18,006/06/16,"SEKOLAH KEBANGSAAN PADANG PEKAN, JITRA",3.0,519,154,259,104,517,2,0,KAMPUNG NAGA ,UNDI BIASA
19,006/06/17,"SEKOLAH MENENGAH SULTAN ABDUL HALIM, JITRA",1.0,308,106,108,91,305,3,0,LUBUK KAWAH ,UNDI BIASA
19,006/06/17,"SEKOLAH MENENGAH SULTAN ABDUL HALIM, JITRA",2.0,341,136,136,69,341,0,0,LUBUK KAWAH ,UNDI BIASA
19,006/06/17,"SEKOLAH MENENGAH SULTAN ABDUL HALIM, JITRA",3.0,334,124,166,43,333,1,0,LUBUK KAWAH ,UNDI BIASA
20,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",1.0,284,65,126,91,282,2,0,TAMAN MAHSURI ,UNDI BIASA
20,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",2.0,515,107,291,115,513,2,0,TAMAN MAHSURI ,UNDI BIASA
20,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",3.0,446,93,291,62,446,0,0,TAMAN MAHSURI ,UNDI BIASA
