Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) UST FIRDAUS JAAFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD FATAHI BIN OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR MOHD HAYATI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,011/18/06,"SEKOLAH KEBANGSAAN HAJI ABDUL RAHMAN, TOKAI",4.0,445,130,106,204,440,5,0,KUBANG JELAI ,UNDI BIASA
9,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",1.0,272,139,104,29,272,0,0,PEKAN TOKAI ,UNDI BIASA
9,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",2.0,619,334,189,94,617,2,0,PEKAN TOKAI ,UNDI BIASA
9,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",3.0,577,296,130,150,576,1,0,PEKAN TOKAI ,UNDI BIASA
9,011/18/07,"SEKOLAH MENENGAH KEBANGSAAN TOKAI, TOKAI",4.0,563,291,127,143,561,2,0,PEKAN TOKAI ,UNDI BIASA
10,011/18/08,"SEKOLAH KEBANGSAAN KAMPUNG PULAI KAMPUNG PULAI TOKAI,",1.0,316,44,143,126,313,3,0,KAMPUNG PULAI ,UNDI BIASA
10,011/18/08,"SEKOLAH KEBANGSAAN KAMPUNG PULAI KAMPUNG PULAI TOKAI,",2.0,369,88,113,168,369,0,0,KAMPUNG PULAI ,UNDI BIASA
11,011/18/09,"SEKOLAH KEBANGSAAN ALOR BESAR, KOTA SARANG SEMUT",1.0,314,46,62,205,313,1,0,ALOR BESAR ,UNDI BIASA
11,011/18/09,"SEKOLAH KEBANGSAAN ALOR BESAR, KOTA SARANG SEMUT",2.0,354,53,44,256,353,1,0,ALOR BESAR ,UNDI BIASA
12,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",1.0,300,68,89,136,293,7,0,KOBAH ,UNDI BIASA
12,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",2.0,456,103,108,242,453,3,0,KOBAH ,UNDI BIASA
12,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",3.0,405,76,94,235,405,0,0,KOBAH ,UNDI BIASA
12,011/18/10,"SEKOLAH KEBANGSAAN BUKIT CHORAS, KOTA SARANG SEMUT",4.0,388,68,73,246,387,0,1,KOBAH ,UNDI BIASA
13,011/18/11,"SEKOLAH MENENGAH KEBANGSAAN PENDANG, PENDANG",1.0,210,31,42,134,207,3,0,TEMPOYAK ,UNDI BIASA
14,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",1.0,251,112,70,69,251,0,0,SEBRANG PENDANG ,UNDI BIASA
14,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",2.0,503,217,135,132,484,19,0,SEBRANG PENDANG ,UNDI BIASA
14,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",3.0,511,230,95,183,508,3,0,SEBRANG PENDANG ,UNDI BIASA
14,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",4.0,448,186,58,204,448,0,0,SEBRANG PENDANG ,UNDI BIASA
14,011/18/12,"SEKOLAH RENDAH ISLAM ISLAH, PENDANG",5.0,434,135,65,233,433,1,0,SEBRANG PENDANG ,UNDI BIASA
15,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",1.0,295,67,116,107,290,5,0,PEKAN PENDANG ,UNDI BIASA
15,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",2.0,314,110,85,117,312,1,1,PEKAN PENDANG ,UNDI BIASA
15,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",3.0,284,87,55,141,283,1,0,PEKAN PENDANG ,UNDI BIASA
16,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",1.0,286,26,90,161,277,9,0,BUKIT RAYA ,UNDI BIASA
16,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",2.0,590,104,172,311,587,3,0,BUKIT RAYA ,UNDI BIASA
16,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",3.0,523,96,92,332,520,2,1,BUKIT RAYA ,UNDI BIASA
16,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, DALAM KAMPUNG BUKIT RAYA",4.0,482,120,78,281,479,3,0,BUKIT RAYA ,UNDI BIASA
17,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",1.0,303,18,61,222,301,2,0,BANGGOL BESI ,UNDI BIASA
17,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",2.0,450,38,73,337,448,2,0,BANGGOL BESI ,UNDI BIASA
17,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",3.0,404,66,60,277,403,1,0,BANGGOL BESI ,UNDI BIASA
17,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",4.0,401,62,53,285,400,1,0,BANGGOL BESI ,UNDI BIASA
18,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",1.0,304,17,80,201,298,6,0,GUAR KEPAYANG ,UNDI BIASA
18,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",2.0,517,36,127,353,516,1,0,GUAR KEPAYANG ,UNDI BIASA
18,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",3.0,485,52,102,327,481,4,0,GUAR KEPAYANG ,UNDI BIASA
18,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",4.0,459,49,107,300,456,3,0,GUAR KEPAYANG ,UNDI BIASA
18,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",5.0,449,50,85,314,449,0,0,GUAR KEPAYANG ,UNDI BIASA
19,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",1.0,319,22,129,165,316,3,0,CHEROK KUDONG ,UNDI BIASA
19,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",2.0,461,50,122,284,456,5,0,CHEROK KUDONG ,UNDI BIASA
19,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",3.0,407,45,113,244,402,5,0,CHEROK KUDONG ,UNDI BIASA
20,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",1.0,290,21,86,176,283,6,1,GAJAH MATI ,UNDI BIASA
20,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",2.0,577,91,164,318,573,4,0,GAJAH MATI ,UNDI BIASA
