Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ TARMIZI SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MANSOR BIN ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AZLI CHE UDA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
14,013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",1.0,275,62,104,107,273,2,0,PEKAN SIK ,UNDI BIASA
14,013/23/11,"SEKOLAH KEBANGSAAN SIK, SIK",2.0,473,129,159,180,468,5,0,PEKAN SIK ,UNDI BIASA
15,013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",1.0,304,148,124,25,297,7,0,KAMPUNG SADU ,UNDI BIASA
15,013/23/12,"SEKOLAH JENIS KEBANGSAAN  (CINA ) CHUNG HWA, SIK",2.0,594,336,164,93,593,1,0,KAMPUNG SADU ,UNDI BIASA
16,013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",1.0,311,133,158,11,302,9,0,KAMPUNG NAMEK ,UNDI BIASA
16,013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",2.0,618,282,268,58,608,7,3,KAMPUNG NAMEK ,UNDI BIASA
16,013/23/13,"SEKOLAH KEBANGSAAN SERI DUSUN, SIK",3.0,573,323,187,59,569,4,0,KAMPUNG NAMEK ,UNDI BIASA
17,013/23/14,MAKTAB MAHMUD SIK,1.0,285,108,142,30,280,5,0,KAMPUNG KEMELONG ,UNDI BIASA
17,013/23/14,MAKTAB MAHMUD SIK,2.0,615,273,244,91,608,7,0,KAMPUNG KEMELONG ,UNDI BIASA
17,013/23/14,MAKTAB MAHMUD SIK,3.0,575,310,151,112,573,2,0,KAMPUNG KEMELONG ,UNDI BIASA
17,013/23/14,MAKTAB MAHMUD SIK,4.0,548,283,148,115,546,2,0,KAMPUNG KEMELONG ,UNDI BIASA
18,013/24/01,"SEKOLAH KEBANGSAAN PADANG CHICHAK, JENERI",1.0,314,77,131,89,297,17,0,PADANG CHICHAK ,UNDI BIASA
18,013/24/01,"SEKOLAH KEBANGSAAN PADANG CHICHAK, JENERI",2.0,509,172,176,157,505,4,0,PADANG CHICHAK ,UNDI BIASA
18,013/24/01,"SEKOLAH KEBANGSAAN PADANG CHICHAK, JENERI",3.0,469,196,133,138,467,2,0,PADANG CHICHAK ,UNDI BIASA
19,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",1.0,309,115,144,32,291,18,0,KAMPUNG BETONG ,UNDI BIASA
19,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",2.0,555,196,266,77,539,16,0,KAMPUNG BETONG ,UNDI BIASA
19,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",3.0,510,203,222,71,496,13,1,KAMPUNG BETONG ,UNDI BIASA
19,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",4.0,489,235,171,79,485,4,0,KAMPUNG BETONG ,UNDI BIASA
19,013/24/02,"SEKOLAH KEBANGSAAN KAMPUNG BETONG, JENERI",5.0,460,183,195,77,455,5,0,KAMPUNG BETONG ,UNDI BIASA
20,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",1.0,287,105,130,39,274,13,0,KOTA BUKIT ,UNDI BIASA
20,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",2.0,487,206,197,76,479,8,0,KOTA BUKIT ,UNDI BIASA
20,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",3.0,461,209,130,117,456,5,0,KOTA BUKIT ,UNDI BIASA
20,013/24/03,"SEKOLAH KEBANGSAAN KG KOTA BUKIT, JENERI",4.0,448,180,139,126,445,3,0,KOTA BUKIT ,UNDI BIASA
21,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",1.0,297,169,117,11,297,0,0,KUALA JENERI ,UNDI BIASA
21,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",2.0,640,330,236,58,624,16,0,KUALA JENERI ,UNDI BIASA
21,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",3.0,604,372,178,51,601,1,2,KUALA JENERI ,UNDI BIASA
21,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",4.0,564,321,170,62,553,11,0,KUALA JENERI ,UNDI BIASA
21,013/24/04,"SEKOLAH KEBANGSAAN JENERI, KAMPUNG JENERI",5.0,523,134,48,339,521,2,0,KUALA JENERI ,UNDI BIASA
22,013/24/05,"SEKOLAH KEBANGSAAN KALAI, KAMPUNG KALAI",1.0,303,58,122,115,295,8,0,KAMPUNG KALAI ,UNDI BIASA
22,013/24/05,"SEKOLAH KEBANGSAAN KALAI, KAMPUNG KALAI",2.0,544,115,187,235,537,7,0,KAMPUNG KALAI ,UNDI BIASA
23,013/24/06,KLINIK KESIHATAN JENIANG,1.0,466,140,163,156,459,7,0,KAMPUNG KUALA BIGIA ,UNDI BIASA
24,013/24/07,"SEKOLAH KEBANGSAAN CHEMARA, KAMPUNG CHEMARA",1.0,298,178,80,36,294,4,0,KAMPUNG CHEMARA ,UNDI BIASA
24,013/24/07,"SEKOLAH KEBANGSAAN CHEMARA, KAMPUNG CHEMARA",2.0,349,221,66,61,348,1,0,KAMPUNG CHEMARA ,UNDI BIASA
24,013/24/07,"SEKOLAH KEBANGSAAN CHEMARA, KAMPUNG CHEMARA",3.0,330,200,59,68,327,3,0,KAMPUNG CHEMARA ,UNDI BIASA
25,013/24/08,"DEWAN ORANG RAMAI WATT SIAM KAMPUNG BEGIA, JENIANG",1.0,309,36,114,143,293,16,0,KAMPUNG BIGIA ,UNDI BIASA
25,013/24/08,"DEWAN ORANG RAMAI WATT SIAM KAMPUNG BEGIA, JENIANG",2.0,522,90,156,269,515,7,0,KAMPUNG BIGIA ,UNDI BIASA
26,013/24/09,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",1.0,293,155,116,12,283,10,0,KAMPUNG TELUI ,UNDI BIASA
26,013/24/09,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",2.0,508,230,220,48,498,10,0,KAMPUNG TELUI ,UNDI BIASA
26,013/24/09,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",3.0,455,228,162,65,455,0,0,KAMPUNG TELUI ,UNDI BIASA
26,013/24/09,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",4.0,443,237,132,71,440,3,0,KAMPUNG TELUI ,UNDI BIASA
27,013/24/10,"SEKOLAH KEBANGSAAN BATU LIMA, BATU LIMA",1.0,295,112,101,77,290,5,0,BATU LIMA ,UNDI BIASA
27,013/24/10,"SEKOLAH KEBANGSAAN BATU LIMA, BATU LIMA",2.0,494,214,123,156,493,1,0,BATU LIMA ,UNDI BIASA
28,013/24/11,"SEKOLAH MENENGAH KEBANGSAAN  SERI ENGGANG, BATU LIMA",1.0,302,118,115,64,297,5,0,CHAROK PADANG ,UNDI BIASA
28,013/24/11,"SEKOLAH MENENGAH KEBANGSAAN  SERI ENGGANG, BATU LIMA",2.0,388,176,116,90,382,6,0,CHAROK PADANG ,UNDI BIASA
28,013/24/11,"SEKOLAH MENENGAH KEBANGSAAN  SERI ENGGANG, BATU LIMA",3.0,346,148,82,112,342,4,0,CHAROK PADANG ,UNDI BIASA
29,013/24/12,"SEKOLAH KEBANGSAAN HUJUNG BANDAR, BANDAR KAMPUNG HUJUNG",1.0,318,244,49,13,306,12,0,HUJONG BANDAR ,UNDI BIASA
29,013/24/12,"SEKOLAH KEBANGSAAN HUJUNG BANDAR, BANDAR KAMPUNG HUJUNG",2.0,531,421,76,31,528,3,0,HUJONG BANDAR ,UNDI BIASA
29,013/24/12,"SEKOLAH KEBANGSAAN HUJUNG BANDAR, BANDAR KAMPUNG HUJUNG",3.0,494,382,64,41,487,6,1,HUJONG BANDAR ,UNDI BIASA
30,013/24/13,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",5.0,310,233,54,16,303,7,0,KAMPUNG BANDAR ,UNDI BIASA
30,013/24/13,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",6.0,376,289,57,29,375,1,0,KAMPUNG BANDAR ,UNDI BIASA
30,013/24/13,"SEKOLAH KEBANGSAAN TELOI TUA, BATU LIMA",7.0,373,297,49,26,372,1,0,KAMPUNG BANDAR ,UNDI BIASA
31,013/24/14,"SEKOLAH KEBANGSAAN HAJI HUSSAIN, KAMPUNG TUPAI",1.0,306,154,104,19,277,29,0,TUPAI ,UNDI BIASA
