Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YEO KENG CHUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHUA THIONG GEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD KHAIRI SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEE AH LEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
13,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",5.0,579,407,82,88,1,578,1,0,TAMAN KENARI ,UNDI BIASA
13,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",6.0,544,314,72,156,0,542,2,0,TAMAN KENARI ,UNDI BIASA
13,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",7.0,529,255,85,175,0,515,14,0,TAMAN KENARI ,UNDI BIASA
13,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",8.0,615,250,113,247,0,610,5,0,TAMAN KENARI ,UNDI BIASA
14,018/35/12,DEWAN BANDARAN KULIM,1.0,260,146,92,18,1,257,3,0,TAMAN TUNKU PUTRA ,UNDI BIASA
14,018/35/12,DEWAN BANDARAN KULIM,2.0,551,294,170,75,1,540,11,0,TAMAN TUNKU PUTRA ,UNDI BIASA
14,018/35/12,DEWAN BANDARAN KULIM,3.0,509,301,113,92,1,507,2,0,TAMAN TUNKU PUTRA ,UNDI BIASA
14,018/35/12,DEWAN BANDARAN KULIM,4.0,481,293,84,98,0,475,6,0,TAMAN TUNKU PUTRA ,UNDI BIASA
14,018/35/12,DEWAN BANDARAN KULIM,5.0,490,267,87,136,0,490,0,0,TAMAN TUNKU PUTRA ,UNDI BIASA
15,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",1.0,282,119,99,55,0,273,9,0,TAMAN SERI KULIM ,UNDI BIASA
15,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",2.0,321,169,73,74,0,316,5,0,TAMAN SERI KULIM ,UNDI BIASA
15,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",3.0,293,132,67,92,0,291,2,0,TAMAN SERI KULIM ,UNDI BIASA
16,018/35/14,"SEKOLAH MENENGAH AGAMA TARBIYYAH DINIAH, KULIM",1.0,274,208,56,8,0,272,2,0,PEKAN KULIM ,UNDI BIASA
16,018/35/14,"SEKOLAH MENENGAH AGAMA TARBIYYAH DINIAH, KULIM",2.0,294,225,40,28,0,293,1,0,PEKAN KULIM ,UNDI BIASA
17,018/35/15,"SEKOLAH MENENGAH KEBANGSAAN  ST. PATRICK, KULIM",1.0,512,392,85,26,0,503,9,0,JALAN TUNKU PUTRA ,UNDI BIASA
18,018/35/16,"SEKOLAH MENENGAH JENIS KEBANGSAAN CHIO MIN, KULIM",1.0,259,181,69,5,0,255,4,0,JALAN IBRAHIM ,UNDI BIASA
18,018/35/16,"SEKOLAH MENENGAH JENIS KEBANGSAAN CHIO MIN, KULIM",2.0,525,426,82,11,2,521,3,1,JALAN IBRAHIM ,UNDI BIASA
19,018/35/17,"SEKOLAH KEBANGSAAN SRI KULIM, TAMAN BERLIAN",1.0,266,158,67,34,1,260,6,0,BUKIT AWI ,UNDI BIASA
19,018/35/17,"SEKOLAH KEBANGSAAN SRI KULIM, TAMAN BERLIAN",2.0,356,223,62,69,1,355,1,0,BUKIT AWI ,UNDI BIASA
20,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",1.0,279,147,74,51,2,274,5,0,TAMAN BERSATU ,UNDI BIASA
20,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",2.0,593,282,156,147,2,587,6,0,TAMAN BERSATU ,UNDI BIASA
20,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",3.0,594,329,133,129,2,593,1,0,TAMAN BERSATU ,UNDI BIASA
20,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",4.0,544,304,94,143,1,542,2,0,TAMAN BERSATU ,UNDI BIASA
20,018/35/18,"SEKOLAH KEBANGSAAN TAMAN JELUTONG, KULIM",5.0,543,280,74,185,1,540,3,0,TAMAN BERSATU ,UNDI BIASA
21,018/35/19,"KOLEJ MARA, KULIM",1.0,278,109,105,58,1,273,4,1,AYER MERAH ,UNDI BIASA
21,018/35/19,"KOLEJ MARA, KULIM",2.0,626,349,140,131,2,622,4,0,AYER MERAH ,UNDI BIASA
21,018/35/19,"KOLEJ MARA, KULIM",3.0,578,337,94,144,1,576,2,0,AYER MERAH ,UNDI BIASA
22,018/35/20,KOLEJ VOKASIONAL KULIM,1.0,290,129,110,50,0,289,1,0,TAMAN ANGGERIK ,UNDI BIASA
22,018/35/20,KOLEJ VOKASIONAL KULIM,2.0,566,263,157,143,0,563,3,0,TAMAN ANGGERIK ,UNDI BIASA
22,018/35/20,KOLEJ VOKASIONAL KULIM,3.0,520,279,89,149,0,517,3,0,TAMAN ANGGERIK ,UNDI BIASA
22,018/35/20,KOLEJ VOKASIONAL KULIM,4.0,489,272,68,148,0,488,1,0,TAMAN ANGGERIK ,UNDI BIASA
22,018/35/20,KOLEJ VOKASIONAL KULIM,5.0,533,240,98,194,0,532,1,0,TAMAN ANGGERIK ,UNDI BIASA
23,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",1.0,289,202,69,10,1,282,7,0,JUNJONG ,UNDI BIASA
23,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",2.0,366,289,44,30,0,363,3,0,JUNJONG ,UNDI BIASA
23,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",3.0,346,250,54,41,0,345,1,0,JUNJONG ,UNDI BIASA
24,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",1.0,287,34,159,81,0,274,13,0,PADANG PENYANGGA ,UNDI BIASA
24,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",2.0,556,85,240,218,1,544,11,1,PADANG PENYANGGA ,UNDI BIASA
24,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",3.0,529,91,162,267,1,521,8,0,PADANG PENYANGGA ,UNDI BIASA
24,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",4.0,506,94,161,242,0,497,9,0,PADANG PENYANGGA ,UNDI BIASA
25,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",1.0,284,62,147,75,0,284,0,0,DURIAN BURONG ,UNDI BIASA
25,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",2.0,427,100,134,193,0,427,0,0,DURIAN BURONG ,UNDI BIASA
