Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SAFFUAN BIN SABARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSODDAK HJ AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",1.0,307,52,99,148,299,8,0,SUNGAI UDANG ,UNDI BIASA
11,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",2.0,452,107,124,218,449,3,0,SUNGAI UDANG ,UNDI BIASA
11,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",3.0,407,87,145,171,403,4,0,SUNGAI UDANG ,UNDI BIASA
11,012/21/09,"SEKOLAH KEBANGSAAN KAMPUNG PAUH, YAN",4.0,413,113,133,157,403,10,0,SUNGAI UDANG ,UNDI BIASA
12,012/21/10,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",1.0,289,34,93,154,281,8,0,SINGKIR DARAT ,UNDI BIASA
12,012/21/10,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",2.0,496,100,226,167,493,3,0,SINGKIR DARAT ,UNDI BIASA
12,012/21/10,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",3.0,454,81,254,113,448,6,0,SINGKIR DARAT ,UNDI BIASA
13,012/21/11,MAKTAB MAHMUD YAN,1.0,289,68,51,163,282,7,0,KAMPUNG ACHEH ,UNDI BIASA
13,012/21/11,MAKTAB MAHMUD YAN,2.0,381,128,100,149,377,4,0,KAMPUNG ACHEH ,UNDI BIASA
13,012/21/11,MAKTAB MAHMUD YAN,3.0,348,128,109,110,347,1,0,KAMPUNG ACHEH ,UNDI BIASA
14,012/21/12,"SEKOLAH KEBANGSAAN HAJI NYAK GAM, YAN",1.0,443,119,135,180,434,9,0,LUBOK BUOY ,UNDI BIASA
15,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",1.0,270,75,43,147,265,5,0,PEKAN YAN ,UNDI BIASA
15,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",2.0,470,152,125,191,468,2,0,PEKAN YAN ,UNDI BIASA
15,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",3.0,435,154,133,144,431,4,0,PEKAN YAN ,UNDI BIASA
15,012/21/13,"SEKOLAH KEBANGSAAN LANGKASUKA, YAN",4.0,422,173,118,127,418,4,0,PEKAN YAN ,UNDI BIASA
16,012/21/14,"SEKOLAH JENIS KEBANGSAAN (CINA) YORK KHOON, YAN",1.0,304,71,85,122,278,26,0,SUNGAI RAGA ,UNDI BIASA
16,012/21/14,"SEKOLAH JENIS KEBANGSAAN (CINA) YORK KHOON, YAN",2.0,353,83,144,121,348,5,0,SUNGAI RAGA ,UNDI BIASA
16,012/21/14,"SEKOLAH JENIS KEBANGSAAN (CINA) YORK KHOON, YAN",3.0,324,116,113,95,324,0,0,SUNGAI RAGA ,UNDI BIASA
17,012/21/15,"SEKOLAH KEBANGSAAN TOK MAT SALLEH, YAN",1.0,310,43,93,166,302,8,0,RUAT ,UNDI BIASA
17,012/21/15,"SEKOLAH KEBANGSAAN TOK MAT SALLEH, YAN",2.0,381,92,146,130,368,13,0,RUAT ,UNDI BIASA
18,012/21/16,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",4.0,290,45,110,130,285,4,1,SINGKIR LAUT ,UNDI BIASA
18,012/21/16,"SEKOLAH KEBANGSAAN SINGKIR, BEDONG",5.0,289,58,150,80,288,1,0,SINGKIR LAUT ,UNDI BIASA
