Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI AHMAD TAUFIQ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) M. THURAISINGAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",7.0,474,259,162,51,472,2,0,SUNGAI SELUANG ,UNDI BIASA
9,017/34/07,"SEKOLAH KEBANGSAAN SUNGAI SELUANG,LUNAS",8.0,483,230,190,62,482,1,0,SUNGAI SELUANG ,UNDI BIASA
10,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",1.0,292,197,27,60,284,8,0,BATU ENAM ,UNDI BIASA
10,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",2.0,538,359,72,103,534,4,0,BATU ENAM ,UNDI BIASA
10,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",3.0,527,346,116,62,524,3,0,BATU ENAM ,UNDI BIASA
10,017/34/08,"SEKOLAH MENENGAH KEBANGSAAN LUNAS,JALAN PADANG SERAI",4.0,488,295,138,54,487,1,0,BATU ENAM ,UNDI BIASA
11,017/34/09,"SEKOLAH KEBANGSAAN LUNAS JAYA,LUNAS",1.0,301,257,8,34,299,2,0,KAMPUNG BARU LUNAS ,UNDI BIASA
11,017/34/09,"SEKOLAH KEBANGSAAN LUNAS JAYA,LUNAS",2.0,568,431,87,48,566,2,0,KAMPUNG BARU LUNAS ,UNDI BIASA
12,017/34/10,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, LUNAS",1.0,274,214,12,40,266,8,0,PEKAN LUNAS ,UNDI BIASA
12,017/34/10,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, LUNAS",2.0,480,344,46,88,478,2,0,PEKAN LUNAS ,UNDI BIASA
12,017/34/10,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, LUNAS",3.0,462,332,71,58,461,1,0,PEKAN LUNAS ,UNDI BIASA
13,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",1.0,276,143,44,85,272,4,0,TAMAN SEJAHTERA ,UNDI BIASA
13,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",2.0,482,321,78,82,481,1,0,TAMAN SEJAHTERA ,UNDI BIASA
13,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",3.0,470,290,126,53,469,1,0,TAMAN SEJAHTERA ,UNDI BIASA
13,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",4.0,426,262,119,45,426,0,0,TAMAN SEJAHTERA ,UNDI BIASA
13,017/34/11,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",5.0,422,267,114,40,421,1,0,TAMAN SEJAHTERA ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",1.0,290,156,26,100,282,8,0,PAYA BESAR ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",2.0,562,338,75,135,548,12,2,PAYA BESAR ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",3.0,551,335,92,117,544,7,0,PAYA BESAR ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",4.0,521,361,76,79,516,5,0,PAYA BESAR ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",5.0,493,324,84,81,489,4,0,PAYA BESAR ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",6.0,454,317,80,57,454,0,0,PAYA BESAR ,UNDI BIASA
14,017/34/12,"SEKOLAH KEBANGSAAN JALAN PAYA BESAR,LUNAS",7.0,485,293,125,64,482,3,0,PAYA BESAR ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",1.0,285,152,36,93,281,4,0,TAMAN LOBAK ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",2.0,615,336,111,152,599,16,0,TAMAN LOBAK ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",3.0,595,330,140,111,581,14,0,TAMAN LOBAK ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",4.0,574,347,136,90,573,1,0,TAMAN LOBAK ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",5.0,546,363,107,73,543,3,0,TAMAN LOBAK ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",6.0,495,322,117,54,493,2,0,TAMAN LOBAK ,UNDI BIASA
15,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",7.0,535,277,168,88,533,2,0,TAMAN LOBAK ,UNDI BIASA
16,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",6.0,312,114,90,104,308,4,0,SUNGAI LIMAU ,UNDI BIASA
16,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",7.0,399,164,158,77,399,0,0,SUNGAI LIMAU ,UNDI BIASA
16,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",8.0,357,166,146,45,357,0,0,SUNGAI LIMAU ,UNDI BIASA
17,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",1.0,285,54,89,131,274,11,0,KAMPUNG KELADI ,UNDI BIASA
17,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",2.0,550,179,185,183,547,3,0,KAMPUNG KELADI ,UNDI BIASA
17,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",3.0,521,187,195,138,520,1,0,KAMPUNG KELADI ,UNDI BIASA
17,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",4.0,488,192,201,93,486,2,0,KAMPUNG KELADI ,UNDI BIASA
17,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",5.0,485,185,204,91,480,5,0,KAMPUNG KELADI ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",1.0,291,172,41,75,288,3,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",2.0,602,296,153,153,602,0,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",3.0,590,363,131,90,584,6,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",4.0,580,375,136,67,578,2,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",5.0,563,376,127,56,559,4,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",6.0,535,365,124,44,533,2,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",7.0,515,312,152,50,514,1,0,TAMAN SELASIH ,UNDI BIASA
18,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",8.0,573,318,205,47,570,3,0,TAMAN SELASIH ,UNDI BIASA
19,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",1.0,245,146,29,70,245,0,0,SIMPANG TIGA KELADI ,UNDI BIASA
19,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",2.0,571,392,52,123,567,4,0,SIMPANG TIGA KELADI ,UNDI BIASA
19,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",3.0,516,336,95,83,514,2,0,SIMPANG TIGA KELADI ,UNDI BIASA
20,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",4.0,289,182,47,59,288,1,0,KAMPUNG DUSUN ,UNDI BIASA
20,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",5.0,477,293,109,73,475,2,0,KAMPUNG DUSUN ,UNDI BIASA
21,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B) ,KULIM",1.0,243,203,0,33,236,7,0,KELANG SAGO ,UNDI BIASA
21,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B) ,KULIM",2.0,502,432,9,58,499,3,0,KELANG SAGO ,UNDI BIASA
21,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B) ,KULIM",3.0,476,408,32,33,473,3,0,KELANG SAGO ,UNDI BIASA
22,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",1.0,271,158,41,64,263,8,0,BANDAR PUTRA ,UNDI BIASA
22,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",2.0,588,397,94,95,586,2,0,BANDAR PUTRA ,UNDI BIASA
22,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",3.0,570,436,91,40,567,3,0,BANDAR PUTRA ,UNDI BIASA
22,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",4.0,522,395,84,42,521,1,0,BANDAR PUTRA ,UNDI BIASA
22,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",5.0,548,387,110,46,543,5,0,BANDAR PUTRA ,UNDI BIASA
23,017/34/21,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",1.0,309,117,94,95,306,3,0,TAMAN ANGSANA ,UNDI BIASA
23,017/34/21,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",2.0,625,352,175,97,624,1,0,TAMAN ANGSANA ,UNDI BIASA
23,017/34/21,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",3.0,585,296,214,74,584,1,0,TAMAN ANGSANA ,UNDI BIASA
24,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",4.0,305,183,80,37,300,5,0,TAMAN SEMARAK ,UNDI BIASA
24,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",5.0,335,232,79,23,334,1,0,TAMAN SEMARAK ,UNDI BIASA
24,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",6.0,313,209,78,25,312,1,0,TAMAN SEMARAK ,UNDI BIASA
